block_id,block_start,split,native_p16_win_rate,n_rows
0,0,train,0.7553571428571428,5040
1,720,train,0.6876984126984127,5040
2,1440,train,0.7948412698412698,5040
3,2160,train,0.723015873015873,5040
4,2880,train,0.6692460317460317,5040
5,3600,train,0.7805555555555556,5040
6,4320,train,0.7031746031746032,5040
7,5040,train,0.7595238095238095,5040
8,5760,train,0.7238095238095238,5040
9,6480,train,0.7182539682539683,5040
10,7200,train,0.8571428571428571,7
11,7920,val,0.45337301587301587,5040
12,8640,val,0.2498015873015873,5040
13,9360,val,0.3244047619047619,5040
14,10080,val,0.42857142857142855,7
15,10800,test,0.28253968253968254,5040
16,11520,test,0.3331349206349206,5040
17,12240,test,0.32242063492063494,5040
18,12960,test,0.14285714285714285,7
