channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.9826956391334534,32
0,dense_first,2,0.9047291278839111,32
0,dense_first,3,0.7946258783340454,32
0,dense_first,4,0.7278754115104675,32
0,dense_first,5,0.7128767967224121,32
0,dense_first,6,0.6849820613861084,32
0,dense_first,7,0.6753848791122437,32
0,dense_first,8,0.6520345211029053,32
0,dense_first,9,0.5958688259124756,32
0,dense_first,10,0.5955095291137695,32
0,b0_first,1,0.8028748035430908,32
0,b0_first,2,0.7567161321640015,32
0,b0_first,3,0.6510331630706787,32
0,b0_first,4,0.6220135688781738,32
0,b0_first,5,0.6102895736694336,32
0,b0_first,6,0.6080854535102844,32
0,b0_first,7,0.5894784927368164,32
0,b0_first,8,0.5707452893257141,32
0,b0_first,9,0.5550403594970703,32
0,b0_first,10,0.552954912185669,32
0,oracle_first,1,0.3174806237220764,32
0,oracle_first,2,0.35161322355270386,32
0,oracle_first,3,0.3746448755264282,32
0,oracle_first,4,0.38428646326065063,32
0,oracle_first,5,0.39045241475105286,32
0,oracle_first,6,0.4156765341758728,32
0,oracle_first,7,0.41463935375213623,32
0,oracle_first,8,0.4170476794242859,32
0,oracle_first,9,0.41660991311073303,32
0,oracle_first,10,0.4254014194011688,32
1,dense_first,1,0.5364642143249512,32
1,dense_first,2,0.5106088519096375,32
1,dense_first,3,0.5015895366668701,32
1,dense_first,4,0.4884187579154968,32
1,dense_first,5,0.48352792859077454,32
1,dense_first,6,0.4825260639190674,32
1,dense_first,7,0.47700637578964233,32
1,dense_first,8,0.47216200828552246,32
1,dense_first,9,0.4692377746105194,32
1,dense_first,10,0.46817895770072937,32
1,b0_first,1,0.6171281337738037,32
1,b0_first,2,0.5957397222518921,32
1,b0_first,3,0.567683219909668,32
1,b0_first,4,0.5596139430999756,32
1,b0_first,5,0.5569441318511963,32
1,b0_first,6,0.5581337809562683,32
1,b0_first,7,0.5496073961257935,32
1,b0_first,8,0.5441778898239136,32
1,b0_first,9,0.536919891834259,32
1,b0_first,10,0.5327388644218445,32
1,oracle_first,1,0.30400562286376953,32
1,oracle_first,2,0.31096625328063965,32
1,oracle_first,3,0.31395280361175537,32
1,oracle_first,4,0.3200643062591553,32
1,oracle_first,5,0.32306724786758423,32
1,oracle_first,6,0.3290412425994873,32
1,oracle_first,7,0.32515543699264526,32
1,oracle_first,8,0.32604220509529114,32
1,oracle_first,9,0.32290977239608765,32
1,oracle_first,10,0.3252069056034088,32
2,dense_first,1,1.1934446096420288,32
2,dense_first,2,1.0804414749145508,32
2,dense_first,3,0.9887888431549072,32
2,dense_first,4,0.832851767539978,32
2,dense_first,5,0.791924238204956,32
2,dense_first,6,0.7264846563339233,32
2,dense_first,7,0.6464250087738037,32
2,dense_first,8,0.6187947988510132,32
2,dense_first,9,0.602301836013794,32
2,dense_first,10,0.6020867228507996,32
2,b0_first,1,0.7626448273658752,32
2,b0_first,2,0.6886879801750183,32
2,b0_first,3,0.6285707354545593,32
2,b0_first,4,0.5881555080413818,32
2,b0_first,5,0.5780099630355835,32
2,b0_first,6,0.5886126160621643,32
2,b0_first,7,0.5583699345588684,32
2,b0_first,8,0.5540658235549927,32
2,b0_first,9,0.5393428802490234,32
2,b0_first,10,0.5410204529762268,32
2,oracle_first,1,0.3331853449344635,32
2,oracle_first,2,0.36583971977233887,32
2,oracle_first,3,0.410043865442276,32
2,oracle_first,4,0.42796778678894043,32
2,oracle_first,5,0.42722564935684204,32
2,oracle_first,6,0.430077463388443,32
2,oracle_first,7,0.4386691451072693,32
2,oracle_first,8,0.4489975571632385,32
2,oracle_first,9,0.4493101239204407,32
2,oracle_first,10,0.44684168696403503,32
3,dense_first,1,0.5326728224754333,32
3,dense_first,2,0.5268968939781189,32
3,dense_first,3,0.5105343461036682,32
3,dense_first,4,0.503603458404541,32
3,dense_first,5,0.4812481105327606,32
3,dense_first,6,0.47720372676849365,32
3,dense_first,7,0.47247177362442017,32
3,dense_first,8,0.4697670042514801,32
3,dense_first,9,0.4686889350414276,32
3,dense_first,10,0.46218836307525635,32
3,b0_first,1,0.5674242973327637,32
3,b0_first,2,0.5565433502197266,32
3,b0_first,3,0.5450462102890015,32
3,b0_first,4,0.5360060930252075,32
3,b0_first,5,0.5202633142471313,32
3,b0_first,6,0.5101791620254517,32
3,b0_first,7,0.5030422806739807,32
3,b0_first,8,0.4986344575881958,32
3,b0_first,9,0.4966648817062378,32
3,b0_first,10,0.48993030190467834,32
3,oracle_first,1,0.2655482888221741,32
3,oracle_first,2,0.28256693482398987,32
3,oracle_first,3,0.29234999418258667,32
3,oracle_first,4,0.2921929359436035,32
3,oracle_first,5,0.29404568672180176,32
3,oracle_first,6,0.294651597738266,32
3,oracle_first,7,0.2966626286506653,32
