metric,C0_cosine,C1_asymmetric,delta_C1_minus_C0
stage2_mse,0.39525834740945864,0.41256998633995945,0.017311638930500806
stage2_mae,0.41382089879682576,0.42700283678819084,0.013181937991365078
b0_unforced_mse,0.3731216918222617,0.3731216918222617,0.0
delta_vs_b0,0.022136655587196963,0.03944829451769777,0.017311638930500806
gap_recovery,-0.26263012014518994,-0.4880724581803499,-0.22544233803515995
hard_aggregate_mse_seq,0.5513873813344065,0.690433149295678,0.13904576796127155
duplicate_rate,0.0,0.0,0.0
invalid_rate,0.0,0.0,0.0
t1_spearman_top1pct,0.21278517360566185,0.1588178723922465,-0.053967301213415336
t1_oracle_rank_median,99,180,81
t1_top5_containment,0.045,0.045,0.0
t1_top10_containment,0.08,0.085,0.0050000000000000044
t1_top50_containment,0.305,0.265,-0.03999999999999998
t1_top1_hit_rate,0.005,0.01,0.005
t2_hurt_frac,0.232,0.24,0.00799999999999998
t2_hurts_and_oracle_improves_frac,0.232,0.24,0.00799999999999998
t2_selected_true_rank_median,1934.0,2799.0,865.0
t2_oracle_predicted_rank_median,560.0,673.0,113.0
t2_spearman_all,0.1764851620583213,0.24834283551212866,0.07185767345380736
t2_spearman_top10pct,0.2877753285113722,0.2558164217562298,-0.0319589067551424
t2_spearman_top5pct,0.2538747066425713,0.22645045110199136,-0.027424255540579923
t2_spearman_top1pct,0.14044038745970466,0.13708228257496374,-0.00335810488474092
t2_continuation_regret,0.34980106046050785,0.37509737198986115,0.0252963115293533
