step,metric,value
t1_rank_mean,,113.265
t1_top1_mean,,0.005
t1_top5_mean,,0.045
t1_top10_mean,,0.085
t1_top50_mean,,0.355
t1_ndcg10_mean,,0.9247655087709427
t1_ndcg50_mean,,0.934296333193779
t1_spearman_top1pct_mean,,0.30526569213718174
t1_margin_abs_mean,,0.032448907420039176
t1_margin_rel_mean,,0.09528825672678692
t1_near_tie_frac_0.001,,0.015
t1_near_tie_frac_0.01,,0.11
t1_near_tie_frac_0.05,,0.38
t1_eps_optimal_0.001,,0.005
t1_eps_optimal_0.01,,0.005
t1_eps_optimal_0.05,,0.005
t1_consistency_mismatch_rate,,0.0
t2_rank_mean,,172.415
t2_top1_mean,,0.0
t2_top5_mean,,0.005
t2_top10_mean,,0.015
t2_top50_mean,,0.155
t2_ndcg10_mean,,0.5189491572231054
t2_ndcg50_mean,,0.5900485534965992
t2_spearman_top1pct_mean,,0.5673654399067164
t2_margin_abs_mean,,0.011608720496296883
t2_margin_rel_mean,,0.04354175052105889
t2_near_tie_frac_0.001,,0.015
t2_near_tie_frac_0.01,,0.2
t2_near_tie_frac_0.05,,0.68
t2_eps_optimal_0.001,,0.0
t2_eps_optimal_0.01,,0.0
t2_eps_optimal_0.05,,0.0
t2_consistency_mismatch_rate,,0.0
t3_rank_mean,,258.97
t3_top1_mean,,0.0
t3_top5_mean,,0.005
t3_top10_mean,,0.01
t3_top50_mean,,0.075
t3_ndcg10_mean,,0.4866204776614904
t3_ndcg50_mean,,0.5694125466048717
t3_spearman_top1pct_mean,,0.680986488033086
t3_margin_abs_mean,,0.006083703339099884
t3_margin_rel_mean,,0.03098804188628209
t3_near_tie_frac_0.001,,0.035
t3_near_tie_frac_0.01,,0.35
t3_near_tie_frac_0.05,,0.825
t3_eps_optimal_0.001,,0.0
t3_eps_optimal_0.01,,0.0
t3_eps_optimal_0.05,,0.0
t3_consistency_mismatch_rate,,0.0
t4_rank_mean,,387.59
t4_top1_mean,,0.0
t4_top5_mean,,0.0
t4_top10_mean,,0.0
t4_top50_mean,,0.05
t4_ndcg10_mean,,0.4690735932439566
t4_ndcg50_mean,,0.558105413466692
t4_spearman_top1pct_mean,,0.6868888873746619
t4_margin_abs_mean,,0.003059546314179897
t4_margin_rel_mean,,0.014909699687987893
t4_near_tie_frac_0.001,,0.095
t4_near_tie_frac_0.01,,0.535
t4_near_tie_frac_0.05,,0.95
t4_eps_optimal_0.001,,0.0
t4_eps_optimal_0.01,,0.0
t4_eps_optimal_0.05,,0.0
t4_consistency_mismatch_rate,,0.0
t5_rank_mean,,520.245
t5_top1_mean,,0.0
t5_top5_mean,,0.005
t5_top10_mean,,0.01
t5_top50_mean,,0.04
t5_ndcg10_mean,,0.4623921149969101
t5_ndcg50_mean,,0.5535580252110958
t5_spearman_top1pct_mean,,0.6649914488883223
t5_margin_abs_mean,,0.0012732639536261559
t5_margin_rel_mean,,0.006411646999073074
t5_near_tie_frac_0.001,,0.22
t5_near_tie_frac_0.01,,0.775
t5_near_tie_frac_0.05,,1.0
t5_eps_optimal_0.001,,0.0
t5_eps_optimal_0.01,,0.0
t5_eps_optimal_0.05,,0.0
t5_consistency_mismatch_rate,,0.005
t6_rank_mean,,630.515
t6_top1_mean,,0.0
t6_top5_mean,,0.005
t6_top10_mean,,0.005
t6_top50_mean,,0.03
t6_ndcg10_mean,,0.4596640260517597
t6_ndcg50_mean,,0.5530478465557098
t6_spearman_top1pct_mean,,0.6306441724346951
t6_margin_abs_mean,,0.001064842753112316
t6_margin_rel_mean,,0.005944545963895297
t6_near_tie_frac_0.001,,0.32
t6_near_tie_frac_0.01,,0.85
t6_near_tie_frac_0.05,,0.99
t6_eps_optimal_0.001,,0.0
t6_eps_optimal_0.01,,0.0
t6_eps_optimal_0.05,,0.0
t6_consistency_mismatch_rate,,0.01
t7_rank_mean,,761.94
t7_top1_mean,,0.0
t7_top5_mean,,0.0
t7_top10_mean,,0.0
t7_top50_mean,,0.01
t7_ndcg10_mean,,0.45433675542473795
t7_ndcg50_mean,,0.5498627738654613
t7_spearman_top1pct_mean,,0.5829330211458728
t7_margin_abs_mean,,0.0007278057932853699
t7_margin_rel_mean,,0.00379916252505052
t7_near_tie_frac_0.001,,0.415
t7_near_tie_frac_0.01,,0.91
t7_near_tie_frac_0.05,,0.995
t7_eps_optimal_0.001,,0.0
t7_eps_optimal_0.01,,0.0
t7_eps_optimal_0.05,,0.0
t7_consistency_mismatch_rate,,0.02
t8_rank_mean,,972.655
t8_top1_mean,,0.0
t8_top5_mean,,0.0
t8_top10_mean,,0.005
t8_top50_mean,,0.01
t8_ndcg10_mean,,0.45226060211658475
t8_ndcg50_mean,,0.5496568240225315
t8_spearman_top1pct_mean,,0.531857892672997
t8_margin_abs_mean,,0.0004545002430677414
t8_margin_rel_mean,,0.002527024846018179
t8_near_tie_frac_0.001,,0.515
t8_near_tie_frac_0.01,,0.955
t8_near_tie_frac_0.05,,1.0
t8_eps_optimal_0.001,,0.0
t8_eps_optimal_0.01,,0.0
t8_eps_optimal_0.05,,0.0
t8_consistency_mismatch_rate,,0.015
t9_rank_mean,,1113.705
t9_top1_mean,,0.0
t9_top5_mean,,0.0
t9_top10_mean,,0.005
t9_top50_mean,,0.015
t9_ndcg10_mean,,0.45009237177670003
t9_ndcg50_mean,,0.5486999434232712
t9_spearman_top1pct_mean,,0.49061145876534284
t9_margin_abs_mean,,0.00035898298025131224
t9_margin_rel_mean,,0.0019900263139910014
t9_near_tie_frac_0.001,,0.58
t9_near_tie_frac_0.01,,0.97
t9_near_tie_frac_0.05,,1.0
t9_eps_optimal_0.001,,0.0
t9_eps_optimal_0.01,,0.0
t9_eps_optimal_0.05,,0.0
t9_consistency_mismatch_rate,,0.01
t10_rank_mean,,1390.16
t10_top1_mean,,0.0
t10_top5_mean,,0.0
t10_top10_mean,,0.0
t10_top50_mean,,0.01
t10_ndcg10_mean,,0.4492361644655466
t10_ndcg50_mean,,0.5488888271152973
t10_spearman_top1pct_mean,,0.43889271560241466
t10_margin_abs_mean,,0.00022873729467391967
t10_margin_rel_mean,,0.0013199985860596715
t10_near_tie_frac_0.001,,0.71
t10_near_tie_frac_0.01,,0.965
t10_near_tie_frac_0.05,,1.0
t10_eps_optimal_0.001,,0.0
t10_eps_optimal_0.01,,0.0
t10_eps_optimal_0.05,,0.0
t10_consistency_mismatch_rate,,0.005
