step,oracle,eps_optimal_0.001,eps_optimal_0.01,eps_optimal_0.05
1,future,0.005,0.01,0.015
2,future,0.01,0.01,0.015
3,future,0.005,0.005,0.005
4,future,0.0,0.005,0.01
5,future,0.0,0.0,0.005
6,future,0.0,0.0,0.005
7,future,0.0,0.0,0.005
8,future,0.005,0.005,0.005
9,future,0.0,0.0,0.0
10,future,0.0,0.0,0.0
1,correction,0.005,0.005,0.005
2,correction,0.0,0.0,0.0
3,correction,0.0,0.0,0.0
4,correction,0.0,0.0,0.0
5,correction,0.0,0.0,0.0
6,correction,0.0,0.0,0.0
7,correction,0.0,0.0,0.0
8,correction,0.0,0.0,0.0
9,correction,0.0,0.0,0.0
10,correction,0.0,0.0,0.0
