step,metric,value
t1_rank_mean,,62.345
t1_top1_mean,,0.005
t1_top5_mean,,0.065
t1_top10_mean,,0.125
t1_top50_mean,,0.525
t1_ndcg10_mean,,0.9723044085502625
t1_ndcg50_mean,,0.9770991784334183
t1_spearman_top1pct_mean,,0.29362399752251805
t1_margin_abs_mean,,0.05101310834288597
t1_margin_rel_mean,,0.13612008663441819
t1_near_tie_frac_0.001,,0.01
t1_near_tie_frac_0.01,,0.085
t1_near_tie_frac_0.05,,0.305
t1_eps_optimal_0.001,,0.005
t1_eps_optimal_0.01,,0.01
t1_eps_optimal_0.05,,0.015
t1_consistency_mismatch_rate,,0.0
t2_rank_mean,,107.315
t2_top1_mean,,0.01
t2_top5_mean,,0.055
t2_top10_mean,,0.09
t2_top50_mean,,0.285
t2_ndcg10_mean,,0.5250896488130092
t2_ndcg50_mean,,0.5911708435416222
t2_spearman_top1pct_mean,,0.602073754966259
t2_margin_abs_mean,,0.017788348346948625
t2_margin_rel_mean,,0.06343124111371369
t2_near_tie_frac_0.001,,0.025
t2_near_tie_frac_0.01,,0.145
t2_near_tie_frac_0.05,,0.52
t2_eps_optimal_0.001,,0.01
t2_eps_optimal_0.01,,0.01
t2_eps_optimal_0.05,,0.015
t2_consistency_mismatch_rate,,0.0
t3_rank_mean,,230.34
t3_top1_mean,,0.005
t3_top5_mean,,0.01
t3_top10_mean,,0.025
t3_top50_mean,,0.215
t3_ndcg10_mean,,0.4920585102587938
t3_ndcg50_mean,,0.5724529263377189
t3_spearman_top1pct_mean,,0.6692724042478949
t3_margin_abs_mean,,0.006928261891007423
t3_margin_rel_mean,,0.03028573611467868
t3_near_tie_frac_0.001,,0.05
t3_near_tie_frac_0.01,,0.325
t3_near_tie_frac_0.05,,0.835
t3_eps_optimal_0.001,,0.005
t3_eps_optimal_0.01,,0.005
t3_eps_optimal_0.05,,0.005
t3_consistency_mismatch_rate,,0.0
t4_rank_mean,,271.19
t4_top1_mean,,0.0
t4_top5_mean,,0.0
t4_top10_mean,,0.015
t4_top50_mean,,0.14
t4_ndcg10_mean,,0.4723963314294815
t4_ndcg50_mean,,0.5593783554434776
t4_spearman_top1pct_mean,,0.6149067000299692
t4_margin_abs_mean,,0.003456513620913029
t4_margin_rel_mean,,0.015087627537414303
t4_near_tie_frac_0.001,,0.11
t4_near_tie_frac_0.01,,0.545
t4_near_tie_frac_0.05,,0.95
t4_eps_optimal_0.001,,0.0
t4_eps_optimal_0.01,,0.005
t4_eps_optimal_0.05,,0.01
t4_consistency_mismatch_rate,,0.0
t5_rank_mean,,478.335
t5_top1_mean,,0.0
t5_top5_mean,,0.01
t5_top10_mean,,0.015
t5_top50_mean,,0.085
t5_ndcg10_mean,,0.46949028454720976
t5_ndcg50_mean,,0.5563378421962262
t5_spearman_top1pct_mean,,0.5368266094848514
t5_margin_abs_mean,,0.0018182674050331116
t5_margin_rel_mean,,0.00803846059835044
t5_near_tie_frac_0.001,,0.205
t5_near_tie_frac_0.01,,0.73
t5_near_tie_frac_0.05,,1.0
t5_eps_optimal_0.001,,0.0
t5_eps_optimal_0.01,,0.0
t5_eps_optimal_0.05,,0.005
t5_consistency_mismatch_rate,,0.0
t6_rank_mean,,704.725
t6_top1_mean,,0.0
t6_top5_mean,,0.0
t6_top10_mean,,0.005
t6_top50_mean,,0.045
t6_ndcg10_mean,,0.46651561461389063
t6_ndcg50_mean,,0.5558860737085343
t6_spearman_top1pct_mean,,0.46303020683350044
t6_margin_abs_mean,,0.0012111484259366989
t6_margin_rel_mean,,0.005614255725718104
t6_near_tie_frac_0.001,,0.285
t6_near_tie_frac_0.01,,0.82
t6_near_tie_frac_0.05,,0.995
t6_eps_optimal_0.001,,0.0
t6_eps_optimal_0.01,,0.0
t6_eps_optimal_0.05,,0.005
t6_consistency_mismatch_rate,,0.01
t7_rank_mean,,838.775
t7_top1_mean,,0.0
t7_top5_mean,,0.005
t7_top10_mean,,0.005
t7_top50_mean,,0.04
t7_ndcg10_mean,,0.4621151910722256
t7_ndcg50_mean,,0.5532210001349449
t7_spearman_top1pct_mean,,0.369247979777283
t7_margin_abs_mean,,0.0007499053701758385
t7_margin_rel_mean,,0.0035442808340273237
t7_near_tie_frac_0.001,,0.36
t7_near_tie_frac_0.01,,0.89
t7_near_tie_frac_0.05,,1.0
t7_eps_optimal_0.001,,0.0
t7_eps_optimal_0.01,,0.0
t7_eps_optimal_0.05,,0.005
t7_consistency_mismatch_rate,,0.02
t8_rank_mean,,1250.33
t8_top1_mean,,0.005
t8_top5_mean,,0.01
t8_top10_mean,,0.01
t8_top50_mean,,0.04
t8_ndcg10_mean,,0.46146392039954665
