step,oracle,rank_mean,top1_acc,top5_acc,top10_containment,top50_containment,ndcg10_mean,ndcg50_mean,spearman_top1pct_mean,consistency_mismatch_rate,set_overlap
1,future,62.345,0.005,0.065,0.125,0.525,0.9723044085502625,0.9770991784334183,0.29362399752251805,0.0,0.26463195691202873
2,future,107.315,0.01,0.055,0.09,0.285,0.5250896488130092,0.5911708435416222,0.602073754966259,0.0,0.2303411131059246
3,future,230.34,0.005,0.01,0.025,0.215,0.4920585102587938,0.5724529263377189,0.6692724042478949,0.0,0.22585278276481144
4,future,271.19,0.0,0.0,0.015,0.14,0.4723963314294815,0.5593783554434776,0.6149067000299692,0.0,0.23303411131059246
5,future,478.335,0.0,0.01,0.015,0.085,0.46949028454720976,0.5563378421962262,0.5368266094848514,0.0,0.23806104129263922
6,future,704.725,0.0,0.0,0.005,0.045,0.46651561461389063,0.5558860737085343,0.46303020683350044,0.01,0.24661879114302818
7,future,838.775,0.0,0.005,0.005,0.04,0.4621151910722256,0.5532210001349449,0.369247979777283,0.02,0.25529622980251343
8,future,1250.33,0.005,0.01,0.01,0.04,0.46146392039954665,0.5529783996939659,0.3235403714090353,0.045,0.2618940754039497
9,future,1551.355,0.0,0.0,0.01,0.015,0.45927350521087645,0.5517519672214984,0.21730506910200348,0.035,0.2688210652304009
10,future,2082.825,0.0,0.0,0.0,0.015,0.4587631580233574,0.5512957940995693,0.13357812055852264,0.045,0.276193895870736
1,correction,113.265,0.005,0.045,0.085,0.355,0.9247655087709427,0.934296333193779,0.30526569213718174,0.0,0.26463195691202873
2,correction,172.415,0.0,0.005,0.015,0.155,0.5189491572231054,0.5900485534965992,0.5673654399067164,0.0,0.2303411131059246
3,correction,258.97,0.0,0.005,0.01,0.075,0.4866204776614904,0.5694125466048717,0.680986488033086,0.0,0.22585278276481144
4,correction,387.59,0.0,0.0,0.0,0.05,0.4690735932439566,0.558105413466692,0.6868888873746619,0.0,0.23303411131059246
5,correction,520.245,0.0,0.005,0.01,0.04,0.4623921149969101,0.5535580252110958,0.6649914488883223,0.005,0.23806104129263922
6,correction,630.515,0.0,0.005,0.005,0.03,0.4596640260517597,0.5530478465557098,0.6306441724346951,0.01,0.24661879114302818
7,correction,761.94,0.0,0.0,0.0,0.01,0.45433675542473795,0.5498627738654613,0.5829330211458728,0.02,0.25529622980251343
8,correction,972.655,0.0,0.0,0.005,0.01,0.45226060211658475,0.5496568240225315,0.531857892672997,0.015,0.2618940754039497
9,correction,1113.705,0.0,0.0,0.005,0.015,0.45009237177670003,0.5486999434232712,0.49061145876534284,0.01,0.2688210652304009
10,correction,1390.16,0.0,0.0,0.0,0.01,0.4492361644655466,0.5488888271152973,0.43889271560241466,0.005,0.276193895870736
