step,oracle,margin_abs_mean,margin_rel_mean,near_tie_frac_0.001,near_tie_frac_0.01,near_tie_frac_0.05
1,future,0.05101310834288597,0.13612008663441819,0.01,0.085,0.305
2,future,0.017788348346948625,0.06343124111371369,0.025,0.145,0.52
3,future,0.006928261891007423,0.03028573611467868,0.05,0.325,0.835
4,future,0.003456513620913029,0.015087627537414303,0.11,0.545,0.95
5,future,0.0018182674050331116,0.00803846059835044,0.205,0.73,1.0
6,future,0.0012111484259366989,0.005614255725718104,0.285,0.82,0.995
7,future,0.0007499053701758385,0.0035442808340273237,0.36,0.89,1.0
8,future,0.00040014535188674926,0.002095570404220465,0.53,0.97,1.0
9,future,0.00027603115886449815,0.0014448478665006034,0.67,0.98,1.0
10,future,0.00016614228487014772,0.0008373980291026479,0.78,0.99,1.0
1,correction,0.032448907420039176,0.09528825672678692,0.015,0.11,0.38
2,correction,0.011608720496296883,0.04354175052105889,0.015,0.2,0.68
3,correction,0.006083703339099884,0.03098804188628209,0.035,0.35,0.825
4,correction,0.003059546314179897,0.014909699687987893,0.095,0.535,0.95
5,correction,0.0012732639536261559,0.006411646999073074,0.22,0.775,1.0
6,correction,0.001064842753112316,0.005944545963895297,0.32,0.85,0.99
7,correction,0.0007278057932853699,0.00379916252505052,0.415,0.91,0.995
8,correction,0.0004545002430677414,0.002527024846018179,0.515,0.955,1.0
9,correction,0.00035898298025131224,0.0019900263139910014,0.58,0.97,1.0
10,correction,0.00022873729467391967,0.0013199985860596715,0.71,0.965,1.0
