channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.3764408230781555,32
0,dense_first,2,0.3312768340110779,32
0,dense_first,3,0.31659385561943054,32
0,dense_first,4,0.2953713536262512,32
0,dense_first,5,0.29566216468811035,32
0,dense_first,6,0.3006414771080017,32
0,dense_first,7,0.2940400242805481,32
0,dense_first,8,0.2876964509487152,32
0,dense_first,9,0.28295212984085083,32
0,dense_first,10,0.2834126949310303,32
0,b0_first,1,0.2831193208694458,32
0,b0_first,2,0.27043014764785767,32
0,b0_first,3,0.25693944096565247,32
0,b0_first,4,0.24739579856395721,32
0,b0_first,5,0.24529707431793213,32
0,b0_first,6,0.2419911026954651,32
0,b0_first,7,0.23694518208503723,32
0,b0_first,8,0.2332158088684082,32
0,b0_first,9,0.23018847405910492,32
0,b0_first,10,0.2290736734867096,32
0,oracle_first,1,0.07649996131658554,32
0,oracle_first,2,0.2980569899082184,32
0,oracle_first,3,0.324255108833313,32
0,oracle_first,4,0.3382315933704376,32
0,oracle_first,5,0.353836327791214,32
0,oracle_first,6,0.36625832319259644,32
0,oracle_first,7,0.34901171922683716,32
0,oracle_first,8,0.35120540857315063,32
0,oracle_first,9,0.3439719080924988,32
0,oracle_first,10,0.34955596923828125,32
1,dense_first,1,0.4691821336746216,32
1,dense_first,2,0.45648103952407837,32
1,dense_first,3,0.4568353593349457,32
1,dense_first,4,0.4421876072883606,32
1,dense_first,5,0.44245022535324097,32
1,dense_first,6,0.449426531791687,32
1,dense_first,7,0.45535507798194885,32
1,dense_first,8,0.4579124450683594,32
1,dense_first,9,0.46332597732543945,32
1,dense_first,10,0.46744251251220703,32
1,b0_first,1,0.4425209164619446,32
1,b0_first,2,0.4183031916618347,32
1,b0_first,3,0.40018290281295776,32
1,b0_first,4,0.39400196075439453,32
1,b0_first,5,0.392966091632843,32
1,b0_first,6,0.38789916038513184,32
1,b0_first,7,0.3891504406929016,32
1,b0_first,8,0.3947174549102783,32
1,b0_first,9,0.3999588191509247,32
1,b0_first,10,0.39958518743515015,32
1,oracle_first,1,0.17776811122894287,32
1,oracle_first,2,0.2543984055519104,32
1,oracle_first,3,0.3548350930213928,32
1,oracle_first,4,0.3714187741279602,32
1,oracle_first,5,0.4200151264667511,32
1,oracle_first,6,0.4610452353954315,32
1,oracle_first,7,0.4654466509819031,32
1,oracle_first,8,0.4775956869125366,32
1,oracle_first,9,0.4932159185409546,32
1,oracle_first,10,0.49288660287857056,32
2,dense_first,1,0.9567292928695679,32
2,dense_first,2,0.8403357267379761,32
2,dense_first,3,0.7513678073883057,32
2,dense_first,4,0.6842748522758484,32
2,dense_first,5,0.6438919305801392,32
2,dense_first,6,0.612816572189331,32
2,dense_first,7,0.589126467704773,32
2,dense_first,8,0.5577867031097412,32
2,dense_first,9,0.523616373538971,32
2,dense_first,10,0.5000720024108887,32
2,b0_first,1,0.4087187349796295,32
2,b0_first,2,0.38567879796028137,32
2,b0_first,3,0.3580568730831146,32
2,b0_first,4,0.3394424319267273,32
2,b0_first,5,0.32876864075660706,32
2,b0_first,6,0.319122314453125,32
2,b0_first,7,0.30917757749557495,32
2,b0_first,8,0.30264467000961304,32
2,b0_first,9,0.2888185381889343,32
2,b0_first,10,0.28248584270477295,32
2,oracle_first,1,0.0594760999083519,32
2,oracle_first,2,0.08898424357175827,32
2,oracle_first,3,0.10964411497116089,32
2,oracle_first,4,0.12243793159723282,32
2,oracle_first,5,0.14508672058582306,32
2,oracle_first,6,0.1669357419013977,32
2,oracle_first,7,0.17722047865390778,32
2,oracle_first,8,0.18557164072990417,32
2,oracle_first,9,0.18513983488082886,32
2,oracle_first,10,0.1873747855424881,32
3,dense_first,1,0.48986512422561646,32
3,dense_first,2,0.47582846879959106,32
3,dense_first,3,0.45616012811660767,32
3,dense_first,4,0.4468159079551697,32
3,dense_first,5,0.44634029269218445,32
3,dense_first,6,0.43257415294647217,32
3,dense_first,7,0.4322223663330078,32
3,dense_first,8,0.43561944365501404,32
3,dense_first,9,0.42826277017593384,32
3,dense_first,10,0.42756110429763794,32
3,b0_first,1,0.47949111461639404,32
3,b0_first,2,0.47120246291160583,32
3,b0_first,3,0.46582654118537903,32
3,b0_first,4,0.45486146211624146,32
3,b0_first,5,0.45288246870040894,32
3,b0_first,6,0.4509694278240204,32
3,b0_first,7,0.4351876378059387,32
3,b0_first,8,0.43486881256103516,32
3,b0_first,9,0.4324648380279541,32
3,b0_first,10,0.4297633767127991,32
3,oracle_first,1,0.1116892620921135,32
3,oracle_first,2,0.12072490900754929,32
3,oracle_first,3,0.16980475187301636,32
3,oracle_first,4,0.20421689748764038,32
3,oracle_first,5,0.25384676456451416,32
3,oracle_first,6,0.2652720510959625,32
3,oracle_first,7,0.29144954681396484,32
3,oracle_first,8,0.3057369291782379,32
3,oracle_first,9,0.31703105568885803,32
3,oracle_first,10,0.3246045410633087,32
4,dense_first,1,0.8339012861251831,32
4,dense_first,2,0.7940163016319275,32
4,dense_first,3,0.7761563062667847,32
4,dense_first,4,0.7576985955238342,32
4,dense_first,5,0.7036145925521851,32
4,dense_first,6,0.7017124891281128,32
4,dense_first,7,0.5869390368461609,32
4,dense_first,8,0.582744836807251,32
4,dense_first,9,0.5827256441116333,32
4,dense_first,10,0.5684638619422913,32
4,b0_first,1,0.7641207575798035,32
4,b0_first,2,0.7250169515609741,32
4,b0_first,3,0.690693199634552,32
4,b0_first,4,0.6559560298919678,32
4,b0_first,5,0.6390765905380249,32
4,b0_first,6,0.635295033454895,32
4,b0_first,7,0.6116853356361389,32
4,b0_first,8,0.5988191366195679,32
4,b0_first,9,0.5928207039833069,32
4,b0_first,10,0.5822587609291077,32
4,oracle_first,1,0.29735687375068665,32
4,oracle_first,2,0.32300180196762085,32
4,oracle_first,3,0.35407590866088867,32
4,oracle_first,4,0.36326706409454346,32
4,oracle_first,5,0.3697130084037781,32
4,oracle_first,6,0.38896313309669495,32
4,oracle_first,7,0.4018528461456299,32
4,oracle_first,8,0.40524163842201233,32
4,oracle_first,9,0.4123835563659668,32
4,oracle_first,10,0.41448527574539185,32
5,dense_first,1,0.4690798819065094,32
5,dense_first,2,0.4464479088783264,32
5,dense_first,3,0.4329509139060974,32
5,dense_first,4,0.4108632802963257,32
5,dense_first,5,0.38962358236312866,32
5,dense_first,6,0.38261842727661133,32
5,dense_first,7,0.3709387481212616,32
5,dense_first,8,0.36473917961120605,32
5,dense_first,9,0.36008530855178833,32
5,dense_first,10,0.35355842113494873,32
5,b0_first,1,0.5180762410163879,32
5,b0_first,2,0.5018150806427002,32
5,b0_first,3,0.48686322569847107,32
5,b0_first,4,0.46770140528678894,32
5,b0_first,5,0.4430946707725525,32
5,b0_first,6,0.43431252241134644,32
5,b0_first,7,0.41327714920043945,32
5,b0_first,8,0.40991875529289246,32
5,b0_first,9,0.4035465717315674,32
5,b0_first,10,0.4002308249473572,32
5,oracle_first,1,0.12476855516433716,32
5,oracle_first,2,0.14087846875190735,32
5,oracle_first,3,0.15275581181049347,32
5,oracle_first,4,0.16329579055309296,32
5,oracle_first,5,0.1693151891231537,32
5,oracle_first,6,0.17570947110652924,32
5,oracle_first,7,0.1855599731206894,32
5,oracle_first,8,0.19945552945137024,32
5,oracle_first,9,0.20659694075584412,32
5,oracle_first,10,0.21350497007369995,32
6,dense_first,1,0.26038414239883423,32
6,dense_first,2,0.2433479279279709,32
6,dense_first,3,0.22187399864196777,32
6,dense_first,4,0.2070125937461853,32
6,dense_first,5,0.1964208483695984,32
6,dense_first,6,0.1896672546863556,32
6,dense_first,7,0.18536071479320526,32
6,dense_first,8,0.18316268920898438,32
6,dense_first,9,0.18039852380752563,32
6,dense_first,10,0.17659473419189453,32
6,b0_first,1,0.4808705151081085,32
6,b0_first,2,0.44844508171081543,32
6,b0_first,3,0.43100184202194214,32
6,b0_first,4,0.411202073097229,32
6,b0_first,5,0.3961758017539978,32
6,b0_first,6,0.3838663697242737,32
6,b0_first,7,0.3724038600921631,32
6,b0_first,8,0.36218708753585815,32
6,b0_first,9,0.3529575765132904,32
6,b0_first,10,0.3367430865764618,32
6,oracle_first,1,0.042622096836566925,32
6,oracle_first,2,0.05774485692381859,32
6,oracle_first,3,0.06200629472732544,32
6,oracle_first,4,0.063706174492836,32
6,oracle_first,5,0.0648563802242279,32
6,oracle_first,6,0.06998421996831894,32
6,oracle_first,7,0.07069920003414154,32
6,oracle_first,8,0.0767214298248291,32
6,oracle_first,9,0.07711520791053772,32
6,oracle_first,10,0.07683394849300385,32
0,dense_first,1,0.29748648405075073,32
