metric,C0,E1,E2
stage2_mse,0.39525834740945864,0.4066750158476424,0.4041804656173629
delta_vs_b0,0.022136655587196963,0.03355332402538069,0.031058773795101247
gap_recovery,-0.26263012014518994,-0.37029931693081447,-0.35937032388392154
hard_aggregate_mse_seq,0.5513873813344065,0.546586329065664,0.6768010831391585
t1_spearman_top1pct,0.21278517360566185,0.14545490672375308,0.2441700103133917
t1_oracle_rank_median,99,210,86
t1_top50_containment,0.305,0.205,0.315
t2_hurt_frac,0.232,0.194,0.216
t2_selected_rank_median,1934.0,539.5,1929.5
t2_oracle_rank_median,560.0,318.0,481.5
t2_spearman_top1pct,0.14044038745970466,0.13576884715259074,0.16563783843815327
t2_continuation_regret,0.34980106046050785,0.398746568415314,0.31768389041349293
