channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.45841291546821594,32
0,dense_first,2,0.32245969772338867,32
0,dense_first,3,0.2737386226654053,32
0,dense_first,4,0.2288740873336792,32
0,dense_first,5,0.20336829125881195,32
0,dense_first,6,0.19558638334274292,32
0,dense_first,7,0.18095332384109497,32
0,dense_first,8,0.17479939758777618,32
0,dense_first,9,0.17439895868301392,32
0,dense_first,10,0.1691657304763794,32
0,b0_first,1,0.2831193208694458,32
0,b0_first,2,0.24409282207489014,32
0,b0_first,3,0.2213439643383026,32
0,b0_first,4,0.20295584201812744,32
0,b0_first,5,0.19216370582580566,32
0,b0_first,6,0.1837833672761917,32
0,b0_first,7,0.17687082290649414,32
0,b0_first,8,0.1691524237394333,32
0,b0_first,9,0.16477954387664795,32
0,b0_first,10,0.16377657651901245,32
0,oracle_first,1,0.07649996131658554,32
0,oracle_first,2,0.4501846432685852,32
0,oracle_first,3,0.29957181215286255,32
0,oracle_first,4,0.25439131259918213,32
0,oracle_first,5,0.21973207592964172,32
0,oracle_first,6,0.19701460003852844,32
0,oracle_first,7,0.18559704720973969,32
0,oracle_first,8,0.17265954613685608,32
0,oracle_first,9,0.16660791635513306,32
0,oracle_first,10,0.16482754051685333,32
1,dense_first,1,0.6584495902061462,32
1,dense_first,2,0.49778828024864197,32
1,dense_first,3,0.44523417949676514,32
1,dense_first,4,0.42254936695098877,32
1,dense_first,5,0.4081800878047943,32
1,dense_first,6,0.3852960467338562,32
1,dense_first,7,0.3663902282714844,32
1,dense_first,8,0.35567188262939453,32
1,dense_first,9,0.34794116020202637,32
1,dense_first,10,0.35473424196243286,32
1,b0_first,1,0.4425209164619446,32
1,b0_first,2,0.3611833155155182,32
1,b0_first,3,0.3452290892601013,32
1,b0_first,4,0.330646276473999,32
1,b0_first,5,0.3260279893875122,32
1,b0_first,6,0.30674776434898376,32
1,b0_first,7,0.2936488389968872,32
1,b0_first,8,0.29064616560935974,32
1,b0_first,9,0.2854596972465515,32
1,b0_first,10,0.27384912967681885,32
1,oracle_first,1,0.17776811122894287,32
1,oracle_first,2,0.29429882764816284,32
1,oracle_first,3,0.3158862590789795,32
1,oracle_first,4,0.2990606129169464,32
1,oracle_first,5,0.30376723408699036,32
1,oracle_first,6,0.30274489521980286,32
1,oracle_first,7,0.2948972284793854,32
1,oracle_first,8,0.2910670042037964,32
1,oracle_first,9,0.2960129380226135,32
1,oracle_first,10,0.29168444871902466,32
2,dense_first,1,0.5145619511604309,32
2,dense_first,2,0.42237213253974915,32
2,dense_first,3,0.43916499614715576,32
2,dense_first,4,0.35555291175842285,32
2,dense_first,5,0.31361034512519836,32
2,dense_first,6,0.3009411096572876,32
2,dense_first,7,0.2930881083011627,32
2,dense_first,8,0.27034860849380493,32
2,dense_first,9,0.2640112340450287,32
2,dense_first,10,0.25942423939704895,32
2,b0_first,1,0.4087187349796295,32
2,b0_first,2,0.31496942043304443,32
2,b0_first,3,0.26304709911346436,32
2,b0_first,4,0.24620270729064941,32
2,b0_first,5,0.22761309146881104,32
2,b0_first,6,0.21649904549121857,32
2,b0_first,7,0.20351381599903107,32
2,b0_first,8,0.19937823712825775,32
2,b0_first,9,0.19874031841754913,32
2,b0_first,10,0.19120237231254578,32
2,oracle_first,1,0.0594760999083519,32
2,oracle_first,2,0.37809979915618896,32
2,oracle_first,3,0.3325323462486267,32
2,oracle_first,4,0.29205143451690674,32
2,oracle_first,5,0.3014284372329712,32
2,oracle_first,6,0.30797362327575684,32
2,oracle_first,7,0.25601521134376526,32
2,oracle_first,8,0.25130146741867065,32
2,oracle_first,9,0.2529371380805969,32
2,oracle_first,10,0.24969080090522766,32
3,dense_first,1,0.5570250749588013,32
3,dense_first,2,0.5268282890319824,32
3,dense_first,3,0.4650784730911255,32
3,dense_first,4,0.4442768096923828,32
3,dense_first,5,0.40263837575912476,32
3,dense_first,6,0.36508747935295105,32
3,dense_first,7,0.3397160768508911,32
3,dense_first,8,0.32134586572647095,32
3,dense_first,9,0.3292897343635559,32
3,dense_first,10,0.3138301968574524,32
3,b0_first,1,0.47949111461639404,32
3,b0_first,2,0.4410685896873474,32
3,b0_first,3,0.40564316511154175,32
3,b0_first,4,0.36674872040748596,32
3,b0_first,5,0.3497774600982666,32
3,b0_first,6,0.32982829213142395,32
3,b0_first,7,0.3063896894454956,32
3,b0_first,8,0.2760339677333832,32
3,b0_first,9,0.2646215558052063,32
3,b0_first,10,0.2658785283565521,32
3,oracle_first,1,0.1116892620921135,32
3,oracle_first,2,0.2711827754974365,32
3,oracle_first,3,0.263589084148407,32
3,oracle_first,4,0.26099151372909546,32
3,oracle_first,5,0.28248000144958496,32
3,oracle_first,6,0.28393125534057617,32
3,oracle_first,7,0.2639298439025879,32
3,oracle_first,8,0.2587023377418518,32
3,oracle_first,9,0.24776926636695862,32
3,oracle_first,10,0.2560591697692871,32
4,dense_first,1,0.7491888999938965,32
4,dense_first,2,0.7025195360183716,32
4,dense_first,3,0.627169132232666,32
4,dense_first,4,0.6240294575691223,32
4,dense_first,5,0.602569580078125,32
4,dense_first,6,0.578152060508728,32
4,dense_first,7,0.5544760227203369,32
4,dense_first,8,0.579074501991272,32
4,dense_first,9,0.5734439492225647,32
4,dense_first,10,0.5551799535751343,32
4,b0_first,1,0.7641207575798035,32
4,b0_first,2,0.647212028503418,32
4,b0_first,3,0.6076149344444275,32
4,b0_first,4,0.5913052558898926,32
4,b0_first,5,0.567940354347229,32
4,b0_first,6,0.5550543069839478,32
4,b0_first,7,0.550349235534668,32
4,b0_first,8,0.5356475710868835,32
4,b0_first,9,0.5371382236480713,32
4,b0_first,10,0.5337727069854736,32
4,oracle_first,1,0.29735687375068665,32
4,oracle_first,2,0.39506351947784424,32
4,oracle_first,3,0.38498035073280334,32
4,oracle_first,4,0.384941041469574,32
4,oracle_first,5,0.38767319917678833,32
4,oracle_first,6,0.3815223276615143,32
4,oracle_first,7,0.39501112699508667,32
4,oracle_first,8,0.40000033378601074,32
4,oracle_first,9,0.4038050174713135,32
4,oracle_first,10,0.4027223289012909,32
5,dense_first,1,0.4103301763534546,32
5,dense_first,2,0.36266493797302246,32
5,dense_first,3,0.3983460068702698,32
5,dense_first,4,0.405453085899353,32
5,dense_first,5,0.3731241822242737,32
5,dense_first,6,0.33778610825538635,32
5,dense_first,7,0.3462996184825897,32
5,dense_first,8,0.340582013130188,32
5,dense_first,9,0.3516758382320404,32
5,dense_first,10,0.35100024938583374,32
5,b0_first,1,0.5180762410163879,32
5,b0_first,2,0.47557979822158813,32
5,b0_first,3,0.42078888416290283,32
5,b0_first,4,0.408993661403656,32
5,b0_first,5,0.3843628764152527,32
5,b0_first,6,0.3677574396133423,32
5,b0_first,7,0.3452984094619751,32
5,b0_first,8,0.31195491552352905,32
5,b0_first,9,0.3024951219558716,32
5,b0_first,10,0.2987051010131836,32
5,oracle_first,1,0.12476855516433716,32
5,oracle_first,2,0.16624800860881805,32
5,oracle_first,3,0.20460502803325653,32
5,oracle_first,4,0.2314363718032837,32
5,oracle_first,5,0.25060945749282837,32
5,oracle_first,6,0.2439309060573578,32
5,oracle_first,7,0.23434627056121826,32
5,oracle_first,8,0.2782241106033325,32
5,oracle_first,9,0.2808288037776947,32
5,oracle_first,10,0.3094673752784729,32
6,dense_first,1,0.25114017724990845,32
6,dense_first,2,0.20155000686645508,32
6,dense_first,3,0.1825629472732544,32
6,dense_first,4,0.17743244767189026,32
6,dense_first,5,0.20913079380989075,32
6,dense_first,6,0.19997656345367432,32
6,dense_first,7,0.19288986921310425,32
6,dense_first,8,0.19288107752799988,32
6,dense_first,9,0.1891145259141922,32
6,dense_first,10,0.1830519139766693,32
6,b0_first,1,0.4808705151081085,32
6,b0_first,2,0.3688005805015564,32
6,b0_first,3,0.3076563775539398,32
6,b0_first,4,0.2822590470314026,32
6,b0_first,5,0.24542874097824097,32
6,b0_first,6,0.2440098375082016,32
6,b0_first,7,0.2405732274055481,32
6,b0_first,8,0.23149341344833374,32
6,b0_first,9,0.22267597913742065,32
6,b0_first,10,0.21175585687160492,32
6,oracle_first,1,0.042622096836566925,32
6,oracle_first,2,0.10537128150463104,32
6,oracle_first,3,0.17692774534225464,32
6,oracle_first,4,0.17316800355911255,32
6,oracle_first,5,0.16453059017658234,32
6,oracle_first,6,0.17202261090278625,32
6,oracle_first,7,0.1604519784450531,32
6,oracle_first,8,0.1752147376537323,32
6,oracle_first,9,0.17850986123085022,32
6,oracle_first,10,0.17587792873382568,32
0,dense_first,1,0.451137900352478,32
0,dense_first,2,0.329756498336792,32
0,dense_first,3,0.28494787216186523,32
0,dense_first,4,0.275456964969635,32
0,dense_first,5,0.2572315037250519,32
0,dense_first,6,0.2682766914367676,32
0,dense_first,7,0.26165008544921875,32
0,dense_first,8,0.2515276372432709,32
0,dense_first,9,0.2460865080356598,32
0,dense_first,10,0.23915399610996246,32
0,b0_first,1,0.1990089863538742,32
0,b0_first,2,0.17643485963344574,32
0,b0_first,3,0.1612357497215271,32
0,b0_first,4,0.1582314670085907,32
0,b0_first,5,0.15826529264450073,32
0,b0_first,6,0.15444833040237427,32
0,b0_first,7,0.15353670716285706,32
0,b0_first,8,0.15401731431484222,32
