metric,C0_frozen,E1_trainable
stage2_mse,0.39525834740945864,0.4066750158476424
delta_vs_b0,0.022136655587196963,0.03355332402538069
gap_recovery,-0.26263012014518994,-0.37029931693081447
hard_aggregate_mse_seq,0.5513873813344065,0.546586329065664
t1_test_spearman_top1pct,0.21278517360566185,0.14545490672375308
t1_test_oracle_rank_median,99,210
t1_test_top50_containment,0.305,0.205
t1_train_spearman_top1pct,,0.07316822214052081
t1_train_oracle_rank_median,,1218
t2_test_hurt_frac,0.232,0.194
t2_test_selected_true_rank_median,1934.0,539.5
t2_test_oracle_predicted_rank_median,560.0,318.0
t2_test_spearman_top1pct,0.14044038745970466,0.13576884715259074
t2_test_continuation_regret,0.34980106046050785,0.398746568415314
t2_train_hurt_frac,,0.242
t2_train_spearman_top1pct,,0.08197604773566126
best_epoch,1,1
best_val_overlap_at_k,0.0082,0.0083
embedding_effective_rank_probe,17.478,2.963
embedding_pairwise_cosine_mean_probe,0.4736,0.9932
