channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,2.0699191093444824,32
0,dense_first,2,2.0697216987609863,32
0,dense_first,3,2.0703392028808594,32
0,dense_first,4,2.0716545581817627,32
0,dense_first,5,2.0743062496185303,32
0,dense_first,6,2.073359966278076,32
0,dense_first,7,2.0760254859924316,32
0,dense_first,8,2.0796926021575928,32
0,dense_first,9,2.089012384414673,32
0,dense_first,10,2.0889382362365723,32
0,b0_first,1,0.8028748035430908,32
0,b0_first,2,0.802873969078064,32
0,b0_first,3,0.8028743267059326,32
0,b0_first,4,0.8028746247291565,32
0,b0_first,5,0.8028737902641296,32
0,b0_first,6,0.8028736710548401,32
0,b0_first,7,0.8028742074966431,32
0,b0_first,8,0.8028737306594849,32
0,b0_first,9,0.8028737306594849,32
0,b0_first,10,0.802872896194458,32
0,oracle_first,1,0.3174806237220764,32
0,oracle_first,2,0.31747984886169434,32
0,oracle_first,3,0.3174801468849182,32
0,oracle_first,4,0.3174803853034973,32
0,oracle_first,5,0.3174791634082794,32
0,oracle_first,6,0.3174789845943451,32
0,oracle_first,7,0.3174790143966675,32
0,oracle_first,8,0.31747883558273315,32
0,oracle_first,9,0.3174784183502197,32
0,oracle_first,10,0.3174789547920227,32
1,dense_first,1,0.6592122316360474,32
1,dense_first,2,0.6591962575912476,32
1,dense_first,3,0.6591060161590576,32
1,dense_first,4,0.6590791940689087,32
1,dense_first,5,0.6590154767036438,32
1,dense_first,6,0.6590449810028076,32
1,dense_first,7,0.6590437889099121,32
1,dense_first,8,0.6590349674224854,32
1,dense_first,9,0.6590051651000977,32
1,dense_first,10,0.6591188311576843,32
1,b0_first,1,0.6171281337738037,32
1,b0_first,2,0.6171151399612427,32
1,b0_first,3,0.6171032190322876,32
1,b0_first,4,0.617091953754425,32
1,b0_first,5,0.6170760989189148,32
1,b0_first,6,0.617061972618103,32
1,b0_first,7,0.6170483231544495,32
1,b0_first,8,0.617033839225769,32
1,b0_first,9,0.6170228719711304,32
1,b0_first,10,0.6170053482055664,32
1,oracle_first,1,0.30400562286376953,32
1,oracle_first,2,0.30405184626579285,32
1,oracle_first,3,0.3040394186973572,32
1,oracle_first,4,0.3040328621864319,32
1,oracle_first,5,0.3040326237678528,32
1,oracle_first,6,0.3040240406990051,32
1,oracle_first,7,0.30402806401252747,32
1,oracle_first,8,0.30401331186294556,32
1,oracle_first,9,0.3040069341659546,32
1,oracle_first,10,0.3039880096912384,32
2,dense_first,1,2.1920182704925537,32
2,dense_first,2,2.1938793659210205,32
2,dense_first,3,2.1974411010742188,32
2,dense_first,4,2.1984832286834717,32
2,dense_first,5,2.199570417404175,32
2,dense_first,6,2.2007298469543457,32
2,dense_first,7,2.202042579650879,32
2,dense_first,8,2.2040061950683594,32
2,dense_first,9,2.2052109241485596,32
2,dense_first,10,2.206442356109619,32
2,b0_first,1,0.7626448273658752,32
2,b0_first,2,0.7626451849937439,32
2,b0_first,3,0.762643575668335,32
2,b0_first,4,0.7626445293426514,32
2,b0_first,5,0.7626436948776245,32
2,b0_first,6,0.7626430988311768,32
2,b0_first,7,0.7626410722732544,32
2,b0_first,8,0.7626407742500305,32
2,b0_first,9,0.762640118598938,32
2,b0_first,10,0.762640118598938,32
2,oracle_first,1,0.3331853449344635,32
2,oracle_first,2,0.3331853747367859,32
2,oracle_first,3,0.3331846594810486,32
2,oracle_first,4,0.3331823945045471,32
2,oracle_first,5,0.3331814110279083,32
2,oracle_first,6,0.33317989110946655,32
2,oracle_first,7,0.3331795334815979,32
2,oracle_first,8,0.33317941427230835,32
2,oracle_first,9,0.33318108320236206,32
2,oracle_first,10,0.333179771900177,32
3,dense_first,1,0.676097571849823,32
3,dense_first,2,0.6757705211639404,32
3,dense_first,3,0.6757326126098633,32
3,dense_first,4,0.6755027770996094,32
3,dense_first,5,0.6751631498336792,32
3,dense_first,6,0.675111711025238,32
3,dense_first,7,0.675025463104248,32
3,dense_first,8,0.6750119924545288,32
3,dense_first,9,0.674994707107544,32
3,dense_first,10,0.675075888633728,32
3,b0_first,1,0.5674242973327637,32
3,b0_first,2,0.5673996210098267,32
3,b0_first,3,0.567389965057373,32
3,b0_first,4,0.5673804879188538,32
3,b0_first,5,0.5673733949661255,32
3,b0_first,6,0.567366898059845,32
3,b0_first,7,0.567362368106842,32
3,b0_first,8,0.5673542022705078,32
3,b0_first,9,0.5673465728759766,32
3,b0_first,10,0.5673370361328125,32
3,oracle_first,1,0.2655482888221741,32
3,oracle_first,2,0.26553893089294434,32
3,oracle_first,3,0.2655312418937683,32
3,oracle_first,4,0.2655424177646637,32
3,oracle_first,5,0.2655411660671234,32
3,oracle_first,6,0.2655576765537262,32
3,oracle_first,7,0.26554232835769653,32
3,oracle_first,8,0.2655320465564728,32
3,oracle_first,9,0.2655251622200012,32
3,oracle_first,10,0.26551711559295654,32
4,dense_first,1,0.7800898551940918,32
4,dense_first,2,0.778161883354187,32
4,dense_first,3,0.7756288051605225,32
4,dense_first,4,0.7734311819076538,32
4,dense_first,5,0.7721931338310242,32
4,dense_first,6,0.7676963806152344,32
4,dense_first,7,0.765832781791687,32
4,dense_first,8,0.7612869739532471,32
4,dense_first,9,0.7601922750473022,32
4,dense_first,10,0.7587831616401672,32
4,b0_first,1,0.5655744075775146,32
4,b0_first,2,0.5655360817909241,32
4,b0_first,3,0.5654968023300171,32
4,b0_first,4,0.5654557347297668,32
4,b0_first,5,0.5654183030128479,32
4,b0_first,6,0.5653731822967529,32
4,b0_first,7,0.5653260946273804,32
4,b0_first,8,0.565255880355835,32
4,b0_first,9,0.5652093887329102,32
4,b0_first,10,0.5651206970214844,32
4,oracle_first,1,0.11450409144163132,32
4,oracle_first,2,0.11446426063776016,32
4,oracle_first,3,0.11442849785089493,32
4,oracle_first,4,0.11439419537782669,32
4,oracle_first,5,0.11436507105827332,32
4,oracle_first,6,0.11435651779174805,32
4,oracle_first,7,0.11429673433303833,32
4,oracle_first,8,0.1142519861459732,32
4,oracle_first,9,0.11416687816381454,32
4,oracle_first,10,0.11412079632282257,32
5,dense_first,1,0.3341788947582245,32
5,dense_first,2,0.3926767110824585,32
5,dense_first,3,0.3564278483390808,32
5,dense_first,4,0.29021546244621277,32
5,dense_first,5,0.3217679262161255,32
5,dense_first,6,0.2983788251876831,32
5,dense_first,7,0.2755279242992401,32
5,dense_first,8,0.27498215436935425,32
5,dense_first,9,0.26084810495376587,32
5,dense_first,10,0.25427040457725525,32
5,b0_first,1,0.20528371632099152,32
5,b0_first,2,0.2049638330936432,32
5,b0_first,3,0.20472101867198944,32
5,b0_first,4,0.20462551712989807,32
5,b0_first,5,0.2042967677116394,32
5,b0_first,6,0.20413744449615479,32
5,b0_first,7,0.20394018292427063,32
5,b0_first,8,0.20364472270011902,32
5,b0_first,9,0.20343777537345886,32
5,b0_first,10,0.20321208238601685,32
5,oracle_first,1,0.060055673122406006,32
5,oracle_first,2,0.06147846579551697,32
5,oracle_first,3,0.06367366015911102,32
5,oracle_first,4,0.06405845284461975,32
5,oracle_first,5,0.06427124887704849,32
5,oracle_first,6,0.0644107460975647,32
5,oracle_first,7,0.0655122771859169,32
5,oracle_first,8,0.06614051759243011,32
5,oracle_first,9,0.06686169654130936,32
5,oracle_first,10,0.06743104010820389,32
6,dense_first,1,0.08115948736667633,32
6,dense_first,2,0.08020034432411194,32
6,dense_first,3,0.07977718859910965,32
6,dense_first,4,0.0794917643070221,32
6,dense_first,5,0.07909880578517914,32
6,dense_first,6,0.07859779894351959,32
6,dense_first,7,0.07831252366304398,32
6,dense_first,8,0.07798720896244049,32
6,dense_first,9,0.07767260074615479,32
6,dense_first,10,0.0773884728550911,32
6,b0_first,1,0.20227599143981934,32
6,b0_first,2,0.20130035281181335,32
6,b0_first,3,0.20040640234947205,32
6,b0_first,4,0.19964341819286346,32
6,b0_first,5,0.19911009073257446,32
6,b0_first,6,0.19841346144676208,32
6,b0_first,7,0.19752228260040283,32
6,b0_first,8,0.1965160220861435,32
6,b0_first,9,0.19575762748718262,32
6,b0_first,10,0.1949668824672699,32
6,oracle_first,1,0.01270977407693863,32
6,oracle_first,2,0.012724729254841805,32
6,oracle_first,3,0.01280781626701355,32
6,oracle_first,4,0.012785070575773716,32
6,oracle_first,5,0.012962831184267998,32
6,oracle_first,6,0.013282129541039467,32
6,oracle_first,7,0.013395329937338829,32
6,oracle_first,8,0.013608219102025032,32
6,oracle_first,9,0.013831323012709618,32
6,oracle_first,10,0.014076591469347477,32
0,dense_first,1,2.1284680366516113,32
0,dense_first,2,2.1335997581481934,32
0,dense_first,3,2.145623207092285,32
0,dense_first,4,2.1499814987182617,32
0,dense_first,5,2.1549410820007324,32
0,dense_first,6,2.1616525650024414,32
0,dense_first,7,2.168303966522217,32
0,dense_first,8,2.181300640106201,32
0,dense_first,9,2.189124584197998,32
0,dense_first,10,2.192997694015503,32
0,b0_first,1,0.765893280506134,32
0,b0_first,2,0.7658892273902893,32
0,b0_first,3,0.7658867835998535,32
0,b0_first,4,0.7658854722976685,32
0,b0_first,5,0.7658833861351013,32
0,b0_first,6,0.7658816576004028,32
0,b0_first,7,0.7658798694610596,32
0,b0_first,8,0.7658783197402954,32
0,b0_first,9,0.765876054763794,32
0,b0_first,10,0.7658743858337402,32
0,oracle_first,1,0.3906624913215637,32
0,oracle_first,2,0.3906652331352234,32
0,oracle_first,3,0.39066722989082336,32
0,oracle_first,4,0.39066752791404724,32
0,oracle_first,5,0.3906705379486084,32
0,oracle_first,6,0.39067092537879944,32
0,oracle_first,7,0.39067190885543823,32
0,oracle_first,8,0.39067280292510986,32
0,oracle_first,9,0.39067429304122925,32
0,oracle_first,10,0.3906751871109009,32
1,dense_first,1,0.7523135542869568,32
1,dense_first,2,0.7522247433662415,32
1,dense_first,3,0.7520753145217896,32
1,dense_first,4,0.7520959973335266,32
1,dense_first,5,0.7520943880081177,32
1,dense_first,6,0.7519561648368835,32
1,dense_first,7,0.7519314885139465,32
1,dense_first,8,0.7521017789840698,32
1,dense_first,9,0.751928448677063,32
1,dense_first,10,0.7523568868637085,32
1,b0_first,1,0.573838472366333,32
1,b0_first,2,0.5738275647163391,32
1,b0_first,3,0.5738214254379272,32
1,b0_first,4,0.5738128423690796,32
1,b0_first,5,0.5738107562065125,32
1,b0_first,6,0.57380610704422,32
1,b0_first,7,0.5738015174865723,32
1,b0_first,8,0.5737980604171753,32
1,b0_first,9,0.5737934112548828,32
1,b0_first,10,0.5737899541854858,32
1,oracle_first,1,0.2460651695728302,32
1,oracle_first,2,0.2460530549287796,32
1,oracle_first,3,0.2460654079914093,32
1,oracle_first,4,0.24607150256633759,32
1,oracle_first,5,0.24608582258224487,32
1,oracle_first,6,0.2461095005273819,32
1,oracle_first,7,0.24614280462265015,32
1,oracle_first,8,0.24615274369716644,32
1,oracle_first,9,0.24617800116539001,32
1,oracle_first,10,0.24617666006088257,32
2,dense_first,1,2.7671477794647217,32
2,dense_first,2,2.7852611541748047,32
2,dense_first,3,2.8086533546447754,32
2,dense_first,4,2.8198790550231934,32
2,dense_first,5,2.8362793922424316,32
2,dense_first,6,2.8636856079101562,32
2,dense_first,7,2.8728137016296387,32
