channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.7937828302383423,32
0,dense_first,2,0.6353803277015686,32
0,dense_first,3,0.6155191659927368,32
0,dense_first,4,0.6271276473999023,32
0,dense_first,5,0.6396692991256714,32
0,dense_first,6,0.6401687264442444,32
0,dense_first,7,0.6400161981582642,32
0,dense_first,8,0.6419081687927246,32
0,dense_first,9,0.6440137624740601,32
0,dense_first,10,0.6418408155441284,32
0,b0_first,1,0.1352626383304596,32
0,b0_first,2,0.1422322690486908,32
0,b0_first,3,0.14642289280891418,32
0,b0_first,4,0.1509859561920166,32
0,b0_first,5,0.15511485934257507,32
0,b0_first,6,0.15825651586055756,32
0,b0_first,7,0.16131867468357086,32
0,b0_first,8,0.16431015729904175,32
0,b0_first,9,0.16844654083251953,32
0,b0_first,10,0.1712925136089325,32
0,oracle_first,1,0.0008173371315933764,32
0,oracle_first,2,0.01487808022648096,32
0,oracle_first,3,0.03730752319097519,32
0,oracle_first,4,0.062239937484264374,32
0,oracle_first,5,0.08822901546955109,32
0,oracle_first,6,0.11147510260343552,32
0,oracle_first,7,0.12821510434150696,32
0,oracle_first,8,0.14340880513191223,32
0,oracle_first,9,0.15860533714294434,32
0,oracle_first,10,0.16918498277664185,32
1,dense_first,1,0.11143329739570618,32
1,dense_first,2,0.11279082298278809,32
1,dense_first,3,0.11532818526029587,32
1,dense_first,4,0.11754652857780457,32
1,dense_first,5,0.11869331449270248,32
1,dense_first,6,0.11956393718719482,32
1,dense_first,7,0.12322467565536499,32
1,dense_first,8,0.12479452043771744,32
1,dense_first,9,0.12665203213691711,32
1,dense_first,10,0.1288352608680725,32
1,b0_first,1,0.17062236368656158,32
1,b0_first,2,0.1696687936782837,32
1,b0_first,3,0.16880816221237183,32
1,b0_first,4,0.16795392334461212,32
1,b0_first,5,0.16726264357566833,32
1,b0_first,6,0.1667686402797699,32
1,b0_first,7,0.16622737050056458,32
1,b0_first,8,0.1657681167125702,32
1,b0_first,9,0.16537660360336304,32
1,b0_first,10,0.16484670341014862,32
1,oracle_first,1,0.008159590885043144,32
1,oracle_first,2,0.020517569035291672,32
1,oracle_first,3,0.040254462510347366,32
1,oracle_first,4,0.062000568956136703,32
1,oracle_first,5,0.08147965371608734,32
1,oracle_first,6,0.09225301444530487,32
1,oracle_first,7,0.10490741580724716,32
1,oracle_first,8,0.11558707803487778,32
1,oracle_first,9,0.12644422054290771,32
1,oracle_first,10,0.13575595617294312,32
2,dense_first,1,0.1228957325220108,32
2,dense_first,2,0.12313974648714066,32
2,dense_first,3,0.12310975790023804,32
2,dense_first,4,0.12328466027975082,32
2,dense_first,5,0.12248054146766663,32
2,dense_first,6,0.12244448065757751,32
2,dense_first,7,0.1224612146615982,32
2,dense_first,8,0.12336596101522446,32
2,dense_first,9,0.12407875061035156,32
2,dense_first,10,0.1253778487443924,32
2,b0_first,1,0.15772217512130737,32
2,b0_first,2,0.15747614204883575,32
2,b0_first,3,0.15714138746261597,32
2,b0_first,4,0.1568354070186615,32
2,b0_first,5,0.15662017464637756,32
2,b0_first,6,0.15643110871315002,32
2,b0_first,7,0.15626661479473114,32
2,b0_first,8,0.1559666246175766,32
2,b0_first,9,0.15570537745952606,32
2,b0_first,10,0.15552392601966858,32
2,oracle_first,1,0.008433595299720764,32
2,oracle_first,2,0.018377192318439484,32
2,oracle_first,3,0.033714085817337036,32
2,oracle_first,4,0.049240417778491974,32
2,oracle_first,5,0.06471063941717148,32
2,oracle_first,6,0.07785849273204803,32
2,oracle_first,7,0.08951172232627869,32
2,oracle_first,8,0.09868726879358292,32
2,oracle_first,9,0.1081075668334961,32
2,oracle_first,10,0.11503098905086517,32
3,dense_first,1,0.07879901677370071,32
3,dense_first,2,0.09592103958129883,32
3,dense_first,3,0.10772933810949326,32
3,dense_first,4,0.10669590532779694,32
3,dense_first,5,0.10428888350725174,32
3,dense_first,6,0.10626693814992905,32
3,dense_first,7,0.10207493603229523,32
3,dense_first,8,0.09717822074890137,32
3,dense_first,9,0.09697141498327255,32
3,dense_first,10,0.09846349060535431,32
3,b0_first,1,0.2042524665594101,32
3,b0_first,2,0.1947796642780304,32
3,b0_first,3,0.186011403799057,32
3,b0_first,4,0.17779475450515747,32
3,b0_first,5,0.17318673431873322,32
3,b0_first,6,0.16935259103775024,32
3,b0_first,7,0.16482855379581451,32
3,b0_first,8,0.1552780270576477,32
3,b0_first,9,0.15071777999401093,32
3,b0_first,10,0.14397557079792023,32
3,oracle_first,1,0.004407875239849091,32
3,oracle_first,2,0.0070344023406505585,32
3,oracle_first,3,0.015188023447990417,32
3,oracle_first,4,0.02058841474354267,32
3,oracle_first,5,0.02236388623714447,32
3,oracle_first,6,0.028138980269432068,32
3,oracle_first,7,0.031001903116703033,32
3,oracle_first,8,0.03707272931933403,32
3,oracle_first,9,0.03991498798131943,32
3,oracle_first,10,0.04653281718492508,32
4,dense_first,1,0.7321748733520508,32
4,dense_first,2,0.7085684537887573,32
4,dense_first,3,0.7025789022445679,32
4,dense_first,4,0.6971871852874756,32
4,dense_first,5,0.6933725476264954,32
4,dense_first,6,0.6920040845870972,32
4,dense_first,7,0.6907460689544678,32
4,dense_first,8,0.6893614530563354,32
4,dense_first,9,0.6876758933067322,32
4,dense_first,10,0.6861295104026794,32
4,b0_first,1,0.2873929440975189,32
4,b0_first,2,0.287441611289978,32
4,b0_first,3,0.2874774932861328,32
4,b0_first,4,0.2875213325023651,32
4,b0_first,5,0.28754672408103943,32
4,b0_first,6,0.28756383061408997,32
4,b0_first,7,0.2876197099685669,32
4,b0_first,8,0.2876717448234558,32
4,b0_first,9,0.28766733407974243,32
4,b0_first,10,0.28770458698272705,32
4,oracle_first,1,0.030750861391425133,32
4,oracle_first,2,0.04131501913070679,32
4,oracle_first,3,0.050510846078395844,32
4,oracle_first,4,0.058600760996341705,32
4,oracle_first,5,0.0637597143650055,32
4,oracle_first,6,0.06841891258955002,32
4,oracle_first,7,0.07388758659362793,32
4,oracle_first,8,0.08232910931110382,32
4,oracle_first,9,0.08826758712530136,32
4,oracle_first,10,0.09343038499355316,32
