cell,arm,step,a_weighted
ETTh1_H96,dense_first,1,0.98848
ETTh1_H96,dense_first,2,0.98449
ETTh1_H96,dense_first,3,0.97905
ETTh1_H96,dense_first,4,0.97525
ETTh1_H96,dense_first,5,0.97253
ETTh1_H96,dense_first,6,0.97017
ETTh1_H96,dense_first,7,0.96825
ETTh1_H96,dense_first,8,0.96706
ETTh1_H96,dense_first,9,0.96574
ETTh1_H96,dense_first,10,0.9647
ETTh1_H96,b0_first,1,0.66585
ETTh1_H96,b0_first,2,0.66546
ETTh1_H96,b0_first,3,0.6652
ETTh1_H96,b0_first,4,0.66493
ETTh1_H96,b0_first,5,0.66467
ETTh1_H96,b0_first,6,0.6644
ETTh1_H96,b0_first,7,0.66413
ETTh1_H96,b0_first,8,0.66388
ETTh1_H96,b0_first,9,0.66363
ETTh1_H96,b0_first,10,0.66337
ETTh1_H96,oracle_first,1,0.19101
ETTh1_H96,oracle_first,2,0.19147
ETTh1_H96,oracle_first,3,0.19192
ETTh1_H96,oracle_first,4,0.19245
ETTh1_H96,oracle_first,5,0.19303
ETTh1_H96,oracle_first,6,0.19366
ETTh1_H96,oracle_first,7,0.19434
ETTh1_H96,oracle_first,8,0.1951
ETTh1_H96,oracle_first,9,0.19589
ETTh1_H96,oracle_first,10,0.19665
Weather_H96,dense_first,1,0.56737
Weather_H96,dense_first,2,0.69432
Weather_H96,dense_first,3,0.65547
Weather_H96,dense_first,4,0.63148
Weather_H96,dense_first,5,0.62403
Weather_H96,dense_first,6,0.61785
Weather_H96,dense_first,7,0.61591
Weather_H96,dense_first,8,0.61529
Weather_H96,dense_first,9,0.61507
Weather_H96,dense_first,10,0.61458
Weather_H96,b0_first,1,0.45183
Weather_H96,b0_first,2,0.45468
Weather_H96,b0_first,3,0.45309
Weather_H96,b0_first,4,0.45174
Weather_H96,b0_first,5,0.45049
Weather_H96,b0_first,6,0.44919
Weather_H96,b0_first,7,0.44794
Weather_H96,b0_first,8,0.44678
Weather_H96,b0_first,9,0.44548
Weather_H96,b0_first,10,0.44428
Weather_H96,oracle_first,1,0.03631
Weather_H96,oracle_first,2,0.98962
Weather_H96,oracle_first,3,0.58276
Weather_H96,oracle_first,4,0.52325
Weather_H96,oracle_first,5,0.49865
Weather_H96,oracle_first,6,0.48302
Weather_H96,oracle_first,7,0.46866
Weather_H96,oracle_first,8,0.45542
Weather_H96,oracle_first,9,0.43726
Weather_H96,oracle_first,10,0.42192
ETTh1_H720,dense_first,1,1.21123
ETTh1_H720,dense_first,2,1.19756
ETTh1_H720,dense_first,3,1.18936
ETTh1_H720,dense_first,4,1.18329
ETTh1_H720,dense_first,5,1.17857
ETTh1_H720,dense_first,6,1.17477
ETTh1_H720,dense_first,7,1.17148
ETTh1_H720,dense_first,8,1.16892
ETTh1_H720,dense_first,9,1.16651
ETTh1_H720,dense_first,10,1.16446
ETTh1_H720,b0_first,1,0.95114
ETTh1_H720,b0_first,2,0.95089
ETTh1_H720,b0_first,3,0.95072
ETTh1_H720,b0_first,4,0.95056
ETTh1_H720,b0_first,5,0.9504
ETTh1_H720,b0_first,6,0.95024
ETTh1_H720,b0_first,7,0.95007
ETTh1_H720,b0_first,8,0.9499
ETTh1_H720,b0_first,9,0.94972
ETTh1_H720,b0_first,10,0.94954
ETTh1_H720,oracle_first,1,0.44227
ETTh1_H720,oracle_first,2,0.44182
ETTh1_H720,oracle_first,3,0.44156
ETTh1_H720,oracle_first,4,0.44139
ETTh1_H720,oracle_first,5,0.44128
ETTh1_H720,oracle_first,6,0.44126
ETTh1_H720,oracle_first,7,0.44129
ETTh1_H720,oracle_first,8,0.44138
ETTh1_H720,oracle_first,9,0.44147
ETTh1_H720,oracle_first,10,0.44164
