channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,1.0352258682250977,32
0,dense_first,2,0.8262847065925598,32
0,dense_first,3,0.7638581991195679,32
0,dense_first,4,0.6720976829528809,32
0,dense_first,5,0.6814570426940918,32
0,dense_first,6,0.6674331426620483,32
0,dense_first,7,0.6544892191886902,32
0,dense_first,8,0.6615914106369019,32
0,dense_first,9,0.6639881730079651,32
0,dense_first,10,0.6672362685203552,32
0,b0_first,1,0.8672345280647278,32
0,b0_first,2,0.701169490814209,32
0,b0_first,3,0.6641548871994019,32
0,b0_first,4,0.6417233943939209,32
0,b0_first,5,0.6351907849311829,32
0,b0_first,6,0.6450566053390503,32
0,b0_first,7,0.6370054483413696,32
0,b0_first,8,0.6546317338943481,32
0,b0_first,9,0.6514497995376587,32
0,b0_first,10,0.660904049873352,32
0,oracle_first,1,0.4687664806842804,32
0,oracle_first,2,0.763803243637085,32
0,oracle_first,3,0.7336887717247009,32
0,oracle_first,4,0.697938859462738,32
0,oracle_first,5,0.6753491163253784,32
0,oracle_first,6,0.6483983397483826,32
0,oracle_first,7,0.6545552015304565,32
0,oracle_first,8,0.6577814221382141,32
0,oracle_first,9,0.6492776274681091,32
0,oracle_first,10,0.6626231670379639,32
1,dense_first,1,1.8077784776687622,32
1,dense_first,2,1.7027242183685303,32
1,dense_first,3,1.7047395706176758,32
1,dense_first,4,1.681813359260559,32
1,dense_first,5,1.6917181015014648,32
1,dense_first,6,1.6946697235107422,32
1,dense_first,7,1.6645041704177856,32
1,dense_first,8,1.6468702554702759,32
1,dense_first,9,1.628014326095581,32
1,dense_first,10,1.6500399112701416,32
1,b0_first,1,2.0603082180023193,32
1,b0_first,2,1.8678237199783325,32
1,b0_first,3,1.7485162019729614,32
1,b0_first,4,1.7178620100021362,32
1,b0_first,5,1.6946954727172852,32
1,b0_first,6,1.704195499420166,32
1,b0_first,7,1.6875178813934326,32
1,b0_first,8,1.676111102104187,32
1,b0_first,9,1.6624253988265991,32
1,b0_first,10,1.6595172882080078,32
1,oracle_first,1,0.46647554636001587,32
1,oracle_first,2,2.0724644660949707,32
1,oracle_first,3,1.837004542350769,32
1,oracle_first,4,1.688765048980713,32
1,oracle_first,5,1.706680417060852,32
1,oracle_first,6,1.7413665056228638,32
1,oracle_first,7,1.6972919702529907,32
1,oracle_first,8,1.6776009798049927,32
1,oracle_first,9,1.6790566444396973,32
1,oracle_first,10,1.670779824256897,32
2,dense_first,1,0.8259826898574829,32
2,dense_first,2,0.5318840146064758,32
2,dense_first,3,0.4727388918399811,32
2,dense_first,4,0.4335685968399048,32
2,dense_first,5,0.4272097647190094,32
2,dense_first,6,0.41178274154663086,32
2,dense_first,7,0.41663607954978943,32
2,dense_first,8,0.40863296389579773,32
2,dense_first,9,0.4065462648868561,32
2,dense_first,10,0.41050446033477783,32
2,b0_first,1,0.5802389979362488,32
2,b0_first,2,0.46284592151641846,32
2,b0_first,3,0.4482690989971161,32
2,b0_first,4,0.4302879273891449,32
2,b0_first,5,0.41305965185165405,32
2,b0_first,6,0.4146016240119934,32
2,b0_first,7,0.41377022862434387,32
2,b0_first,8,0.407818078994751,32
2,b0_first,9,0.40688589215278625,32
2,b0_first,10,0.41421061754226685,32
2,oracle_first,1,0.28451311588287354,32
2,oracle_first,2,0.4521772861480713,32
2,oracle_first,3,0.43513113260269165,32
2,oracle_first,4,0.41891688108444214,32
2,oracle_first,5,0.4201734662055969,32
2,oracle_first,6,0.4171293377876282,32
2,oracle_first,7,0.41078025102615356,32
2,oracle_first,8,0.4107455909252167,32
2,oracle_first,9,0.40335655212402344,32
2,oracle_first,10,0.411362886428833,32
3,dense_first,1,2.664872884750366,32
3,dense_first,2,2.556447982788086,32
3,dense_first,3,2.4991493225097656,32
3,dense_first,4,2.5550856590270996,32
3,dense_first,5,2.4905271530151367,32
3,dense_first,6,2.4607064723968506,32
3,dense_first,7,2.384793758392334,32
3,dense_first,8,2.3579330444335938,32
3,dense_first,9,2.348574638366699,32
3,dense_first,10,2.371694326400757,32
3,b0_first,1,2.75500750541687,32
3,b0_first,2,2.578002691268921,32
3,b0_first,3,2.5468475818634033,32
3,b0_first,4,2.528444766998291,32
3,b0_first,5,2.4997124671936035,32
3,b0_first,6,2.388932466506958,32
3,b0_first,7,2.371018409729004,32
3,b0_first,8,2.362399101257324,32
3,b0_first,9,2.371103525161743,32
3,b0_first,10,2.384683609008789,32
3,oracle_first,1,0.40341222286224365,32
3,oracle_first,2,2.945068359375,32
3,oracle_first,3,2.6079249382019043,32
3,oracle_first,4,2.57153058052063,32
3,oracle_first,5,2.5792665481567383,32
3,oracle_first,6,2.495460033416748,32
3,oracle_first,7,2.4311461448669434,32
3,oracle_first,8,2.4064502716064453,32
3,oracle_first,9,2.3902034759521484,32
