channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.28593483567237854,32
0,dense_first,2,0.20390476286411285,32
0,dense_first,3,0.18153652548789978,32
0,dense_first,4,0.16932635009288788,32
0,dense_first,5,0.164544939994812,32
0,dense_first,6,0.1613331139087677,32
0,dense_first,7,0.15704461932182312,32
0,dense_first,8,0.1506282389163971,32
0,dense_first,9,0.14833560585975647,32
0,dense_first,10,0.1457611620426178,32
0,b0_first,1,0.2831193208694458,32
0,b0_first,2,0.21808665990829468,32
0,b0_first,3,0.18690107762813568,32
0,b0_first,4,0.16775161027908325,32
0,b0_first,5,0.1648278832435608,32
0,b0_first,6,0.16096925735473633,32
0,b0_first,7,0.15437597036361694,32
0,b0_first,8,0.14941298961639404,32
0,b0_first,9,0.1483328938484192,32
0,b0_first,10,0.14505141973495483,32
0,oracle_first,1,0.07649996131658554,32
0,oracle_first,2,0.27964282035827637,32
0,oracle_first,3,0.23036518692970276,32
0,oracle_first,4,0.19500432908535004,32
0,oracle_first,5,0.17397171258926392,32
0,oracle_first,6,0.1753748655319214,32
0,oracle_first,7,0.16494658589363098,32
0,oracle_first,8,0.15703004598617554,32
0,oracle_first,9,0.15351170301437378,32
0,oracle_first,10,0.15292809903621674,32
1,dense_first,1,0.6330220699310303,32
1,dense_first,2,0.33562231063842773,32
1,dense_first,3,0.27927708625793457,32
1,dense_first,4,0.2549555003643036,32
1,dense_first,5,0.23989520967006683,32
1,dense_first,6,0.23414498567581177,32
1,dense_first,7,0.22735486924648285,32
1,dense_first,8,0.22853310406208038,32
1,dense_first,9,0.2241745889186859,32
1,dense_first,10,0.22200684249401093,32
1,b0_first,1,0.4425209164619446,32
1,b0_first,2,0.330833375453949,32
1,b0_first,3,0.281829297542572,32
1,b0_first,4,0.2698686718940735,32
1,b0_first,5,0.25564074516296387,32
1,b0_first,6,0.2453026920557022,32
1,b0_first,7,0.23534636199474335,32
1,b0_first,8,0.2356438934803009,32
1,b0_first,9,0.23443089425563812,32
1,b0_first,10,0.2293141484260559,32
1,oracle_first,1,0.17776811122894287,32
1,oracle_first,2,0.406451553106308,32
1,oracle_first,3,0.30908286571502686,32
1,oracle_first,4,0.28179675340652466,32
1,oracle_first,5,0.26281893253326416,32
1,oracle_first,6,0.2571300268173218,32
1,oracle_first,7,0.23866087198257446,32
1,oracle_first,8,0.23283898830413818,32
1,oracle_first,9,0.23228991031646729,32
1,oracle_first,10,0.2262580692768097,32
2,dense_first,1,0.45412084460258484,32
2,dense_first,2,0.29257410764694214,32
2,dense_first,3,0.25113120675086975,32
2,dense_first,4,0.25734782218933105,32
2,dense_first,5,0.24032261967658997,32
2,dense_first,6,0.22383418679237366,32
2,dense_first,7,0.22289763391017914,32
2,dense_first,8,0.21120694279670715,32
2,dense_first,9,0.21446442604064941,32
2,dense_first,10,0.20073756575584412,32
2,b0_first,1,0.4087187349796295,32
2,b0_first,2,0.2964920401573181,32
2,b0_first,3,0.26094478368759155,32
2,b0_first,4,0.24417951703071594,32
2,b0_first,5,0.242734894156456,32
2,b0_first,6,0.22651472687721252,32
2,b0_first,7,0.22450418770313263,32
2,b0_first,8,0.21471722424030304,32
2,b0_first,9,0.21256591379642487,32
2,b0_first,10,0.20222261548042297,32
2,oracle_first,1,0.0594760999083519,32
2,oracle_first,2,0.3427136242389679,32
2,oracle_first,3,0.29472583532333374,32
2,oracle_first,4,0.2588963508605957,32
2,oracle_first,5,0.24061687290668488,32
2,oracle_first,6,0.23856425285339355,32
2,oracle_first,7,0.23116585612297058,32
2,oracle_first,8,0.2147921323776245,32
2,oracle_first,9,0.20627960562705994,32
2,oracle_first,10,0.20572823286056519,32
3,dense_first,1,0.6608015298843384,32
3,dense_first,2,0.35203278064727783,32
3,dense_first,3,0.2912987172603607,32
3,dense_first,4,0.26153334975242615,32
3,dense_first,5,0.23222357034683228,32
3,dense_first,6,0.22321809828281403,32
3,dense_first,7,0.2125476747751236,32
3,dense_first,8,0.2093680500984192,32
3,dense_first,9,0.2004675269126892,32
3,dense_first,10,0.20054428279399872,32
3,b0_first,1,0.47949111461639404,32
3,b0_first,2,0.37368813157081604,32
3,b0_first,3,0.30421003699302673,32
3,b0_first,4,0.2756321132183075,32
3,b0_first,5,0.24519893527030945,32
3,b0_first,6,0.2264387160539627,32
3,b0_first,7,0.21589083969593048,32
3,b0_first,8,0.2118462175130844,32
3,b0_first,9,0.20389825105667114,32
3,b0_first,10,0.20280542969703674,32
3,oracle_first,1,0.1116892620921135,32
3,oracle_first,2,0.40994319319725037,32
3,oracle_first,3,0.31129947304725647,32
3,oracle_first,4,0.3059319853782654,32
3,oracle_first,5,0.2518962621688843,32
3,oracle_first,6,0.23054420948028564,32
3,oracle_first,7,0.21220624446868896,32
3,oracle_first,8,0.20773915946483612,32
3,oracle_first,9,0.19900289177894592,32
3,oracle_first,10,0.20114928483963013,32
4,dense_first,1,0.6001343131065369,32
4,dense_first,2,0.5667440891265869,32
4,dense_first,3,0.5472277998924255,32
4,dense_first,4,0.520660400390625,32
4,dense_first,5,0.49007368087768555,32
4,dense_first,6,0.4843111038208008,32
4,dense_first,7,0.4758322238922119,32
4,dense_first,8,0.4726197421550751,32
4,dense_first,9,0.4638097584247589,32
4,dense_first,10,0.46232494711875916,32
4,b0_first,1,0.7641207575798035,32
4,b0_first,2,0.6173730492591858,32
4,b0_first,3,0.5611677169799805,32
4,b0_first,4,0.5228996872901917,32
4,b0_first,5,0.5016821026802063,32
4,b0_first,6,0.48679864406585693,32
4,b0_first,7,0.4802563190460205,32
4,b0_first,8,0.4733459949493408,32
4,b0_first,9,0.46656346321105957,32
4,b0_first,10,0.4644284248352051,32
4,oracle_first,1,0.29735687375068665,32
4,oracle_first,2,0.5807262063026428,32
4,oracle_first,3,0.5421959161758423,32
4,oracle_first,4,0.49635183811187744,32
4,oracle_first,5,0.48484501242637634,32
4,oracle_first,6,0.4642080068588257,32
4,oracle_first,7,0.45652076601982117,32
4,oracle_first,8,0.45305192470550537,32
4,oracle_first,9,0.4511568546295166,32
4,oracle_first,10,0.4466935396194458,32
5,dense_first,1,0.7093334197998047,32
5,dense_first,2,0.42381417751312256,32
5,dense_first,3,0.3196483850479126,32
5,dense_first,4,0.2862449884414673,32
5,dense_first,5,0.2693925201892853,32
5,dense_first,6,0.2577357292175293,32
5,dense_first,7,0.23853251338005066,32
5,dense_first,8,0.2323591113090515,32
5,dense_first,9,0.22683225572109222,32
5,dense_first,10,0.22685664892196655,32
5,b0_first,1,0.5180762410163879,32
5,b0_first,2,0.3821329176425934,32
5,b0_first,3,0.3001960217952728,32
5,b0_first,4,0.2759413719177246,32
5,b0_first,5,0.26263147592544556,32
5,b0_first,6,0.2524852156639099,32
5,b0_first,7,0.2364051640033722,32
5,b0_first,8,0.23278169333934784,32
5,b0_first,9,0.23229771852493286,32
5,b0_first,10,0.22679503262043,32
5,oracle_first,1,0.12476855516433716,32
5,oracle_first,2,0.2505648136138916,32
5,oracle_first,3,0.35599374771118164,32
5,oracle_first,4,0.3109942674636841,32
5,oracle_first,5,0.26541808247566223,32
5,oracle_first,6,0.2529100775718689,32
5,oracle_first,7,0.24139542877674103,32
5,oracle_first,8,0.22809088230133057,32
5,oracle_first,9,0.22607210278511047,32
5,oracle_first,10,0.22468864917755127,32
6,dense_first,1,0.6244006156921387,32
6,dense_first,2,0.32657909393310547,32
6,dense_first,3,0.278016060590744,32
6,dense_first,4,0.2553195357322693,32
6,dense_first,5,0.2530243992805481,32
6,dense_first,6,0.2424730360507965,32
6,dense_first,7,0.2348848581314087,32
6,dense_first,8,0.21766452491283417,32
6,dense_first,9,0.22425353527069092,32
6,dense_first,10,0.21679936349391937,32
6,b0_first,1,0.4808705151081085,32
6,b0_first,2,0.30981603264808655,32
6,b0_first,3,0.2754206657409668,32
6,b0_first,4,0.2601700723171234,32
6,b0_first,5,0.25034385919570923,32
6,b0_first,6,0.2361229956150055,32
6,b0_first,7,0.23477664589881897,32
6,b0_first,8,0.21996307373046875,32
6,b0_first,9,0.21852432191371918,32
6,b0_first,10,0.21618996560573578,32
6,oracle_first,1,0.042622096836566925,32
6,oracle_first,2,0.2895115613937378,32
6,oracle_first,3,0.26082658767700195,32
6,oracle_first,4,0.2510524392127991,32
6,oracle_first,5,0.23193806409835815,32
6,oracle_first,6,0.2436390370130539,32
6,oracle_first,7,0.22555454075336456,32
6,oracle_first,8,0.21811267733573914,32
6,oracle_first,9,0.2114662379026413,32
6,oracle_first,10,0.21246924996376038,32
0,dense_first,1,0.22982046008110046,32
0,dense_first,2,0.15555161237716675,32
0,dense_first,3,0.14124038815498352,32
0,dense_first,4,0.12744098901748657,32
0,dense_first,5,0.12157086282968521,32
0,dense_first,6,0.11454354971647263,32
0,dense_first,7,0.10996594280004501,32
0,dense_first,8,0.10821165144443512,32
0,dense_first,9,0.10612288117408752,32
0,dense_first,10,0.1049208790063858,32
0,b0_first,1,0.1990089863538742,32
0,b0_first,2,0.15047572553157806,32
0,b0_first,3,0.1326160579919815,32
0,b0_first,4,0.12413140386343002,32
0,b0_first,5,0.11738789081573486,32
0,b0_first,6,0.11287431418895721,32
0,b0_first,7,0.10887746512889862,32
0,b0_first,8,0.10693246126174927,32
0,b0_first,9,0.10462799668312073,32
0,b0_first,10,0.10430391132831573,32
0,oracle_first,1,0.079140305519104,32
0,oracle_first,2,0.18841968476772308,32
0,oracle_first,3,0.14956852793693542,32
0,oracle_first,4,0.1293911635875702,32
0,oracle_first,5,0.11726173758506775,32
0,oracle_first,6,0.11261601001024246,32
0,oracle_first,7,0.10774499177932739,32
0,oracle_first,8,0.10608037561178207,32
0,oracle_first,9,0.10373780876398087,32
0,oracle_first,10,0.10440096259117126,32
1,dense_first,1,0.7256840467453003,32
1,dense_first,2,0.5348495841026306,32
1,dense_first,3,0.44206172227859497,32
1,dense_first,4,0.4046139717102051,32
1,dense_first,5,0.3783133924007416,32
1,dense_first,6,0.38105159997940063,32
1,dense_first,7,0.36186763644218445,32
1,dense_first,8,0.3448466360569,32
1,dense_first,9,0.34016668796539307,32
1,dense_first,10,0.33141884207725525,32
1,b0_first,1,0.7128344774246216,32
1,b0_first,2,0.5400707721710205,32
1,b0_first,3,0.44744426012039185,32
1,b0_first,4,0.4076479375362396,32
1,b0_first,5,0.3912520408630371,32
1,b0_first,6,0.3781565725803375,32
1,b0_first,7,0.3606191575527191,32
1,b0_first,8,0.3419897258281708,32
1,b0_first,9,0.3390098810195923,32
1,b0_first,10,0.3305705189704895,32
1,oracle_first,1,0.19137804210186005,32
1,oracle_first,2,0.6397737264633179,32
1,oracle_first,3,0.5237027406692505,32
1,oracle_first,4,0.43968501687049866,32
1,oracle_first,5,0.4120749831199646,32
1,oracle_first,6,0.3727518916130066,32
1,oracle_first,7,0.3607392907142639,32
1,oracle_first,8,0.3549667000770569,32
1,oracle_first,9,0.33767345547676086,32
1,oracle_first,10,0.3306686282157898,32
2,dense_first,1,0.26823890209198,32
2,dense_first,2,0.16770991683006287,32
2,dense_first,3,0.14118531346321106,32
2,dense_first,4,0.12790614366531372,32
2,dense_first,5,0.11988251656293869,32
2,dense_first,6,0.12025170028209686,32
2,dense_first,7,0.11595891416072845,32
2,dense_first,8,0.11215749382972717,32
2,dense_first,9,0.11126582324504852,32
2,dense_first,10,0.10843981802463531,32
2,b0_first,1,0.28489118814468384,32
2,b0_first,2,0.16852115094661713,32
2,b0_first,3,0.1427968591451645,32
2,b0_first,4,0.1285879909992218,32
2,b0_first,5,0.1234138086438179,32
2,b0_first,6,0.12077905237674713,32
2,b0_first,7,0.11501844227313995,32
2,b0_first,8,0.10907115042209625,32
2,b0_first,9,0.10982444882392883,32
2,b0_first,10,0.10802333801984787,32
2,oracle_first,1,0.05308223143219948,32
2,oracle_first,2,0.1720583140850067,32
2,oracle_first,3,0.14994512498378754,32
2,oracle_first,4,0.13305175304412842,32
2,oracle_first,5,0.12503185868263245,32
2,oracle_first,6,0.11838488280773163,32
2,oracle_first,7,0.11689147353172302,32
2,oracle_first,8,0.11001835763454437,32
2,oracle_first,9,0.10565507411956787,32
2,oracle_first,10,0.10685364902019501,32
3,dense_first,1,0.8008047342300415,32
3,dense_first,2,0.5041996836662292,32
3,dense_first,3,0.3847472071647644,32
