channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.32792598009109497,32
0,dense_first,2,0.21608896553516388,32
0,dense_first,3,0.192653626203537,32
0,dense_first,4,0.17935189604759216,32
0,dense_first,5,0.16764909029006958,32
0,dense_first,6,0.15807634592056274,32
0,dense_first,7,0.15274852514266968,32
0,dense_first,8,0.15042024850845337,32
0,dense_first,9,0.1466580629348755,32
0,dense_first,10,0.14378514885902405,32
0,b0_first,1,0.2831193208694458,32
0,b0_first,2,0.21085716784000397,32
0,b0_first,3,0.20298266410827637,32
0,b0_first,4,0.18636469542980194,32
0,b0_first,5,0.17185866832733154,32
0,b0_first,6,0.15790362656116486,32
0,b0_first,7,0.1516820788383484,32
0,b0_first,8,0.1494327187538147,32
0,b0_first,9,0.14692527055740356,32
0,b0_first,10,0.14449015259742737,32
0,oracle_first,1,0.07649996131658554,32
0,oracle_first,2,0.2490173876285553,32
0,oracle_first,3,0.19972237944602966,32
0,oracle_first,4,0.1885976493358612,32
0,oracle_first,5,0.178061842918396,32
0,oracle_first,6,0.1607457399368286,32
0,oracle_first,7,0.15214557945728302,32
0,oracle_first,8,0.1473975032567978,32
0,oracle_first,9,0.1438997983932495,32
0,oracle_first,10,0.14384320378303528,32
1,dense_first,1,0.5470865368843079,32
1,dense_first,2,0.36165493726730347,32
1,dense_first,3,0.2629551291465759,32
1,dense_first,4,0.24224519729614258,32
1,dense_first,5,0.23713383078575134,32
1,dense_first,6,0.22962620854377747,32
1,dense_first,7,0.2153245210647583,32
1,dense_first,8,0.2131432741880417,32
1,dense_first,9,0.21362826228141785,32
1,dense_first,10,0.21094195544719696,32
1,b0_first,1,0.4425209164619446,32
1,b0_first,2,0.31776928901672363,32
1,b0_first,3,0.27214720845222473,32
1,b0_first,4,0.2525143027305603,32
1,b0_first,5,0.2315884381532669,32
1,b0_first,6,0.22235095500946045,32
1,b0_first,7,0.21703055500984192,32
1,b0_first,8,0.21840496361255646,32
1,b0_first,9,0.2131671905517578,32
1,b0_first,10,0.21212846040725708,32
1,oracle_first,1,0.17776811122894287,32
1,oracle_first,2,0.4134766459465027,32
1,oracle_first,3,0.31120914220809937,32
1,oracle_first,4,0.26172977685928345,32
1,oracle_first,5,0.24609355628490448,32
1,oracle_first,6,0.23642748594284058,32
1,oracle_first,7,0.22049058973789215,32
1,oracle_first,8,0.2155628800392151,32
1,oracle_first,9,0.21619325876235962,32
1,oracle_first,10,0.21530532836914062,32
2,dense_first,1,0.24699991941452026,32
2,dense_first,2,0.19797345995903015,32
2,dense_first,3,0.2075798362493515,32
2,dense_first,4,0.20278754830360413,32
2,dense_first,5,0.20671026408672333,32
2,dense_first,6,0.20850223302841187,32
2,dense_first,7,0.2028791457414627,32
2,dense_first,8,0.19861961901187897,32
2,dense_first,9,0.1981167495250702,32
2,dense_first,10,0.19628077745437622,32
2,b0_first,1,0.4087187349796295,32
2,b0_first,2,0.2566717267036438,32
2,b0_first,3,0.2318788468837738,32
2,b0_first,4,0.22497442364692688,32
2,b0_first,5,0.2197568565607071,32
2,b0_first,6,0.2157808542251587,32
2,b0_first,7,0.21319560706615448,32
2,b0_first,8,0.20493069291114807,32
2,b0_first,9,0.2018444538116455,32
2,b0_first,10,0.1992056667804718,32
2,oracle_first,1,0.0594760999083519,32
2,oracle_first,2,0.20385530591011047,32
2,oracle_first,3,0.2146565318107605,32
2,oracle_first,4,0.21986976265907288,32
2,oracle_first,5,0.21637624502182007,32
2,oracle_first,6,0.21182416379451752,32
2,oracle_first,7,0.21033111214637756,32
2,oracle_first,8,0.20723170042037964,32
2,oracle_first,9,0.19917228817939758,32
2,oracle_first,10,0.19572892785072327,32
3,dense_first,1,0.5715929865837097,32
3,dense_first,2,0.32057300209999084,32
3,dense_first,3,0.24698960781097412,32
3,dense_first,4,0.21055486798286438,32
3,dense_first,5,0.21032804250717163,32
3,dense_first,6,0.1918639838695526,32
3,dense_first,7,0.18016743659973145,32
3,dense_first,8,0.17348971962928772,32
3,dense_first,9,0.17286939918994904,32
3,dense_first,10,0.17045816779136658,32
3,b0_first,1,0.47949111461639404,32
3,b0_first,2,0.31461042165756226,32
3,b0_first,3,0.2478029578924179,32
3,b0_first,4,0.2340310961008072,32
3,b0_first,5,0.20926374197006226,32
3,b0_first,6,0.19639548659324646,32
3,b0_first,7,0.18808263540267944,32
3,b0_first,8,0.1845233291387558,32
3,b0_first,9,0.1765558123588562,32
3,b0_first,10,0.17756643891334534,32
3,oracle_first,1,0.1116892620921135,32
3,oracle_first,2,0.3949699401855469,32
3,oracle_first,3,0.25504863262176514,32
3,oracle_first,4,0.22074733674526215,32
3,oracle_first,5,0.20003679394721985,32
3,oracle_first,6,0.18093785643577576,32
3,oracle_first,7,0.17640992999076843,32
3,oracle_first,8,0.1757548749446869,32
3,oracle_first,9,0.16902503371238708,32
3,oracle_first,10,0.17008669674396515,32
4,dense_first,1,0.6594041585922241,32
4,dense_first,2,0.6134627461433411,32
4,dense_first,3,0.5475108623504639,32
4,dense_first,4,0.49179041385650635,32
4,dense_first,5,0.4742588996887207,32
4,dense_first,6,0.4670403301715851,32
4,dense_first,7,0.454060822725296,32
4,dense_first,8,0.4422401785850525,32
4,dense_first,9,0.4372151494026184,32
4,dense_first,10,0.4303518533706665,32
4,b0_first,1,0.7641207575798035,32
4,b0_first,2,0.607537031173706,32
4,b0_first,3,0.528741717338562,32
4,b0_first,4,0.48907914757728577,32
4,b0_first,5,0.47878891229629517,32
4,b0_first,6,0.4607568383216858,32
4,b0_first,7,0.44891300797462463,32
4,b0_first,8,0.44565442204475403,32
4,b0_first,9,0.4393545389175415,32
4,b0_first,10,0.4316088557243347,32
4,oracle_first,1,0.29735687375068665,32
4,oracle_first,2,0.5137470364570618,32
4,oracle_first,3,0.49740070104599,32
4,oracle_first,4,0.46101194620132446,32
4,oracle_first,5,0.4521079659461975,32
4,oracle_first,6,0.44513699412345886,32
4,oracle_first,7,0.43360647559165955,32
4,oracle_first,8,0.43176713585853577,32
4,oracle_first,9,0.4293071925640106,32
4,oracle_first,10,0.42434579133987427,32
5,dense_first,1,0.31773918867111206,32
5,dense_first,2,0.336982786655426,32
5,dense_first,3,0.2864615321159363,32
5,dense_first,4,0.2683100402355194,32
5,dense_first,5,0.26236772537231445,32
5,dense_first,6,0.24890552461147308,32
5,dense_first,7,0.24263149499893188,32
5,dense_first,8,0.24395081400871277,32
5,dense_first,9,0.24206644296646118,32
5,dense_first,10,0.2348610907793045,32
5,b0_first,1,0.5180762410163879,32
5,b0_first,2,0.3282335698604584,32
5,b0_first,3,0.2845248579978943,32
5,b0_first,4,0.27404001355171204,32
5,b0_first,5,0.25676289200782776,32
5,b0_first,6,0.2523512840270996,32
5,b0_first,7,0.24541693925857544,32
5,b0_first,8,0.24595893919467926,32
5,b0_first,9,0.24121621251106262,32
5,b0_first,10,0.23577004671096802,32
5,oracle_first,1,0.12476855516433716,32
5,oracle_first,2,0.4214983284473419,32
5,oracle_first,3,0.2987042963504791,32
5,oracle_first,4,0.26832178235054016,32
5,oracle_first,5,0.2505611181259155,32
5,oracle_first,6,0.2528505325317383,32
5,oracle_first,7,0.2455693930387497,32
5,oracle_first,8,0.2411898970603943,32
5,oracle_first,9,0.23693281412124634,32
5,oracle_first,10,0.23553651571273804,32
6,dense_first,1,0.2333405613899231,32
6,dense_first,2,0.26902124285697937,32
6,dense_first,3,0.21317222714424133,32
6,dense_first,4,0.20377127826213837,32
6,dense_first,5,0.20466545224189758,32
6,dense_first,6,0.2209509015083313,32
6,dense_first,7,0.21774324774742126,32
6,dense_first,8,0.21864426136016846,32
6,dense_first,9,0.21784719824790955,32
6,dense_first,10,0.21327108144760132,32
6,b0_first,1,0.4808705151081085,32
6,b0_first,2,0.30865591764450073,32
6,b0_first,3,0.2543337345123291,32
6,b0_first,4,0.24267247319221497,32
6,b0_first,5,0.24363836646080017,32
6,b0_first,6,0.2327723354101181,32
6,b0_first,7,0.23761314153671265,32
6,b0_first,8,0.22925588488578796,32
6,b0_first,9,0.22335313260555267,32
6,b0_first,10,0.2181127965450287,32
6,oracle_first,1,0.042622096836566925,32
6,oracle_first,2,0.26397567987442017,32
6,oracle_first,3,0.24741092324256897,32
6,oracle_first,4,0.22941887378692627,32
6,oracle_first,5,0.24035236239433289,32
6,oracle_first,6,0.2197233885526657,32
6,oracle_first,7,0.21894027292728424,32
6,oracle_first,8,0.22068841755390167,32
6,oracle_first,9,0.22097107768058777,32
6,oracle_first,10,0.217763289809227,32
0,dense_first,1,0.27582794427871704,32
0,dense_first,2,0.16245028376579285,32
0,dense_first,3,0.13738569617271423,32
0,dense_first,4,0.12878701090812683,32
0,dense_first,5,0.12247315049171448,32
0,dense_first,6,0.11441323906183243,32
0,dense_first,7,0.11394458264112473,32
0,dense_first,8,0.11076177656650543,32
0,dense_first,9,0.10903424024581909,32
0,dense_first,10,0.10759513825178146,32
0,b0_first,1,0.1990089863538742,32
0,b0_first,2,0.14750395715236664,32
0,b0_first,3,0.1344793140888214,32
0,b0_first,4,0.12473125755786896,32
0,b0_first,5,0.12107885628938675,32
0,b0_first,6,0.11595431715250015,32
0,b0_first,7,0.11163985729217529,32
0,b0_first,8,0.11090496182441711,32
0,b0_first,9,0.10761278867721558,32
0,b0_first,10,0.10767325758934021,32
0,oracle_first,1,0.079140305519104,32
0,oracle_first,2,0.17556624114513397,32
0,oracle_first,3,0.14839807152748108,32
0,oracle_first,4,0.12919881939888,32
0,oracle_first,5,0.12068666517734528,32
0,oracle_first,6,0.1165388822555542,32
0,oracle_first,7,0.11300377547740936,32
0,oracle_first,8,0.10808750241994858,32
0,oracle_first,9,0.10826049000024796,32
0,oracle_first,10,0.10486532002687454,32
1,dense_first,1,0.5247306823730469,32
1,dense_first,2,0.5152268409729004,32
1,dense_first,3,0.40820837020874023,32
1,dense_first,4,0.37288224697113037,32
1,dense_first,5,0.35294604301452637,32
1,dense_first,6,0.3317984938621521,32
1,dense_first,7,0.3193390965461731,32
1,dense_first,8,0.321479856967926,32
1,dense_first,9,0.32051464915275574,32
1,dense_first,10,0.3122069239616394,32
1,b0_first,1,0.7128344774246216,32
1,b0_first,2,0.465196430683136,32
1,b0_first,3,0.43156567215919495,32
1,b0_first,4,0.3847479820251465,32
1,b0_first,5,0.35728663206100464,32
1,b0_first,6,0.338271826505661,32
1,b0_first,7,0.329497367143631,32
1,b0_first,8,0.32503676414489746,32
1,b0_first,9,0.31826189160346985,32
1,b0_first,10,0.3112269639968872,32
1,oracle_first,1,0.19137804210186005,32
1,oracle_first,2,0.7147539854049683,32
1,oracle_first,3,0.5102126002311707,32
1,oracle_first,4,0.41434475779533386,32
1,oracle_first,5,0.36532872915267944,32
1,oracle_first,6,0.3451807498931885,32
1,oracle_first,7,0.33870208263397217,32
1,oracle_first,8,0.3238375782966614,32
1,oracle_first,9,0.3243054449558258,32
1,oracle_first,10,0.31677544116973877,32
2,dense_first,1,0.2986360490322113,32
2,dense_first,2,0.1838773787021637,32
2,dense_first,3,0.17886129021644592,32
2,dense_first,4,0.160291850566864,32
