metric,C0,T1
stage2_mse,0.39525834740945864,0.37455270047614625
delta_vs_b0,0.022136655587196963,0.001431008653884569
gap_recovery,-0.26263012014518994,-0.010015041357651635
hard_aggregate_mse_seq,0.5513873813344065,0.40960248990531073
t1_spearman_top1pct,0.21278517360566185,0.16497338520770427
t1_oracle_rank_median,99,144
t1_top50_containment,0.305,0.215
t2_hurt_frac,0.232,0.264
t2_selected_rank_median,1934.0,135.5
t2_spearman_top1pct,0.14044038745970466,0.40856060798314864
t2_continuation_regret,0.34980106046050785,0.23031406281329692
best_epoch,1,4
best_val_overlap_at_k,0.008228,0.0091
