channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.356210857629776,32
0,dense_first,2,0.291951447725296,32
0,dense_first,3,0.2751493752002716,32
0,dense_first,4,0.2675928473472595,32
0,dense_first,5,0.26388275623321533,32
0,dense_first,6,0.25867676734924316,32
0,dense_first,7,0.25340843200683594,32
0,dense_first,8,0.2550206780433655,32
0,dense_first,9,0.2539922595024109,32
0,dense_first,10,0.2525884509086609,32
0,b0_first,1,0.2831193208694458,32
0,b0_first,2,0.2543313503265381,32
0,b0_first,3,0.243001788854599,32
0,b0_first,4,0.24163293838500977,32
0,b0_first,5,0.2377195656299591,32
0,b0_first,6,0.23202171921730042,32
0,b0_first,7,0.23141905665397644,32
0,b0_first,8,0.23143817484378815,32
0,b0_first,9,0.2292194962501526,32
0,b0_first,10,0.2288247048854828,32
0,oracle_first,1,0.07649996131658554,32
0,oracle_first,2,0.1286127120256424,32
0,oracle_first,3,0.1371101438999176,32
0,oracle_first,4,0.1446821093559265,32
0,oracle_first,5,0.1499730795621872,32
0,oracle_first,6,0.1603074073791504,32
0,oracle_first,7,0.16731677949428558,32
0,oracle_first,8,0.16873779892921448,32
0,oracle_first,9,0.16756445169448853,32
0,oracle_first,10,0.16904540359973907,32
1,dense_first,1,0.5938122272491455,32
1,dense_first,2,0.4621674716472626,32
1,dense_first,3,0.4096859097480774,32
1,dense_first,4,0.37976014614105225,32
1,dense_first,5,0.37131786346435547,32
1,dense_first,6,0.36268264055252075,32
1,dense_first,7,0.3579952120780945,32
1,dense_first,8,0.35663342475891113,32
1,dense_first,9,0.35244250297546387,32
1,dense_first,10,0.34938833117485046,32
1,b0_first,1,0.4425209164619446,32
1,b0_first,2,0.36281681060791016,32
1,b0_first,3,0.3523252308368683,32
1,b0_first,4,0.33798766136169434,32
1,b0_first,5,0.32181698083877563,32
1,b0_first,6,0.31531304121017456,32
1,b0_first,7,0.30704331398010254,32
1,b0_first,8,0.30249226093292236,32
1,b0_first,9,0.29795485734939575,32
1,b0_first,10,0.2970777451992035,32
1,oracle_first,1,0.17776811122894287,32
1,oracle_first,2,0.20898985862731934,32
1,oracle_first,3,0.2421349436044693,32
1,oracle_first,4,0.23222871124744415,32
1,oracle_first,5,0.23434565961360931,32
1,oracle_first,6,0.24834755063056946,32
1,oracle_first,7,0.24507945775985718,32
1,oracle_first,8,0.23688861727714539,32
1,oracle_first,9,0.2345433235168457,32
1,oracle_first,10,0.2331053763628006,32
2,dense_first,1,0.596664309501648,32
2,dense_first,2,0.5683663487434387,32
2,dense_first,3,0.5555771589279175,32
2,dense_first,4,0.5468332767486572,32
2,dense_first,5,0.540830135345459,32
2,dense_first,6,0.5350574254989624,32
2,dense_first,7,0.5319740772247314,32
2,dense_first,8,0.5283141136169434,32
2,dense_first,9,0.5272624492645264,32
2,dense_first,10,0.5254017114639282,32
2,b0_first,1,0.4087187349796295,32
2,b0_first,2,0.3777630925178528,32
2,b0_first,3,0.36734965443611145,32
2,b0_first,4,0.35945624113082886,32
2,b0_first,5,0.3547400236129761,32
2,b0_first,6,0.3497382402420044,32
2,b0_first,7,0.3457075357437134,32
2,b0_first,8,0.3425276577472687,32
2,b0_first,9,0.3415280878543854,32
2,b0_first,10,0.3410091996192932,32
2,oracle_first,1,0.0594760999083519,32
2,oracle_first,2,0.06569986045360565,32
2,oracle_first,3,0.0690171867609024,32
2,oracle_first,4,0.07359126210212708,32
2,oracle_first,5,0.07463590800762177,32
2,oracle_first,6,0.07316216826438904,32
2,oracle_first,7,0.07306760549545288,32
2,oracle_first,8,0.07336559146642685,32
2,oracle_first,9,0.07345502078533173,32
2,oracle_first,10,0.07355602830648422,32
3,dense_first,1,0.5514205098152161,32
3,dense_first,2,0.4982592761516571,32
3,dense_first,3,0.4680289030075073,32
3,dense_first,4,0.4480713903903961,32
3,dense_first,5,0.4350154995918274,32
3,dense_first,6,0.4188873767852783,32
3,dense_first,7,0.4076977074146271,32
3,dense_first,8,0.3965854346752167,32
3,dense_first,9,0.392223596572876,32
3,dense_first,10,0.38620227575302124,32
3,b0_first,1,0.47949111461639404,32
3,b0_first,2,0.4324694573879242,32
3,b0_first,3,0.3912816643714905,32
3,b0_first,4,0.3693869113922119,32
3,b0_first,5,0.35656851530075073,32
3,b0_first,6,0.3453962206840515,32
3,b0_first,7,0.33483046293258667,32
3,b0_first,8,0.3275880813598633,32
3,b0_first,9,0.3227647840976715,32
3,b0_first,10,0.3185843229293823,32
3,oracle_first,1,0.1116892620921135,32
3,oracle_first,2,0.1746065318584442,32
3,oracle_first,3,0.15441088378429413,32
3,oracle_first,4,0.15433582663536072,32
3,oracle_first,5,0.1495969146490097,32
3,oracle_first,6,0.14278528094291687,32
3,oracle_first,7,0.13985151052474976,32
3,oracle_first,8,0.13786949217319489,32
3,oracle_first,9,0.13651856780052185,32
3,oracle_first,10,0.13577400147914886,32
4,dense_first,1,0.6347962617874146,32
4,dense_first,2,0.5477718710899353,32
4,dense_first,3,0.4956507086753845,32
4,dense_first,4,0.4701204001903534,32
4,dense_first,5,0.46670469641685486,32
4,dense_first,6,0.4596673846244812,32
4,dense_first,7,0.4574362635612488,32
4,dense_first,8,0.4522906243801117,32
4,dense_first,9,0.4459485411643982,32
4,dense_first,10,0.44609636068344116,32
4,b0_first,1,0.7641207575798035,32
4,b0_first,2,0.5710070133209229,32
4,b0_first,3,0.4991098940372467,32
4,b0_first,4,0.4721384048461914,32
4,b0_first,5,0.4587056040763855,32
4,b0_first,6,0.45488792657852173,32
4,b0_first,7,0.45228809118270874,32
4,b0_first,8,0.4449934661388397,32
4,b0_first,9,0.44083091616630554,32
4,b0_first,10,0.4354359209537506,32
4,oracle_first,1,0.29735687375068665,32
4,oracle_first,2,0.43148112297058105,32
4,oracle_first,3,0.44072458148002625,32
4,oracle_first,4,0.4357823133468628,32
4,oracle_first,5,0.4305631220340729,32
4,oracle_first,6,0.42459821701049805,32
4,oracle_first,7,0.4291989207267761,32
4,oracle_first,8,0.42523154616355896,32
4,oracle_first,9,0.42726948857307434,32
4,oracle_first,10,0.4255954623222351,32
5,dense_first,1,0.5642287731170654,32
5,dense_first,2,0.45047396421432495,32
5,dense_first,3,0.3880208730697632,32
5,dense_first,4,0.3774813115596771,32
5,dense_first,5,0.37132924795150757,32
5,dense_first,6,0.36739176511764526,32
5,dense_first,7,0.35660648345947266,32
5,dense_first,8,0.34856075048446655,32
5,dense_first,9,0.33997347950935364,32
5,dense_first,10,0.3421970307826996,32
5,b0_first,1,0.5180762410163879,32
5,b0_first,2,0.4052088260650635,32
5,b0_first,3,0.35736751556396484,32
5,b0_first,4,0.33472633361816406,32
5,b0_first,5,0.3228585720062256,32
5,b0_first,6,0.32286566495895386,32
5,b0_first,7,0.3140789568424225,32
5,b0_first,8,0.3121708333492279,32
5,b0_first,9,0.3091084361076355,32
5,b0_first,10,0.3055382966995239,32
5,oracle_first,1,0.12476855516433716,32
5,oracle_first,2,0.2040591835975647,32
5,oracle_first,3,0.276123046875,32
5,oracle_first,4,0.31092369556427,32
5,oracle_first,5,0.32321012020111084,32
5,oracle_first,6,0.3114655017852783,32
5,oracle_first,7,0.29230570793151855,32
5,oracle_first,8,0.27742621302604675,32
5,oracle_first,9,0.2537657916545868,32
5,oracle_first,10,0.2505100965499878,32
6,dense_first,1,0.4449786841869354,32
6,dense_first,2,0.2936980128288269,32
6,dense_first,3,0.26899731159210205,32
6,dense_first,4,0.2613323926925659,32
6,dense_first,5,0.26042237877845764,32
6,dense_first,6,0.25658485293388367,32
6,dense_first,7,0.2453070431947708,32
6,dense_first,8,0.2310027778148651,32
6,dense_first,9,0.22696179151535034,32
6,dense_first,10,0.22508016228675842,32
6,b0_first,1,0.4808705151081085,32
6,b0_first,2,0.37117424607276917,32
6,b0_first,3,0.33206498622894287,32
6,b0_first,4,0.3235137164592743,32
6,b0_first,5,0.31257590651512146,32
6,b0_first,6,0.30887430906295776,32
6,b0_first,7,0.28676924109458923,32
6,b0_first,8,0.2627394497394562,32
6,b0_first,9,0.2573336362838745,32
6,b0_first,10,0.25264379382133484,32
6,oracle_first,1,0.042622096836566925,32
6,oracle_first,2,0.06775699555873871,32
6,oracle_first,3,0.09290789067745209,32
6,oracle_first,4,0.09406431019306183,32
6,oracle_first,5,0.09606407582759857,32
6,oracle_first,6,0.09741412103176117,32
6,oracle_first,7,0.10309793055057526,32
