metric,C0,D1
stage2_mse,0.39525834740945864,0.3891593878968532
delta_vs_b0,0.022136655587196963,0.016037696074591545
gap_recovery,-0.26263012014518994,-0.2317463703037231
hard_aggregate_mse_seq,0.5513873813344065,0.5480242880675145
t1_spearman_top1pct,0.21278517360566185,0.28318469362333415
t1_oracle_rank_median,99,47
t1_top50_containment,0.305,0.52
t2_hurt_frac,0.232,0.122
t2_selected_rank_median,1934.0,88.0
t2_oracle_rank_median,560.0,42.5
t2_spearman_top1pct,0.14044038745970466,0.32939174376660957
t2_continuation_regret,0.34980106046050785,0.1963780655991286
best_epoch,1,10
best_val_overlap_at_k,0.008228,0.0146
