step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,wce_loss,wce_weighted_topk_ce_loss,wce_weighted_topk_effective_positives,wce_weighted_topk_oracle_mass,wce_weighted_topk_top1_weight,wce_weighted_topk_weight_entropy
0,0.001641281512605042,0.020058391005301678,0.009044426595087812,0.1229089279238432,885.0671919494116,712.6638655462185,0.5611221694364017,7201.0,0.9579968129386421,0.001641281512605042,1.003561969126473,0.2885336655762882,7.98492476018537,7.98492476018537,9.268256032166361,0.01371758051868519,0.17690915262185725,2.2160594488392356
1,0.008534663865546218,0.07409710207750567,0.04017084775132542,0.07337516067381322,528.3011578792283,364.8382352941176,0.47555514637130397,7200.0,0.9690237556185041,0.008534663865546218,0.9180818807740673,0.3628517538174978,7.244486649497216,7.244486649497216,9.266829281294045,0.01928233573935435,0.1770144857372306,2.2158661958049324
2,0.01207983193277311,0.08310677212107331,0.04608718487394958,0.07200958766727983,518.3970242668601,357.3151260504202,0.4523895116554213,7199.0,0.9696200178200457,0.01207983193277311,0.8951702302306139,0.3677261271998801,7.207619511780619,7.207619511780619,9.26408806768786,0.019792123874506944,0.17724177369675717,2.2154943171669457
3,0.009716386554621849,0.08591432896826197,0.04543067226890756,0.07182333289896052,516.9843479765564,355.38655462184875,0.4510650634217788,7198.0,0.9697337831769671,0.009716386554621849,0.894152856157983,0.3690773839905088,7.2001153501141975,7.2001153501141975,9.261073005299608,0.019772724661715754,0.17744145115070484,2.215090500456946
4,0.01096376050420168,0.08913896441021386,0.04851628151260504,0.07185960750529903,517.1735936333151,354.65546218487395,0.44108494921360447,7197.0,0.9697112988273636,0.01096376050420168,0.8844530584932375,0.3696246326591959,7.1993875243082766,7.1993875243082766,9.25882130310315,0.019663654009078727,0.17762059475756994,2.214805411691425
5,0.012539390756302522,0.08827777434641323,0.049041491596638655,0.07193014530187175,517.6093247998663,354.8844537815126,0.4506193121284747,7196.0,0.9694589651933238,0.012539390756302522,0.8942431963416708,0.3698835595982271,7.200422936126966,7.200422936126966,9.255742083076669,0.019540617518101162,0.17782173013048513,2.2144000840788127
6,0.010569852941176471,0.08873733316994264,0.04836953163710462,0.07213528327420823,519.0133619869457,356.07142857142856,0.4518904354611114,7195.0,0.9693224172131354,0.010569852941176471,0.8958450923634678,0.3699415901402051,7.204130905015128,7.204130905015128,9.254172321127243,0.01938925129746037,0.17793569634003298,2.2141538868431283
7,0.008797268907563025,0.08788386678338803,0.048632136679121425,0.07225088130471398,519.7728389451484,356.81302521008405,0.46364101157093246,7194.0,0.9691236016630125,0.008797268907563025,0.9078532020960536,0.3699517084379269,7.207879879895379,7.207879879895379,9.25133190134994,0.019229743105305324,0.17814128467140078,2.213735616006771
8,0.010766806722689076,0.08840907686742164,0.05040472071273487,0.07234179013224804,520.3544974126736,357.3802521008403,0.45823808859626786,7193.0,0.9691578340129692,0.010766806722689076,0.9026920039112828,0.3698819708396945,7.211093213377881,7.211093213377881,9.24894508894752,0.01909401001271248,0.1782934820639486,2.2134246961409305
9,0.011160714285714286,0.08729300543885021,0.04922299802365924,0.072499266324737,521.4147228914148,357.1533613445378,0.4600657288517271,7192.0,0.9690026009784025,0.011160714285714286,0.904791908698673,0.36978792741052136,7.2155432049967665,7.2155432049967665,9.247325641768319,0.018931047007960743,0.17839809136167795,2.2131905796147193
