bin,base_mse,ret_mse,mixture_mse,corr_cos_mean,ret_better_frac,arm
1-24,0.31777098774909973,0.3444715142250061,0.29775863885879517,0.17537358403205872,0.39974352717399597,Individual-TF-Asym
25-48,0.38296109437942505,0.41695788502693176,0.3681207001209259,0.12353260070085526,0.3755321800708771,Individual-TF-Asym
49-72,0.4256671965122223,0.4452725648880005,0.40363335609436035,0.127950057387352,0.3992818593978882,Individual-TF-Asym
73-96,0.44550374150276184,0.47270745038986206,0.421668142080307,0.12988191843032837,0.39584508538246155,Individual-TF-Asym
1-24,0.31777098774909973,0.4193682074546814,0.3024764358997345,0.12988020479679108,0.30695050954818726,Set-TF-Asym
25-48,0.38296109437942505,0.5546885132789612,0.3744083344936371,0.10111363232135773,0.29017695784568787,Set-TF-Asym
49-72,0.4256671965122223,0.6126877069473267,0.41338250041007996,0.12026293575763702,0.31264427304267883,Set-TF-Asym
73-96,0.44550374150276184,0.6153448820114136,0.4359325170516968,0.09490937739610672,0.30361631512641907,Set-TF-Asym
1-24,0.31777098774909973,0.3577662408351898,0.2997324764728546,0.17647309601306915,0.4016927480697632,Individual-OP-Asym
25-48,0.38296109437942505,0.4266783595085144,0.3687596619129181,0.13807366788387299,0.39594766497612,Individual-OP-Asym
49-72,0.4256671965122223,0.4543219804763794,0.40403610467910767,0.14642120897769928,0.41266992688179016,Individual-OP-Asym
73-96,0.44550374150276184,0.4803023934364319,0.42239266633987427,0.13546635210514069,0.3943575322628021,Individual-OP-Asym
1-24,0.31777098774909973,0.39194393157958984,0.3031337261199951,0.15930025279521942,0.35629647970199585,Set-OP-Asym
25-48,0.38296109437942505,0.4808309078216553,0.37470972537994385,0.10249894857406616,0.3349063992500305,Set-OP-Asym
49-72,0.4256671965122223,0.5096744298934937,0.4130227267742157,0.11768760532140732,0.3674275577068329,Set-OP-Asym
73-96,0.44550374150276184,0.5429812669754028,0.4339551329612732,0.10769446939229965,0.3547576367855072,Set-OP-Asym
1-24,0.31777098774909973,0.32966095209121704,0.29321765899658203,0.18803668022155762,0.4115414321422577,KL+Asym[s2ls]
25-48,0.38296109437942505,0.4029028117656708,0.36283987760543823,0.14017349481582642,0.396460622549057,KL+Asym[s2ls]
49-72,0.4256671965122223,0.43362170457839966,0.3988426625728607,0.14793936908245087,0.4196973443031311,KL+Asym[s2ls]
73-96,0.44550374150276184,0.4614451825618744,0.42107170820236206,0.13408736884593964,0.4058476388454437,KL+Asym[s2ls]
1-24,0.31777098774909973,0.32966095209121704,0.29321765899658203,0.18803668022155762,0.4115414321422577,KL+Asym[e2]
25-48,0.38296109437942505,0.4029028117656708,0.36283987760543823,0.14017349481582642,0.396460622549057,KL+Asym[e2]
49-72,0.4256671965122223,0.43362170457839966,0.3988426625728607,0.14793936908245087,0.4196973443031311,KL+Asym[e2]
73-96,0.44550374150276184,0.4614451825618744,0.42107170820236206,0.13408736884593964,0.4058476388454437,KL+Asym[e2]
1-24,0.31777098774909973,0.14401529729366302,0.14401529729366302,0.6093364357948303,0.7903051972389221,Oracle-Individual
25-48,0.38296109437942505,0.14854352176189423,0.14854349195957184,0.6561766862869263,0.8414465188980103,Oracle-Individual
49-72,0.4256671965122223,0.14399996399879456,0.14399996399879456,0.6874358057975769,0.8723775148391724,Oracle-Individual
73-96,0.44550374150276184,0.15407629311084747,0.15407629311084747,0.6753937005996704,0.8514490723609924,Oracle-Individual
1-24,0.31777098774909973,0.13611003756523132,0.13611003756523132,0.6274046301841736,0.8122595548629761,Oracle-Individual(uniform)
25-48,0.38296109437942505,0.13933971524238586,0.13933971524238586,0.6762240529060364,0.867094099521637,Oracle-Individual(uniform)
49-72,0.4256671965122223,0.1343027651309967,0.1343027800321579,0.7052148580551147,0.890741229057312,Oracle-Individual(uniform)
73-96,0.44550374150276184,0.142520010471344,0.1425199955701828,0.6960619688034058,0.8768914937973022,Oracle-Individual(uniform)
1-24,0.31777098774909973,0.10287582874298096,0.10287582129240036,0.7407190799713135,0.9205950498580933,Oracle-Set
25-48,0.38296109437942505,0.10401805490255356,0.10401805490255356,0.7856727242469788,0.9555270671844482,Oracle-Set
49-72,0.4256671965122223,0.10114779323339462,0.10114778578281403,0.806851327419281,0.9595794081687927,Oracle-Set
73-96,0.44550374150276184,0.1040915846824646,0.104091577231884,0.8026320338249207,0.9586047530174255,Oracle-Set
