metric,value
b0_stage2_final_mse,0.37312
sequential_stage2_final_mse,0.40277
delta_final_mse_vs_b0,0.02965
individual_oracle_mse_test,0.19101
b0_a_weighted_test,0.40734
set_oracle_a_weighted_test,0.10303
sequential_a_weighted_test,0.53040
gap_recovery,-0.40439
sequential_set_recall_at_10_test,0.01354
chance_recall_at_10_approx_CORRECTED_2026-09-06,0.001184
chance_recall_at_10_approx_ORIGINAL_WRONG_formula_K2_over_N,0.01183
small_n_chance_recall_at_10_CORRECTED,0.04167
duplicate_rate,0.0
invalid_rate,0.0
best_epoch,8
best_val_overlap_at_10,0.0130
train_wall_clock_seconds,507.2
peak_gpu_memory_mib,548
effective_rank_trained_encoder,5.433
mean_pairwise_cosine_trained_encoder,0.01223
small_n_val_overlap_at_10,0.875
small_n_candidate_grad_norm,0.0806
