step,chosen_normalized_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,student_entropy_mean,teacher_entropy,topm_probability_mass_mean
0,4.75558991116636,10.0,10.0,0.003676470588235294,0.03814338235294118,0.017463235294117647,0.031338464311214495,225.66827976002412,170.60294117647058,0.7281061634421349,1.0,7201.0,0.9671955617035136,0.003676470588235294,1.5300448273911196,-0.02276766593556257,5.518793372546925,2.2466047546442818,0.03618657894720159
1,3.343832356088302,10.0,10.0,0.004136029411764706,0.09561526819187052,0.042522707625347024,0.010265879651449402,73.91433283861946,61.13235294117647,0.41451959092827406,1.0,7200.0,0.5885019578477916,0.004136029411764706,1.6480258405208588,0.2671152063859849,5.619382150032941,2.2463403870077694,0.054213019033126975
2,2.9903081287355984,10.0,10.0,0.007758434259277933,0.10577962810502332,0.052119377343093645,0.009617671795079814,69.2376189512365,56.44117647058823,0.29510287063963275,1.0,7199.0,0.5759877470486304,0.007758434259277933,1.541189754710478,0.19024571856607508,5.603741617763744,2.2458676906193005,0.056479296756579596
3,2.883416712284088,10.0,10.0,0.009191176470588236,0.10951016448876437,0.05676903115475879,0.009422987702932647,67.82666523316327,53.911764705882355,0.23375126478426597,1.0,7198.0,0.5591290856108946,0.009191176470588236,1.5517085457549376,0.13788265527508722,5.60785973072052,2.245346230619094,0.056412922328009325
4,2.7898158956976498,10.0,10.0,0.009137110729866168,0.11675497407422346,0.059418252724058485,0.00930400681681931,66.9609375,53.838235294117645,0.19105386766878998,1.0,7197.0,0.551282608333756,0.009137110729866168,1.549071524073096,0.10659740120789085,5.611151491894441,2.245333061498754,0.056623971254071766
5,2.701120757004794,10.0,10.0,0.01138083910679116,0.11588992222267039,0.06039143616662306,0.009197637894163457,66.18620241389556,52.205882352941174,0.15840215729001692,1.0,7196.0,0.5469035944517922,0.01138083910679116,1.5302681309335373,0.08597162588552344,5.614828137790456,2.2456201560357036,0.05679579216110356
6,2.6617549394859985,10.000459558823529,10.000459558823529,0.011029411764705883,0.11364619390052907,0.056417603812673515,0.009204247723306146,66.22456205592437,52.30882352941177,0.13773124610238216,1.0,7195.0,0.5418422257199007,0.011029411764705883,1.5452589515377493,0.06968441370081029,5.618079725433798,2.2456024639746723,0.05692537205622477
7,2.6015340352759644,10.0,10.0,0.00959666955339558,0.11916089978288202,0.060094074400908803,0.00906388821450117,65.20561201432172,51.661764705882355,0.12124978444155525,1.0,7194.0,0.5412843621828977,0.00959666955339558,1.5423179531798643,0.0576498000066027,5.621434120570912,2.2454346418380737,0.05701394614708774
8,2.6185340408016655,10.0,10.0,0.009650735294117647,0.11640354684170555,0.05652573529411765,0.009110258248470286,65.53008758320527,51.63235294117647,0.10961013528354027,1.0,7193.0,0.5371874868869781,0.009650735294117647,1.5643528997898102,0.0481652992153506,5.6235757925931145,2.245537018074709,0.057210182442384606
9,2.5913928940015682,10.0,10.0,0.008731617647058824,0.12008001742994084,0.05785034602398381,0.009055970743408097,65.13054174535415,50.3235294117647,0.099910311291323,1.0,7192.0,0.5362432450056076,0.008731617647058824,1.5675488675341887,0.04053522071048706,5.626581591718337,2.245731087291942,0.05723607282647315
