step,chosen_normalized_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,student_entropy_mean,teacher_entropy,topm_probability_mass_mean
0,7.3769843354821205,10.0,10.0,0.013139204545454546,0.11683238636363637,0.07279829545454546,0.05504442102524494,465.0703125,345.53409090909093,0.8487424091859297,1.0,8449.0,0.9638938775116747,0.013139204545454546,1.2069667889313265,0.3910355162705111,6.395676385272633,2.2459325817498295,0.027730265051518058
1,2.935029198500243,10.000355113636363,10.000355113636363,0.025923295454545456,0.22123579545454544,0.13139204545454544,0.0081039304389957,68.4620028409091,38.32954545454545,0.46308352561159566,1.0,8448.0,0.590014038099484,0.025923295454545456,1.4887998686595396,0.2711733857322956,7.09579385952516,2.246082441373305,0.02813827678222548
2,2.6492594196037813,10.0,10.0,0.03231534090909091,0.2041903409090909,0.11754261363636363,0.008725234822453454,73.7020596590909,42.60227272727273,0.35768063654276455,1.0,8447.0,0.5669149963015859,0.03231534090909091,1.5119930783456021,0.17518081052538356,7.114315585656599,2.2451821755279195,0.027421040492216973
3,2.567343969236721,10.0,10.0,0.024502840909090908,0.17649147727272727,0.09978693181818182,0.0096789278521266,81.74822443181819,48.04545454545455,0.2977161979810758,1.0,8446.0,0.5544222749092362,0.024502840909090908,1.5129293034022504,0.12437535593087225,7.121901555494829,2.245332642035051,0.02691498361739584
4,2.4230187941681254,10.0,10.0,0.023082386363636364,0.16264204545454544,0.09730113636363637,0.010297202129467305,86.9598721590909,48.875,0.2602964446625926,1.0,8445.0,0.5457224707034501,0.023082386363636364,1.535419924692674,0.09783834186182296,7.12687366658991,2.2450089129534634,0.026579426135867834
5,2.3225146410140125,10.0,10.0,0.018110795454545456,0.17009943181818182,0.08487215909090909,0.010896656051706734,92.01136363636364,51.86363636363637,0.23146341055292974,1.0,8444.0,0.5413770364089445,0.018110795454545456,1.536418615417047,0.07925428559149789,7.130468877879056,2.245078298178586,0.026324153787837447
6,2.2757195098833605,10.0,10.0,0.01775568181818182,0.16441761363636365,0.08025568181818182,0.011261682642560283,95.08238636363636,53.78409090909091,0.20850179556079887,1.0,8443.0,0.537297301333059,0.01775568181818182,1.5212895504452966,0.06655277276276324,7.133658138188449,2.244935016740452,0.026094218038699844
7,2.25375120612708,10.0,10.0,0.015625,0.1534090909090909,0.07421875,0.011800819163909182,99.62251420454545,55.71590909090909,0.190808501009914,1.0,8442.0,0.535560089756142,0.015625,1.5303736572915858,0.05511335575232062,7.136338174343109,2.244802575219761,0.025937905461019414
8,2.2499218068339606,10.0,10.0,0.015269886363636364,0.15234375,0.07102272727272728,0.012238441772007553,103.3046875,57.19318181818182,0.17790727046403018,1.0,8441.0,0.5323080129244111,0.015269886363636364,1.5458269640803337,0.048237180672996066,7.13919108022343,2.2447649267586796,0.02573126076657156
9,2.1854539554227483,10.0,10.0,0.014914772727272728,0.15305397727272727,0.06960227272727272,0.012305486922824375,103.8583096590909,57.84090909090909,0.1629867379299619,1.0,8440.0,0.5323942889544097,0.014914772727272728,1.5450666763565757,0.04040566967231288,7.141770725900477,2.2446571209213952,0.025655180946077136
