step,chosen_normalized_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,student_entropy_mean,teacher_entropy,topm_probability_mass_mean
0,7.778834472325715,10.0,10.0,0.018110795454545456,0.11399147727272728,0.06569602272727272,0.06149018162977882,519.5305397727273,374.53409090909093,0.8752406391907822,1.0,8449.0,0.9630405835129998,0.018110795454545456,1.2334650172428652,0.27796469903759397,6.193405974995006,2.2459325952963396,0.029176981792592083
1,3.1692998775027017,10.0,10.0,0.013494318181818182,0.15447443181818182,0.08238636363636363,0.014913091380466622,125.98579545454545,65.86363636363636,0.5274635446681217,1.0,8448.0,0.5630011836236174,0.013494318181818182,1.6840739277276127,0.18667553117884175,6.523933670737526,2.2457859461957757,0.034549367233094846
2,2.8586971570145,10.0,10.0,0.013849431818181818,0.12642045454545456,0.07670454545454546,0.019464952599677912,164.42045454545453,83.48863636363636,0.4367531527849761,1.0,8447.0,0.539528513835235,0.013849431818181818,1.852715546434576,0.10649054061311537,6.5382835485718465,2.2454498356038872,0.03163130081851374
3,2.664875168691982,10.0,10.0,0.02166193181818182,0.10191761363636363,0.06178977272727273,0.023063381834535077,194.79332386363637,99.98863636363636,0.3774290569126606,1.0,8446.0,0.5330585126172412,0.02166193181818182,1.9659999426115642,0.07416076477220072,6.552726637233388,2.2454920329830865,0.029673510548574002
4,2.641954920508645,10.0,10.0,0.008167613636363636,0.08487215909090909,0.04403409090909091,0.02562881818316369,216.4353693181818,110.51136363636364,0.3421140529892661,1.0,8445.0,0.5286122905937108,0.008167613636363636,2.0052703740921887,0.05344530557092433,6.565091962164098,2.2452455406839196,0.028175302590666848
5,2.511642260984941,10.0,10.0,0.007457386363636364,0.07670454545454546,0.04190340909090909,0.0275974686850201,233.0330255681818,121.7159090909091,0.3150718239220706,1.0,8444.0,0.525630206885663,0.007457386363636364,2.013056214560162,0.03782556538745429,6.574871621348641,2.244901380755685,0.027324716200713407
6,2.464147990400141,10.0,10.0,0.00887784090909091,0.07315340909090909,0.03551136363636364,0.02994205641285093,252.80078125,131.6818181818182,0.294602698053826,1.0,8443.0,0.5229294276372953,0.00887784090909091,2.1240220110524786,0.0271641614179714,6.5830754095857795,2.244970952922648,0.026533438665369016
7,2.469612640413371,10.0,10.0,0.006747159090909091,0.06853693181818182,0.033380681818181816,0.03135617249063216,264.7088068181818,140.13636363636363,0.2799406708641486,1.0,8442.0,0.5205260454253717,0.006747159090909091,2.167012175375765,0.017978675552781584,6.591198319738561,2.2448685629801317,0.025921716539993544
8,2.4455683448097925,10.0,10.0,0.006392045454545455,0.06605113636363637,0.03231534090909091,0.033041134132707324,278.9002130681818,148.98863636363637,0.2678071494129571,1.0,8441.0,0.5182476365430788,0.006392045454545455,2.202477688139135,0.012212462649671352,6.598829594525424,2.2449690618298273,0.025505463232878934
9,2.380862034179948,10.0,10.0,0.005326704545454545,0.06321022727272728,0.030894886363636364,0.03460346757889387,292.05326704545456,153.3409090909091,0.2529456503689289,1.0,8440.0,0.5174146636643193,0.005326704545454545,2.185699141838334,0.008038013415623107,6.605281564322385,2.244950435378335,0.02530801714800129
