channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,0.28316521644592285,32
0,dense_first,2,0.28288257122039795,32
0,dense_first,3,0.27626195549964905,32
0,dense_first,4,0.27210286259651184,32
0,dense_first,5,0.25556838512420654,32
0,dense_first,6,0.24403007328510284,32
0,dense_first,7,0.24085292220115662,32
0,dense_first,8,0.23912467062473297,32
0,dense_first,9,0.23737123608589172,32
0,dense_first,10,0.23793211579322815,32
0,b0_first,1,0.2831193208694458,32
0,b0_first,2,0.2831658720970154,32
0,b0_first,3,0.2709975838661194,32
0,b0_first,4,0.2691582441329956,32
0,b0_first,5,0.263477623462677,32
0,b0_first,6,0.2564127445220947,32
0,b0_first,7,0.2541743516921997,32
0,b0_first,8,0.25276196002960205,32
0,b0_first,9,0.25208282470703125,32
0,b0_first,10,0.2475874423980713,32
0,oracle_first,1,0.07649996131658554,32
0,oracle_first,2,0.07851500809192657,32
0,oracle_first,3,0.15194913744926453,32
0,oracle_first,4,0.16289189457893372,32
0,oracle_first,5,0.1909133791923523,32
0,oracle_first,6,0.223756343126297,32
0,oracle_first,7,0.24689169228076935,32
0,oracle_first,8,0.2536558508872986,32
0,oracle_first,9,0.24357910454273224,32
0,oracle_first,10,0.2515602111816406,32
1,dense_first,1,0.6097656488418579,32
1,dense_first,2,0.5380894541740417,32
1,dense_first,3,0.5131009221076965,32
1,dense_first,4,0.4478245973587036,32
1,dense_first,5,0.43466800451278687,32
1,dense_first,6,0.4209177494049072,32
1,dense_first,7,0.4034755229949951,32
1,dense_first,8,0.40154221653938293,32
1,dense_first,9,0.39293184876441956,32
1,dense_first,10,0.3703644573688507,32
1,b0_first,1,0.4425209164619446,32
1,b0_first,2,0.43519359827041626,32
1,b0_first,3,0.4194181561470032,32
1,b0_first,4,0.41609346866607666,32
1,b0_first,5,0.409241259098053,32
1,b0_first,6,0.39805787801742554,32
1,b0_first,7,0.3908050060272217,32
1,b0_first,8,0.3882372975349426,32
1,b0_first,9,0.3785051703453064,32
1,b0_first,10,0.37512558698654175,32
1,oracle_first,1,0.17776811122894287,32
1,oracle_first,2,0.1825636327266693,32
1,oracle_first,3,0.20909065008163452,32
1,oracle_first,4,0.21869590878486633,32
1,oracle_first,5,0.2172642946243286,32
1,oracle_first,6,0.23013189435005188,32
1,oracle_first,7,0.24326103925704956,32
1,oracle_first,8,0.24916699528694153,32
1,oracle_first,9,0.25448328256607056,32
1,oracle_first,10,0.2571232318878174,32
2,dense_first,1,0.24194514751434326,32
2,dense_first,2,0.2418791502714157,32
2,dense_first,3,0.23760861158370972,32
2,dense_first,4,0.23532243072986603,32
2,dense_first,5,0.22929930686950684,32
2,dense_first,6,0.22194606065750122,32
2,dense_first,7,0.21826452016830444,32
2,dense_first,8,0.21445204317569733,32
2,dense_first,9,0.20715224742889404,32
2,dense_first,10,0.20371419191360474,32
2,b0_first,1,0.4087187349796295,32
2,b0_first,2,0.40878409147262573,32
2,b0_first,3,0.40684354305267334,32
2,b0_first,4,0.4018945097923279,32
2,b0_first,5,0.38066035509109497,32
2,b0_first,6,0.37641632556915283,32
2,b0_first,7,0.37470316886901855,32
2,b0_first,8,0.3633098900318146,32
2,b0_first,9,0.3528735339641571,32
2,b0_first,10,0.34995946288108826,32
2,oracle_first,1,0.0594760999083519,32
2,oracle_first,2,0.05933148413896561,32
2,oracle_first,3,0.06337838619947433,32
2,oracle_first,4,0.07538092136383057,32
2,oracle_first,5,0.08449453115463257,32
2,oracle_first,6,0.08700588345527649,32
2,oracle_first,7,0.09198133647441864,32
2,oracle_first,8,0.09569981694221497,32
2,oracle_first,9,0.09511461853981018,32
2,oracle_first,10,0.09612549096345901,32
3,dense_first,1,0.4650532007217407,32
3,dense_first,2,0.44602909684181213,32
3,dense_first,3,0.40950024127960205,32
3,dense_first,4,0.3847961723804474,32
3,dense_first,5,0.3647988438606262,32
3,dense_first,6,0.35382968187332153,32
3,dense_first,7,0.34993240237236023,32
3,dense_first,8,0.34139886498451233,32
3,dense_first,9,0.3336256146430969,32
3,dense_first,10,0.3255045711994171,32
3,b0_first,1,0.47949111461639404,32
3,b0_first,2,0.45693591237068176,32
3,b0_first,3,0.44071683287620544,32
3,b0_first,4,0.4321551024913788,32
3,b0_first,5,0.4206463098526001,32
3,b0_first,6,0.4152115285396576,32
3,b0_first,7,0.40432509779930115,32
3,b0_first,8,0.3942870497703552,32
3,b0_first,9,0.3915187418460846,32
3,b0_first,10,0.3894565999507904,32
3,oracle_first,1,0.1116892620921135,32
3,oracle_first,2,0.11344870924949646,32
3,oracle_first,3,0.1113019734621048,32
3,oracle_first,4,0.11114967614412308,32
3,oracle_first,5,0.11029854416847229,32
3,oracle_first,6,0.10978950560092926,32
3,oracle_first,7,0.11377738416194916,32
3,oracle_first,8,0.11994603276252747,32
3,oracle_first,9,0.12626148760318756,32
3,oracle_first,10,0.1316084861755371,32
4,dense_first,1,0.7338190078735352,32
4,dense_first,2,0.7116612792015076,32
4,dense_first,3,0.6267804503440857,32
4,dense_first,4,0.6155121326446533,32
4,dense_first,5,0.6062523126602173,32
4,dense_first,6,0.6002950668334961,32
4,dense_first,7,0.5890772342681885,32
4,dense_first,8,0.5840772390365601,32
4,dense_first,9,0.5824835300445557,32
4,dense_first,10,0.5851589441299438,32
4,b0_first,1,0.7641207575798035,32
4,b0_first,2,0.7557916641235352,32
4,b0_first,3,0.7047955393791199,32
4,b0_first,4,0.6771224737167358,32
4,b0_first,5,0.6518077850341797,32
4,b0_first,6,0.6397901773452759,32
4,b0_first,7,0.6273599863052368,32
4,b0_first,8,0.6284627914428711,32
4,b0_first,9,0.6266162395477295,32
4,b0_first,10,0.6178297996520996,32
4,oracle_first,1,0.29735687375068665,32
4,oracle_first,2,0.3644842505455017,32
4,oracle_first,3,0.40359926223754883,32
4,oracle_first,4,0.41867971420288086,32
4,oracle_first,5,0.4282569885253906,32
4,oracle_first,6,0.4377785921096802,32
4,oracle_first,7,0.45115548372268677,32
4,oracle_first,8,0.46268361806869507,32
4,oracle_first,9,0.47670888900756836,32
4,oracle_first,10,0.4864642024040222,32
5,dense_first,1,0.3562701940536499,32
5,dense_first,2,0.355049192905426,32
5,dense_first,3,0.34336960315704346,32
5,dense_first,4,0.3315120339393616,32
5,dense_first,5,0.3205822706222534,32
5,dense_first,6,0.3209576904773712,32
5,dense_first,7,0.3080627918243408,32
5,dense_first,8,0.29798436164855957,32
5,dense_first,9,0.28682583570480347,32
5,dense_first,10,0.27906525135040283,32
5,b0_first,1,0.5180762410163879,32
