metric,C0_cosine,C2_strong_pair
stage2_mse,0.39525834740945864,0.3970810522898207
delta_vs_b0,0.022136655587196963,0.023959360467559032
gap_recovery,-0.26263012014518994,-0.3392113378458208
hard_aggregate_mse_seq,0.5513873813344065,0.6224263453377591
t1_test_spearman_top1pct,0.21278517360566185,0.2250797994621098
t1_test_oracle_rank_median,99,97
t1_test_top50_containment,0.305,0.32
t1_train_spearman_top1pct,,0.12501462821252063
t1_train_oracle_rank_median,,654
t1_train_top50_containment,,0.12
t2_test_hurt_frac,0.232,0.214
t2_test_selected_true_rank_median,1934.0,3859.5
t2_test_oracle_predicted_rank_median,560.0,442.0
t2_test_spearman_top1pct,0.14044038745970466,0.18177735550375657
t2_test_continuation_regret,0.34980106046050785,0.3657245680615306
t2_train_hurt_frac,,0.324
t2_train_selected_true_rank_median,,5914.5
t2_train_oracle_predicted_rank_median,,2266.5
t2_train_spearman_top1pct,,0.057586243698606265
t2_train_continuation_regret,,0.2937435601353645
