channel,arm,step,a_weighted_mean_this_batch,n_valid
0,dense_first,1,1.2101726531982422,32
0,dense_first,2,1.079955816268921,32
0,dense_first,3,0.8764792084693909,32
0,dense_first,4,0.7244436740875244,32
0,dense_first,5,0.6923855543136597,32
0,dense_first,6,0.6839420199394226,32
0,dense_first,7,0.6234395503997803,32
0,dense_first,8,0.6145042181015015,32
0,dense_first,9,0.5917767882347107,32
0,dense_first,10,0.6042732000350952,32
0,b0_first,1,0.8028748035430908,32
0,b0_first,2,0.7291551828384399,32
0,b0_first,3,0.6488084197044373,32
0,b0_first,4,0.5874618887901306,32
0,b0_first,5,0.5695260763168335,32
0,b0_first,6,0.5587037801742554,32
0,b0_first,7,0.5270963907241821,32
0,b0_first,8,0.5303449630737305,32
0,b0_first,9,0.5291683673858643,32
0,b0_first,10,0.5361976623535156,32
0,oracle_first,1,0.3174806237220764,32
0,oracle_first,2,0.3236767649650574,32
0,oracle_first,3,0.3814782202243805,32
0,oracle_first,4,0.4019626975059509,32
0,oracle_first,5,0.4217976927757263,32
0,oracle_first,6,0.4325120747089386,32
0,oracle_first,7,0.44042879343032837,32
0,oracle_first,8,0.45968687534332275,32
0,oracle_first,9,0.46507278084754944,32
0,oracle_first,10,0.49094584584236145,32
1,dense_first,1,0.6675576567649841,32
1,dense_first,2,0.6210311055183411,32
1,dense_first,3,0.5501843690872192,32
1,dense_first,4,0.5190914869308472,32
1,dense_first,5,0.4916670322418213,32
1,dense_first,6,0.4729379117488861,32
1,dense_first,7,0.4544832706451416,32
1,dense_first,8,0.4335678219795227,32
1,dense_first,9,0.4329848289489746,32
1,dense_first,10,0.41432392597198486,32
1,b0_first,1,0.6171281337738037,32
1,b0_first,2,0.5769362449645996,32
1,b0_first,3,0.5522315502166748,32
1,b0_first,4,0.5303181409835815,32
1,b0_first,5,0.5137087106704712,32
1,b0_first,6,0.5032796859741211,32
1,b0_first,7,0.4913772642612457,32
1,b0_first,8,0.4811743497848511,32
1,b0_first,9,0.4653986990451813,32
1,b0_first,10,0.45646774768829346,32
1,oracle_first,1,0.30400562286376953,32
1,oracle_first,2,0.3189533054828644,32
1,oracle_first,3,0.3294818103313446,32
1,oracle_first,4,0.3476931154727936,32
1,oracle_first,5,0.35504385828971863,32
1,oracle_first,6,0.3585355877876282,32
1,oracle_first,7,0.36161893606185913,32
1,oracle_first,8,0.36234933137893677,32
1,oracle_first,9,0.35853007435798645,32
1,oracle_first,10,0.36207103729248047,32
2,dense_first,1,1.3912211656570435,32
2,dense_first,2,1.1222503185272217,32
2,dense_first,3,0.8897523283958435,32
2,dense_first,4,0.7905241847038269,32
2,dense_first,5,0.7486490607261658,32
2,dense_first,6,0.7339351177215576,32
2,dense_first,7,0.7024126052856445,32
2,dense_first,8,0.6903039216995239,32
2,dense_first,9,0.6719526648521423,32
2,dense_first,10,0.657632052898407,32
2,b0_first,1,0.7626448273658752,32
2,b0_first,2,0.6931854486465454,32
2,b0_first,3,0.5990463495254517,32
2,b0_first,4,0.5695521235466003,32
2,b0_first,5,0.5569212436676025,32
2,b0_first,6,0.5426884889602661,32
2,b0_first,7,0.5540226697921753,32
2,b0_first,8,0.554673433303833,32
2,b0_first,9,0.5543646216392517,32
2,b0_first,10,0.557243287563324,32
2,oracle_first,1,0.3331853449344635,32
2,oracle_first,2,0.36293697357177734,32
2,oracle_first,3,0.4215749502182007,32
2,oracle_first,4,0.42941081523895264,32
2,oracle_first,5,0.4568059742450714,32
2,oracle_first,6,0.47768378257751465,32
2,oracle_first,7,0.4877851605415344,32
2,oracle_first,8,0.5102289319038391,32
2,oracle_first,9,0.5186095237731934,32
2,oracle_first,10,0.5300405025482178,32
3,dense_first,1,0.6090550422668457,32
3,dense_first,2,0.5780899524688721,32
3,dense_first,3,0.5114471316337585,32
3,dense_first,4,0.4754575192928314,32
3,dense_first,5,0.45910531282424927,32
3,dense_first,6,0.4443235993385315,32
3,dense_first,7,0.43649348616600037,32
3,dense_first,8,0.42285847663879395,32
3,dense_first,9,0.424102783203125,32
3,dense_first,10,0.4101436138153076,32
3,b0_first,1,0.5674242973327637,32
3,b0_first,2,0.5356920957565308,32
3,b0_first,3,0.4946221113204956,32
3,b0_first,4,0.4734329581260681,32
3,b0_first,5,0.45438146591186523,32
3,b0_first,6,0.448893666267395,32
3,b0_first,7,0.44513872265815735,32
3,b0_first,8,0.4380786418914795,32
3,b0_first,9,0.4268203675746918,32
3,b0_first,10,0.4192075729370117,32
3,oracle_first,1,0.2655482888221741,32
3,oracle_first,2,0.28938066959381104,32
3,oracle_first,3,0.2802163362503052,32
3,oracle_first,4,0.28971582651138306,32
3,oracle_first,5,0.2878574728965759,32
3,oracle_first,6,0.3008168935775757,32
3,oracle_first,7,0.3047531247138977,32
3,oracle_first,8,0.3150685727596283,32
3,oracle_first,9,0.31564128398895264,32
3,oracle_first,10,0.30736982822418213,32
4,dense_first,1,0.5400911569595337,32
4,dense_first,2,0.533721923828125,32
4,dense_first,3,0.5108298659324646,32
4,dense_first,4,0.5047019720077515,32
4,dense_first,5,0.4976060390472412,32
4,dense_first,6,0.49392735958099365,32
4,dense_first,7,0.48374128341674805,32
4,dense_first,8,0.4964105784893036,32
4,dense_first,9,0.48311924934387207,32
4,dense_first,10,0.47540944814682007,32
4,b0_first,1,0.5655744075775146,32
4,b0_first,2,0.5612676739692688,32
4,b0_first,3,0.5402932167053223,32
4,b0_first,4,0.5078088045120239,32
4,b0_first,5,0.5015498399734497,32
4,b0_first,6,0.4841195344924927,32
4,b0_first,7,0.4794982671737671,32
4,b0_first,8,0.4783092737197876,32
4,b0_first,9,0.47094929218292236,32
4,b0_first,10,0.4571034908294678,32
4,oracle_first,1,0.11450409144163132,32
4,oracle_first,2,0.11261852085590363,32
4,oracle_first,3,0.12112672626972198,32
4,oracle_first,4,0.13516266644001007,32
4,oracle_first,5,0.15589992702007294,32
4,oracle_first,6,0.17108669877052307,32
4,oracle_first,7,0.18236404657363892,32
4,oracle_first,8,0.21876537799835205,32
4,oracle_first,9,0.2252693772315979,32
4,oracle_first,10,0.2456226646900177,32
5,dense_first,1,0.23956209421157837,32
5,dense_first,2,0.20377112925052643,32
5,dense_first,3,0.190233051776886,32
5,dense_first,4,0.1774733066558838,32
5,dense_first,5,0.171116903424263,32
5,dense_first,6,0.16580677032470703,32
5,dense_first,7,0.15616583824157715,32
5,dense_first,8,0.15080372989177704,32
5,dense_first,9,0.1438688337802887,32
5,dense_first,10,0.14444640278816223,32
5,b0_first,1,0.20528371632099152,32
5,b0_first,2,0.19459813833236694,32
5,b0_first,3,0.18857206404209137,32
5,b0_first,4,0.17912347614765167,32
5,b0_first,5,0.17653843760490417,32
5,b0_first,6,0.1716526746749878,32
5,b0_first,7,0.16833537817001343,32
5,b0_first,8,0.16639956831932068,32
5,b0_first,9,0.1625196635723114,32
5,b0_first,10,0.15978486835956573,32
5,oracle_first,1,0.060055673122406006,32
5,oracle_first,2,0.09276627004146576,32
5,oracle_first,3,0.10783490538597107,32
5,oracle_first,4,0.1114545464515686,32
5,oracle_first,5,0.11628980934619904,32
5,oracle_first,6,0.11687054485082626,32
5,oracle_first,7,0.11677327007055283,32
5,oracle_first,8,0.12322582304477692,32
5,oracle_first,9,0.12152363359928131,32
5,oracle_first,10,0.12197878956794739,32
6,dense_first,1,0.1734125018119812,32
6,dense_first,2,0.10761967301368713,32
6,dense_first,3,0.09382330626249313,32
6,dense_first,4,0.08904453366994858,32
6,dense_first,5,0.07968126237392426,32
6,dense_first,6,0.0737219899892807,32
6,dense_first,7,0.0661335289478302,32
6,dense_first,8,0.06140878051519394,32
6,dense_first,9,0.06070453301072121,32
6,dense_first,10,0.05690305680036545,32
6,b0_first,1,0.20227599143981934,32
6,b0_first,2,0.14255693554878235,32
6,b0_first,3,0.13059064745903015,32
6,b0_first,4,0.1196623221039772,32
6,b0_first,5,0.11451474577188492,32
6,b0_first,6,0.10587902367115021,32
6,b0_first,7,0.09761591255664825,32
6,b0_first,8,0.08970586955547333,32
6,b0_first,9,0.08315634727478027,32
6,b0_first,10,0.07782025635242462,32
6,oracle_first,1,0.01270977407693863,32
6,oracle_first,2,0.02304154261946678,32
6,oracle_first,3,0.02427580952644348,32
6,oracle_first,4,0.02174137532711029,32
