epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.5854395060940126,0.8822435723461498,1.5837923585230695,1.5837923585230695,1.8058242886730314,0.8827666339919239,1.5714607641413807,0.9723672866821289,0.08580683916807175,0.0,0.0009916044073179364,0.8062359690666199,0.3547346591949463,0.36386728286743164,0.0060925413854420185,0.20020020008087158,0.28354209661483765,0.43492603302001953,0.4928858280181885,0.1151685118675232,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
2,0.5408201660730142,0.8723281820115155,1.5523794273874714,1.5523794273874714,1.8058242886730314,0.8818552201315896,1.5755822770852614,0.5723540782928467,0.06723077595233917,0.0,0.2358035296201706,0.8921159505844116,0.18893952667713165,0.14290393888950348,6.143033601802017e-07,0.0027706234250217676,0.023705188184976578,0.30842721462249756,0.4531325101852417,0.1830020397901535,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
3,0.5359832956991365,0.8937635305512861,1.6212315452834978,1.6212315452834978,1.8058242886730314,0.9184615431074771,1.689020731963588,0.8466318249702454,0.11674489080905914,0.0,0.04918357729911804,0.9605043530464172,0.29844173789024353,0.29647600650787354,6.946232315385714e-05,0.05356503650546074,0.17215971648693085,0.4077691435813904,0.5177924633026123,0.1760827600955963,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
4,0.5294976445425928,0.8992982336501189,1.640315314423529,1.640315314423529,1.8058242886730314,0.883726005167246,1.5980790483455356,0.7992992401123047,0.04958022013306618,0.0,0.03245851770043373,0.893878698348999,0.23940791189670563,0.22672873735427856,0.00045464691356755793,0.055655885487794876,0.1208346039056778,0.3371054530143738,0.432712197303772,0.1473286896944046,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
5,0.5198538175462621,0.8607628064734782,1.5103085901060833,1.5103085901060833,1.8058242886730314,0.8705899304580019,1.5280631947256285,0.6591525077819824,0.045217160135507584,0.0,0.1096053421497345,0.8834314942359924,0.2006516009569168,0.17862388491630554,2.0313027562224306e-05,0.018068280071020126,0.06313382089138031,0.30141812562942505,0.41434407234191895,0.1577383130788803,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
6,0.5195604760562424,0.876422752925692,1.5665430876794069,1.5665430876794069,1.8058242886730314,0.8857454978691982,1.5868094849602072,0.7314735054969788,0.05738084390759468,0.0,0.06842070817947388,0.9238700270652771,0.2221546322107315,0.2021683305501938,7.326958439080045e-05,0.033742472529411316,0.09266749769449234,0.3195412755012512,0.43413880467414856,0.15894632041454315,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
7,0.5149032395761625,0.8733481250527938,1.5456753107256709,1.5456753107256709,1.8058242886730314,0.8803336213031748,1.559643232437584,0.5538440942764282,0.04296952486038208,0.0,0.2204667180776596,0.9480570554733276,0.1651683896780014,0.12489229440689087,2.4389396457991097e-07,0.0033085450995713472,0.02717478945851326,0.25850456953048706,0.38432687520980835,0.16021893918514252,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
8,0.5155885832763352,0.879648402495446,1.58212563246343,1.58212563246343,1.8058242886730314,0.8970724414654995,1.616065203068878,0.7077411413192749,0.07992331683635712,0.0,0.09757387638092041,0.9592099189758301,0.22388389706611633,0.19341616332530975,1.3411467989499215e-06,0.02060169354081154,0.08151255548000336,0.3259291350841522,0.4693950116634369,0.17658215761184692,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
9,0.5132812104657688,0.8945021277173864,1.6390834561075027,1.6390834561075027,1.8058242886730314,0.8931023339774171,1.6274510540215528,0.6463277339935303,0.026178356260061264,0.0,0.10154028981924057,0.8069506883621216,0.17756855487823486,0.15038953721523285,4.336210622568615e-05,0.019362343475222588,0.0654943659901619,0.2627522945404053,0.3687276244163513,0.13826151192188263,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
10,0.5162057320101071,0.8849994478892369,1.610062779233049,1.610062779233049,1.8058242886730314,0.8885184883438279,1.6115757822197982,0.5954915285110474,0.04177960008382797,0.0,0.1196535974740982,0.9083677530288696,0.17403455078601837,0.13715390861034393,1.0598006156214979e-05,0.016466835513710976,0.04935316741466522,0.25593864917755127,0.38008835911750793,0.15388967096805573,0.9664281902519318,1.8058242886730314,0.9664282010115283,1.8058242843691927
