t,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,0.009030032467532468,0.07066761363636363,0.03987418831168831,0.10708959307616074,904.7999695616883,624.422077922078,0.4917190553765599,8449.0,0.9699890315532684,0.009030032467532468,0.6826952834516861,0.1600344365175894
2,0.033532873376623376,0.2385349025974026,0.14184253246753248,0.017272522840452345,145.91827313311688,73.5211038961039,0.23668154197527314,8448.0,0.7260917936536398,0.033532873376623376,0.7239407117829307,0.3134306319882723
3,0.033380681818181816,0.2471590909090909,0.143262987012987,0.01463157782405664,123.59293831168831,59.38636363636363,0.16220913703142145,8447.0,0.6887482178288621,0.033380681818181816,0.7318643215777618,0.23779154574095937
4,0.033938717532467536,0.24406452922077923,0.1403206168831169,0.01425009838047637,120.35633116883118,58.05844155844156,0.1254158753874506,8446.0,0.6676868833601475,0.033938717532467536,0.7367442816846653,0.19563988476099659
5,0.03135146103896104,0.23919439935064934,0.1364650974025974,0.013821198178849553,116.72001826298701,57.628246753246756,0.10289568776210359,8445.0,0.6544245654692897,0.03135146103896104,0.7493749338673887,0.16825096349502108
6,0.030133928571428572,0.2385349025974026,0.13950892857142858,0.013602694287328632,114.86115056818181,58.30357142857143,0.0865456844066185,8444.0,0.6445032142876804,0.030133928571428572,0.7379943895480269,0.14658987078975488
7,0.03125,0.23660714285714285,0.13550121753246752,0.013375636522814838,112.93049918831169,57.65909090909091,0.07566373767603382,8443.0,0.6369910348545421,0.03125,0.7460672289024216,0.131132734149675
8,0.030539772727272728,0.22909902597402598,0.13164569805194806,0.013233201959633038,111.71469155844156,56.14448051948052,0.06618629311825233,8442.0,0.6304507572445777,0.030539772727272728,0.7480797836218368,0.11851233891024043
9,0.028764204545454544,0.22696834415584416,0.12768871753246752,0.01319185227456929,111.35242491883118,56.97402597402598,0.059714632885917635,8441.0,0.6250564721594383,0.028764204545454544,0.7607495200808172,0.10834385253497526
10,0.028155438311688312,0.2190543831168831,0.12540584415584416,0.013191329527819415,111.33482142857143,56.008116883116884,0.05366633084297253,8440.0,0.6212537017251764,0.028155438311688312,0.7544107867175012,0.0995004737854741
