t,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,gap_1_10_mean,gap_1_2_mean,gap_1_2_median,gap_1_5_mean,n_valid_mean,ndcg_at_10,near_tie_count_frac0.001,near_tie_count_frac0.01,near_tie_count_frac0.05,oracle_action_acc,selected_individual_future_mse,spearman,utility_range_mean
1,0.0017069327731092437,0.020386647307822685,0.009708662877375838,0.10244200102390111,737.6848509652274,578.1491596638656,0.5224948552037988,0.08838970685365978,0.023094607552585873,0.018224567409698703,0.05779357520890806,7201.0,0.9620656283462748,1.0025603991596639,1.0278052399639321,1.1422315254932691,0.0017069327731092437,0.9649346511842323,0.24274397615855348,0.08838970685365978
2,0.020421403859342848,0.16040920052959137,0.08847472816705704,0.016578417303658898,119.3646039321643,66.34663865546219,0.24899691651661357,0.07962145951005216,0.021438918601058253,0.014003502557195034,0.052083136095614525,7200.0,0.6877309908511258,1.001969537815126,1.02695949713723,1.1414939142575784,0.020421403859342848,1.047495382047501,0.5790601652090591,0.07962145951005216
3,0.016594321553071004,0.15364325880816504,0.07914838731727179,0.015478140147727672,111.42713097564312,62.37605042016807,0.18085316060690068,0.05966957058843632,0.01644054433392525,0.009953101024720348,0.03962336642620694,7199.0,0.6350838185734108,1.0023634453781514,1.0270174248378818,1.1432664980407523,0.016594321553071004,1.0263194206382047,0.48776627430653635,0.05966957058843632
4,0.018440280524434662,0.15407192300879904,0.08418808703725579,0.01434219568114759,103.23512417528809,59.11764705882353,0.13845124211506682,0.048436794520997514,0.013696407695289138,0.008287392149702841,0.03250935100490509,7198.0,0.6138110373701368,1.002888655462185,1.0255151696565772,1.1350369195477301,0.018440280524434662,1.019783414086374,0.43450767921700006,0.048436794520997514
5,0.017447787939625627,0.15490221834796317,0.08233440437299364,0.014113231911323965,101.57293086693066,57.92857142857143,0.11328479732159807,0.040597137892344856,0.011632987797483332,0.006971028292974254,0.02744433079883378,7197.0,0.6001296900525814,1.0024947478991597,1.0269749445073746,1.138752008436107,0.017447787939625627,1.0181849345001353,0.39450840163773376,0.040597137892344856
6,0.017571366783388023,0.1541877781909679,0.08258928576124315,0.01390446866118983,100.0565565814491,57.15126050420168,0.09404593647825492,0.035001258115370235,0.010151204862680771,0.006062272795233406,0.0237908200585839,7196.0,0.5931672184031551,1.0023634453781514,1.0243257231572096,1.1351527744481544,0.017571366783388023,1.0162135215804857,0.36559394962796815,0.035001258115370235
7,0.015659756551520163,0.1569374074783771,0.08280168690507402,0.013754770759162455,98.9655755868479,56.29621848739496,0.08236762125264196,0.030668117690972295,0.008948123273894605,0.005265159868956113,0.02094874022765273,7195.0,0.5870603264755562,1.0030778856838451,1.02631070834248,1.1374080884857338,0.015659756551520163,1.0292104340213186,0.34332473038765393,0.030668117690972295
8,0.017621570689400203,0.15720773618198744,0.08271286458935306,0.013535143959652945,97.37182558284087,55.9327731092437,0.07164298618963662,0.02735266335965956,0.008020389940909563,0.004711961498906633,0.018735561871063747,7194.0,0.5837054811105007,1.002626050420168,1.0248663806113876,1.1316539487418007,0.017621570689400203,1.0239260510361494,0.32467604320887256,0.02735266335965956
9,0.01719290657485483,0.15755916339885287,0.08330372593389089,0.01376283128658787,98.99604548125708,56.15966386554622,0.06405366112345032,0.024644335530338294,0.007260499000544425,0.004191873728164605,0.01691522107346124,7193.0,0.581247247379868,1.0022900705577946,1.0255151696565772,1.1263786769714677,0.01719290657485483,1.03275267084857,0.3095626352848411,0.024644335530338294
10,0.01868743821195945,0.1560337370684167,0.08452792886738517,0.013629613322413237,98.02417899380211,55.98109243697479,0.05719084729158765,0.022488233112894437,0.006673896072227938,0.003883208382968642,0.015479154734160094,7192.0,0.5787729366111154,1.0028152806418282,1.0264535964537067,1.1291205822920598,0.01868743821195945,1.0235255864926247,0.29562878447439644,0.022488233112894437
