t,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,gap_1_10_mean,gap_1_2_mean,gap_1_2_median,gap_1_5_mean,n_valid_mean,ndcg_at_10,near_tie_count_frac0.001,near_tie_count_frac0.01,near_tie_count_frac0.05,oracle_action_acc,selected_individual_future_mse,spearman,utility_range_mean
1,0.009232954545454546,0.07690746753246754,0.041243912337662336,0.08919592602407127,753.6163758116883,545.1818181818181,0.48687936394935016,0.09042906948114297,0.022060159628121516,0.016533166065044073,0.057748706190009276,8449.0,0.9714336056600917,1.002739448051948,1.0274452110389611,1.1443790584415585,0.009232954545454546,0.6778555889190598,0.35547166801768376,0.09042906948114297
2,0.00887784090909091,0.07416801948051949,0.040888798701298704,0.08977551483560517,758.4235491071429,548.625,0.5010879742187242,0.09054230317940584,0.022046529763818917,0.016589044249320232,0.057856146998547756,8448.0,0.9706250814261375,1.0027901785714286,1.027546672077922,1.1445819805194806,0.00887784090909091,0.6924589618846968,0.36752296768246234,0.09054230317940584
3,0.00979099025974026,0.07360998376623376,0.03987418831168831,0.0899232598304869,759.5817775974026,547.8571428571429,0.5083751976822636,0.09075349228390094,0.022090717041641988,0.016638159929538848,0.05800275644570946,8447.0,0.9702537756461602,1.0027901785714286,1.0275974025974026,1.1444805194805194,0.00979099025974026,0.7000506997422932,0.36829911614563865,0.09075349228390094
4,0.007660308441558442,0.07010957792207792,0.037591314935064936,0.09007583379117294,760.7804890422078,548.5438311688312,0.5148635339929251,0.09086626419697755,0.022288153798552986,0.01680704403605143,0.058054482051800305,8446.0,0.9699987727519753,1.0027901785714286,1.0276481331168832,1.1451400162337662,0.007660308441558442,0.7069642542825116,0.3685098312580758,0.09086626419697755
5,0.00887784090909091,0.07026176948051949,0.03977272727272727,0.0901345991438315,761.1866883116883,548.6363636363636,0.5200251328529089,0.09104338269673179,0.022355506231674968,0.016804944523519463,0.058213119501665286,8445.0,0.9697779208034664,1.0027901785714286,1.027546672077922,1.146864853896104,0.00887784090909091,0.7124106070849222,0.3685833890093369,0.09104338269673179
6,0.007913961038961038,0.06747159090909091,0.03799715909090909,0.09024197031286857,762.0031960227273,549.8165584415584,0.5218920624911688,0.09110604856706031,0.022665452527040282,0.01698898677729288,0.05828547257855958,8444.0,0.9696392914304486,1.0028916396103895,1.0276481331168832,1.1465097402597402,0.007913961038961038,0.7146424489857798,0.36856543787036405,0.09110604856706031
7,0.007406655844155844,0.06701501623376624,0.036931818181818184,0.09026263882196281,762.0874594155844,549.8977272727273,0.5276672286283853,0.09124548861593637,0.02274983115350622,0.01704016769404656,0.05844347165329019,8443.0,0.9694325430439664,1.0028916396103895,1.0274452110389611,1.1458502435064934,0.007406655844155844,0.7207138991442981,0.3685383257071207,0.09124548861593637
8,0.009080762987012988,0.06549310064935066,0.03617086038961039,0.09032040182305005,762.4848315746754,550.7840909090909,0.5361607066089553,0.09142082616877319,0.02288464219316949,0.01707312937103236,0.058598990919138005,8442.0,0.9693040247861441,1.0028409090909092,1.0275974025974026,1.1456473214285714,0.009080762987012988,0.7294672375738427,0.36849028087663654,0.09142082616877319
9,0.0078125,0.06549310064935066,0.033177759740259744,0.09033697966600363,762.5344460227273,550.0357142857143,0.5396065038262999,0.09161651606162007,0.022959655002511695,0.017104461365802723,0.05869615878025372,8441.0,0.9691879071004978,1.0028409090909092,1.0278510551948052,1.1440239448051948,0.0078125,0.7332061721456491,0.36842851983587405,0.09161651606162007
10,0.007102272727272727,0.06625405844155845,0.032873376623376624,0.09038862836578945,762.8800223214286,550.2175324675325,0.5387528727206027,0.09171688806245938,0.022968033903547527,0.01719005612577856,0.05883306643605087,8440.0,0.9690915285186334,1.0028916396103895,1.0281554383116882,1.1444297889610389,0.007102272727272727,0.7326626229257166,0.368344824608803,0.09171688806245938
