step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,student_entropy_mean,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass,topm_probability_mass_mean
0,13.090673794413542,0.492326068589101,9.453223928228601,,0.008674918831168832,0.07305194805194805,0.03814935064935065,0.11057134292238882,934.2172788149351,611.762987012987,0.492326068589101,,1.0,8449.0,0.9699277702670592,0.9755599006236374,0.008674918831168832,933.2172788149351,0.6833022921406603,0.12658086886541883,6.029916798139547,,10.0,2.2463097189153944,8.919873531762656,0.07305194805194805,0.008674918831168832,0.022060159718929245,0.03814935064935065,0.030903948713442674,
1,5.899650168931716,0.23729171331173607,9.449263187197896,10.0,0.033735795454545456,0.2379768668831169,0.1408786525974026,0.01773223812845324,149.80194805194805,79.53246753246754,0.23729171331173607,1.0,0.0,8448.0,0.7204833029249271,0.975377723284356,0.033735795454545456,,0.7203698249279775,0.25613125567128603,6.0303939093242995,6.030393861330949,10.0,2.245890236907191,8.904435566493444,,,,,0.06846459713996375,0.06846459659405431
2,4.33958863457302,0.16823766082933464,9.445145675114222,10.000304383116884,0.03505478896103896,0.2515726461038961,0.14701704545454544,0.015603217170390454,131.80037540584416,66.53246753246754,0.16823766082933464,1.0,0.0,8447.0,0.6809565160278376,0.975175797745779,0.03505478896103896,,0.7433861567118725,0.20122914172295417,6.05298739903933,6.052987343305118,10.000304383116884,2.2454509975074175,8.891231487323711,,,,,0.06710760241719084,0.06710760172852617
3,3.821790554693767,0.13090985802655386,9.441230639234766,10.0,0.033685064935064936,0.24878246753246752,0.14468344155844157,0.014632150953765596,123.58314732142857,60.8474025974026,0.13090985802655386,1.0,0.0,8446.0,0.6604778161393358,0.9750085280506642,0.033685064935064936,,0.7495095927522264,0.17152069706026218,6.073809143010672,6.073809063279784,10.0,2.2450401295315134,8.881559494253876,,,,,0.06566392556482975,0.06566392467432812
4,3.352155950597741,0.10655374201196065,9.439194046057663,10.0,0.030336850649350648,0.2461444805194805,0.14184253246753248,0.014099179760363201,119.06757305194805,59.20779220779221,0.10655374201196065,1.0,0.0,8445.0,0.6470312414231238,0.9749144847903933,0.030336850649350648,,0.7557986008559728,0.15143995717425338,6.0926126822248685,6.092612637327863,10.0,2.2448235935979075,8.8756460276517,,,,,0.0639897444491069,0.06398974335223268
5,3.1172307776166246,0.09035268610013746,9.43696527202408,10.0,0.03170657467532467,0.24543425324675325,0.14174107142857142,0.012716255924018484,107.3760653409091,50.65584415584416,0.09035268610013746,1.0,0.0,8444.0,0.6375254686292889,0.9748121277465449,0.03170657467532467,,0.7563341782404134,0.13491995533268603,6.110131266829256,6.110131189420626,10.0,2.244587907156387,8.870849792059365,,,,,0.0629479220286677,0.06294792124551007
6,2.9790871915492145,0.07796741575425999,9.436191238366165,10.0,0.03160511363636364,0.243455762987013,0.14143668831168832,0.012756487437624631,107.70302353896103,50.771103896103895,0.07796741575425999,1.0,0.0,8443.0,0.6296665738639119,0.9747764382075954,0.03160511363636364,,0.7511627358088101,0.12021788883836516,6.126579598172919,6.1265795316014975,10.0,2.2445057320904422,8.868034121278045,,,,,0.061862650285051626,0.0618626495623695
7,2.911621704213805,0.06940528206896134,9.436215857406715,10.000050730519481,0.030793425324675324,0.2375202922077922,0.13418222402597402,0.012677275618313746,107.02156047077922,51.353896103896105,0.06940528206896134,1.0,0.0,8442.0,0.6226755311930334,0.974775510852213,0.030793425324675324,,0.7685056532092103,0.1102124724171036,6.141976344120967,6.141976255101043,10.000050730519481,2.244508302056944,8.866945734271756,,,,,0.06108225581490181,0.06108225518595669
8,2.818891701276426,0.062055874815476794,9.436649545446619,10.00010146103896,0.029525162337662336,0.2343242694805195,0.13027597402597402,0.012609602228338474,106.43765219155844,50.72564935064935,0.062055874815476794,1.0,0.0,8441.0,0.6182678340414127,0.9747935613835013,0.029525162337662336,,0.773117097094655,0.10151735475464542,6.156730335254173,6.15673025861963,10.00010146103896,2.2445545831283966,8.867298055004763,,,,,0.06018015789170447,0.06018015728846144
9,2.723066996105693,0.055693272749179755,9.436265465501068,10.000152191558442,0.030235389610389612,0.23199066558441558,0.12880478896103897,0.012583909728105086,106.20819805194805,51.077922077922075,0.055693272749179755,1.0,0.0,8440.0,0.6147175783460791,0.9747737282282346,0.030235389610389612,,0.7628205430681829,0.09439167115165005,6.170906353306461,6.170906261190192,10.000152191558442,2.244512480187726,8.865776603872126,,,,,0.059332969153977254,0.05933296833755811
