step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,student_entropy_mean,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass,topm_probability_mass_mean
0,13.023366231616441,0.4869439885770152,9.453223928228601,,0.008522727272727272,0.07107345779220779,0.036931818181818184,0.09736699201482236,822.653713474026,578.1964285714286,0.4869439885770152,,1.0,8449.0,0.9707595528913783,0.9755599006236374,0.008522727272727272,821.653713474026,0.6779202132957516,0.185767351330435,6.218003650764366,,10.0,2.2463097189153944,8.919873531762656,0.07107345779220779,0.008522727272727272,0.022060159718929245,0.036931818181818184,0.028773033872276792,
1,6.868809234979865,0.230643186751487,9.44886378189186,10.0,0.03870738636363636,0.2714590097402597,0.15929383116883117,0.014361937352503022,121.32964691558442,67.49350649350649,0.230643186751487,1.0,0.0,8448.0,0.7188711147997286,0.9753592500051895,0.03870738636363636,,0.7475722987785355,0.3718855430798146,6.244104478266332,6.244104403954048,10.0,2.245847696607763,8.903611164588433,,,,,0.062406108579042746,0.062406108234993894
2,4.437722619671326,0.15551031830375894,9.445006669341744,10.00010146103896,0.03962053571428571,0.2792715097402597,0.16487418831168832,0.010935396754410414,92.37129667207792,46.81655844155844,0.15551031830375894,1.0,0.0,8447.0,0.6817389689869695,0.9751778822634127,0.03962053571428571,,0.7403420414654659,0.287096033007041,6.259478647213478,6.259478601542386,10.00010146103896,2.245439122636597,8.891983564797934,,,,,0.06159620648461648,0.061596205764958126
3,3.799897734607969,0.1197965610454875,9.441448645158248,10.001065340909092,0.037286931818181816,0.27830762987012986,0.1599025974025974,0.010131622350724814,85.57168222402598,42.58279220779221,0.1197965610454875,1.0,0.0,8446.0,0.6615885502912782,0.9749717498561005,0.037286931818181816,,0.761464018689154,0.23786492023265735,6.273557542206405,6.273557450090136,10.001065340909092,2.24503353509036,8.881781692628737,,,,,0.06019178346138109,0.06019178280219823
4,54.07695882302987,0.09636943191652755,9.441026518871258,10.001775568181818,0.036576704545454544,0.2781047077922078,0.16183035714285715,0.009858691063941065,83.25664569805195,41.313311688311686,0.09636943191652755,1.0,0.0,8445.0,0.6497358703477816,0.9749230969842378,0.036576704545454544,,0.7580787252525908,0.20833075757802255,6.2862708220234165,6.286270767063289,10.001775568181818,2.244964960720632,8.877445166761225,,,,,0.059006032751655425,0.05900603194657544
5,3.1366928042481086,0.08042785151885798,9.441211359841484,10.002282873376624,0.03825081168831169,0.27734375,0.16086647727272727,0.009635999060761109,81.36637581168831,41.5,0.08042785151885798,1.0,0.0,8444.0,0.639894603908836,0.9749092723835598,0.03825081168831169,,0.7571869391234374,0.18434431677719335,6.298067188882208,6.29806708825099,10.002282873376624,2.2449719917464566,8.875883927592984,,,,,0.057918226188381335,0.05791822535230766
6,2.9858449122251627,0.06928129139955022,9.440321188468438,10.002435064935066,0.033482142857142856,0.27384334415584416,0.15670657467532467,0.00945383631697986,79.8187398538961,41.35551948051948,0.06928129139955022,1.0,0.0,8443.0,0.6327835643639812,0.9748604069282483,0.033482142857142856,,0.7552095519245735,0.16429460251281652,6.3090510020008335,6.30905092536629,10.002435064935066,2.2448497259771667,8.872836150132217,,,,,0.05692774761625408,0.05692774682931675
7,2.8872391534001602,0.06152300198498944,9.4397994248898,10.00294237012987,0.03622159090909091,0.2726258116883117,0.15817775974025974,0.00921734234595663,77.81280438311688,40.50162337662338,0.06152300198498944,1.0,0.0,8442.0,0.6272741081072138,0.9748135399702308,0.03622159090909091,,0.7632445967816687,0.14936342277679368,6.31947184615321,6.319471791193083,10.00294237012987,2.2447668317850535,8.86980284808518,,,,,0.05602117016905459,0.056021169575638824
8,2.829443007852737,0.05441566340265457,9.440892984340717,10.003449675324676,0.037236201298701296,0.26273336038961037,0.15274959415584416,0.009086220102998796,76.69678368506493,40.41233766233766,0.05441566340265457,1.0,0.0,8441.0,0.6225799624989559,0.9748412292305525,0.037236201298701296,,0.7652381937829899,0.13632879829348676,6.32935346024377,6.329353375094278,10.003449675324676,2.244850785701306,8.870764031038656,,,,,0.055285668343777294,0.05528566750770362
9,2.7503476559619915,0.04951221980199871,9.443165837944328,10.006493506493506,0.032924107142857144,0.2578125,0.14488636363636365,0.009172877357517106,77.41908482142857,40.69155844155844,0.04951221980199871,1.0,0.0,8440.0,0.6181893709127779,0.9748095632954077,0.032924107142857144,,0.7717246625499873,0.1266091013921065,6.338818824910498,6.33881873047197,10.006493506493506,2.244872962886637,8.871792070277326,,,,,0.05449341920086533,0.0544934184781832
