step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_weighted_topk_ce_loss,loss_weighted_topk_effective_positives,loss_weighted_topk_oracle_mass,loss_weighted_topk_top1_weight,loss_weighted_topk_weight_entropy,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.008928571428571428,0.0755377435064935,0.040736607142857144,0.09778449013887817,826.1811586850649,585.3116883116883,0.4827790076832299,7.582292120178025,9.186606757826619,0.02860738102380865,0.1781599188175101,2.2003547353790953,8449.0,0.971436691942153,0.008928571428571428,0.6737552322628726,0.1898068980404319,7.582292120178025
1,0.040787337662337664,0.2739448051948052,0.16817167207792208,0.01517221447331347,128.17486810064935,70.06818181818181,0.23262204950699558,5.612320146003327,9.106048546828232,0.061650071398191786,0.1870731922689003,2.182593333837274,8448.0,0.7120268753209671,0.040787337662337664,0.7802059485262575,0.374456808623431,5.612320146003327
2,0.0427150974025974,0.2856635551948052,0.17243303571428573,0.011025176750423837,93.12966720779221,46.83766233766234,0.16204818124677262,5.586876091244933,9.429538218231944,0.06065116800041265,0.16358942498586007,2.2313825542276557,8447.0,0.6748056701541721,0.0427150974025974,0.785620545424134,0.2967240520552049,5.586876091244933
3,0.04205560064935065,0.2819094967532468,0.1666497564935065,0.009954882419281472,84.07893668831169,42.032467532467535,0.12030292891854928,5.598063294763689,9.614849954456478,0.059062195961460374,0.14944267836580802,2.2570694100547146,8446.0,0.6581498318678373,0.04205560064935065,0.7782172931406599,0.2535014003615917,5.598063294763689
4,0.040330762987012984,0.2778003246753247,0.16086647727272727,0.00924647066712133,78.0864448051948,39.79220779220779,0.09701112535473734,5.616704938860683,9.732520404574158,0.05783521140435735,0.13940380704770614,2.272306719383636,8445.0,0.6451035447225169,0.040330762987012984,0.777361910239878,0.22007046460353016,5.616704938860683
5,0.036779626623376624,0.2722199675324675,0.1593952922077922,0.009068801311419615,76.57695819805195,38.282467532467535,0.08102686302403786,5.635850769745839,9.803809505004388,0.05689006803901987,0.13281931106436562,2.2809490321518537,8444.0,0.6367485341797401,0.036779626623376624,0.7820509660795525,0.1942506454496225,5.635850769745839
6,0.03586647727272727,0.2682122564935065,0.15660511363636365,0.008853566237369458,74.75065949675324,39.03409090909091,0.06994635287019146,5.646978849714452,9.850786257099795,0.05591154298079865,0.12799696307387445,2.286391925502133,8443.0,0.630381294804347,0.03586647727272727,0.7766134688485559,0.17484150327293635,5.646978849714452
7,0.03165584415584415,0.26156655844155846,0.15173498376623376,0.0087769447444381,74.09496753246754,38.839285714285715,0.06125813985376486,5.663655140570232,9.882938532086161,0.05508363915474287,0.12437013669737748,2.2900299929179155,8442.0,0.6244240426397943,0.03165584415584415,0.7808401267733667,0.15858493019084402,5.663655140570232
8,0.03586647727272727,0.2663352272727273,0.1544237012987013,0.008608478145519754,72.66416396103897,37.508116883116884,0.05440751632506197,5.672475012865934,9.905631635096166,0.05437029257277631,0.1216321334895956,2.292532766407186,8441.0,0.6207638569660001,0.03586647727272727,0.7824654937600838,0.14448946312993305,5.672475012865934
9,0.03424310064935065,0.25943587662337664,0.14808238636363635,0.008547160851244903,72.13803774350649,38.2224025974026,0.04888856954806085,5.684787615553125,9.922763000835072,0.05366016872674711,0.11932620294875913,2.2943895002464196,8440.0,0.6162339013989095,0.03424310064935065,0.7725687803845708,0.13220887202149223,5.684787615553125
