step,choice_ce,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,5.89508635870048,0.03627232142857143,0.19670758928571427,0.12137276785714286,0.048877021304048994,230.47265625,110.85714285714286,0.43003083526023794,4644.138671875,0.9640795529953071,0.03627232142857143,0.8914905307548386,0.49679565485712374
2,6.282081821135113,0.027622767857142856,0.14871651785714285,0.09068080357142858,0.07359881179789747,345.55943080357144,174.13392857142858,0.13436190742400608,4643.138671875,0.8604056643588203,0.027622767857142856,1.0067504615123783,0.22634662028682279
3,6.32567155786923,0.019252232142857144,0.12555803571428573,0.07561383928571429,0.07080170935036481,332.41015625,161.34821428571428,0.09677300108264067,4642.138671875,0.8598051124385425,0.019252232142857144,1.0664588384596365,0.04334158615655984
4,6.417583853006363,0.020926339285714284,0.125,0.07868303571428571,0.07665289563841984,360.0103236607143,165.24107142857142,0.08188436585312177,4641.138671875,0.863657104649714,0.020926339285714284,1.1015326045453548,-0.0680389582312273
5,6.495720446109772,0.022321428571428572,0.11188616071428571,0.06780133928571429,0.07958369090504545,371.73604910714283,177.76785714285714,0.0748130816500634,4640.138671875,0.8667362880493913,0.022321428571428572,1.1296570444745677,-0.13413446777709379
6,6.547102187361036,0.022600446428571428,0.107421875,0.06780133928571429,0.08055412516114302,375.4291294642857,184.02678571428572,0.06430655349894161,4639.138671875,0.8702803328633308,0.022600446428571428,1.1638982881392752,-0.17800774994981744
7,6.63412110720362,0.017299107142857144,0.09430803571428571,0.05970982142857143,0.08477786890996088,395.52371651785717,191.52678571428572,0.06157692070285391,4638.138671875,0.8725007990641254,0.017299107142857144,1.1939300349248307,-0.20443635056816284
8,6.706780829599926,0.017020089285714284,0.09458705357142858,0.05580357142857143,0.09069805397718612,421.9760044642857,206.03571428571428,0.05410891312723314,4637.138671875,0.8753794830824647,0.017020089285714284,1.2098524110125644,-0.22363013871677545
9,6.7897577711514066,0.01953125,0.0859375,0.053013392857142856,0.09472500657596226,440.58314732142856,227.88392857142858,0.05173868620269267,4636.138671875,0.8777792070593152,0.01953125,1.2376748232969217,-0.24015305740119533
10,6.872217318841389,0.019252232142857144,0.0859375,0.05329241071428571,0.10202938785576927,474.5053013392857,238.23214285714286,0.049331000311732556,4635.138671875,0.8795054703950882,0.019252232142857144,1.2443213715617145,-0.24572230547812524
