step,choice_ce,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,8.719232776335307,0.0030691964285714285,0.017392113095238096,0.01050967261904762,0.1110272606477208,3620.5313430059523,2602.2053571428573,0.6761478547908891,32615.521484375,0.958940095844723,0.0016741071428571428,0.9700804008673349,0.514406730508697
2,8.90045642994699,0.006882440476190476,0.021391369047619048,0.01488095238095238,0.12514367752425773,4082.2335379464284,2623.5535714285716,0.18571506679905897,32614.521484375,0.8902714053789774,0.006882440476190476,3.4644690661807545,-0.010836596819416315
3,8.791400248096103,0.006975446428571429,0.025576636904761904,0.018229166666666668,0.11346042649875883,3701.4835379464284,2074.776785714286,0.193290394095389,32613.521484375,0.9006708431101981,0.006975446428571429,11.277963811650157,-0.16234825473552628
4,8.73593622587976,0.013020833333333334,0.03562127976190476,0.027157738095238096,0.11054241535020992,3605.8415178571427,1963.485119047619,0.11412757845937449,32612.521484375,0.9094196428500471,0.013020833333333334,11.064822054501358,-0.22324872094001302
5,8.69351550085204,0.011625744047619048,0.04008556547619048,0.029389880952380952,0.10846164761598975,3537.5374813988096,1872.6875,0.08292313201662269,32611.521484375,0.9167657214261237,0.011625744047619048,11.288003811508784,-0.2556934086565737
6,8.687972941568919,0.013578869047619048,0.04399181547619048,0.031436011904761904,0.10908458181767769,3558.3878348214284,1902.0625,0.07209937557458293,32610.521484375,0.922870103624605,0.013578869047619048,13.702524336244789,-0.2715498703814016
7,8.664148036922727,0.014229910714285714,0.047619047619047616,0.03459821428571429,0.10802859290214699,3523.5130208333335,1819.470238095238,0.06401097360284916,32609.521484375,0.9275063680750983,0.014229910714285714,16.203302815833013,-0.27748515456583045
8,8.655019591252008,0.014694940476190476,0.05217633928571429,0.03617931547619048,0.1084208032920114,3536.1437872023807,1757.422619047619,0.052119756070136906,32608.521484375,0.9312366493755863,0.014694940476190476,18.25721258095291,-0.2816798777147802
9,8.652112185955048,0.01404389880952381,0.05180431547619048,0.037295386904761904,0.10864827302534,3543.2340959821427,1772.1041666666667,0.04853932950083531,32607.521484375,0.9356163761445454,0.01404389880952381,19.65509607591611,-0.2808961718941134
10,8.657691793782371,0.01404389880952381,0.05115327380952381,0.037760416666666664,0.10914976920078819,3559.804222470238,1804.5505952380952,0.04302919913336501,32606.521484375,0.9390609436446712,0.01404389880952381,20.669374979417107,-0.2792753099453505
