epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,38.798439025878906,1.0,2.78071521364609e-08,0.1896139854197173,False,0.07277435064315796,0.28644412755966187,0.10041099041700363
2,0.0,39.9830322265625,1.0,2.665600717932648e-08,0.27049899138732303,False,0.07824039459228516,0.17438384890556335,0.1097833439707756
3,0.0,39.97929000854492,1.0,2.742880589323704e-08,0.33111477636517267,False,0.07997585833072662,0.13860340416431427,0.10845425724983215
4,0.0,40.56550598144531,1.0,3.1672058753429155e-08,0.38167714319000806,False,0.07896507531404495,0.16816674172878265,0.0941614881157875
5,0.0,39.843143463134766,1.0,2.4759184924505462e-08,0.4244064558402422,False,0.07880488783121109,0.16524344682693481,0.10155463963747025
6,0.0,38.75096130371094,1.0,2.2550514344743533e-08,0.4614830622361068,False,0.0791483074426651,0.1545713096857071,0.10845813155174255
7,0.0,38.84150695800781,1.0,2.558933154261922e-08,0.4956614010347034,False,0.07893484830856323,0.16266180574893951,0.09705229103565216
8,0.0,38.783504486083984,1.0,3.089266087386022e-08,0.5261616424520894,False,0.07903023064136505,0.1624545305967331,0.09817347675561905
9,0.0,39.139488220214844,1.0,2.639337992604851e-08,0.5547710175595277,False,0.07903513312339783,0.16226385533809662,0.09957096725702286
10,0.0,38.62928771972656,1.0,2.5994465246981235e-08,0.5822947206468311,False,0.07937340438365936,0.15243911743164062,0.1027071624994278
