step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.175178191241096,0.8255944750545656,0.019432773109243698,0.11902573529411764,0.07477678571428571,0.08874557955687505,639.0569196428571,494.68697478991595,0.3831546824394154,,7201.0,0.9715027906814543,0.019432773109243698,0.8255944750545656,0.2801697449350408
2,7.2554258659106345,0.7226415693039904,0.022518382352941176,0.12178308823529412,0.07536764705882353,0.09359457214292483,673.8809163069525,535.390756302521,0.3803741605326283,0.10295290575057518,7200.0,0.9712737845022137,0.022518382352941176,0.8232597406922268,0.2971373748159637
3,7.269810965081223,0.6810651497148416,0.01752888655462185,0.11462710084033613,0.0705751050420168,0.0938890275404546,675.9071073772527,537.0042016806723,0.39162007274747895,0.04157641958914885,7199.0,0.9709191204620009,0.01752888655462185,0.835002595574415,0.29656766811735485
4,7.277736995400501,0.656223773048455,0.01825105042016807,0.11285451680672269,0.06781775210084033,0.09422160534162716,678.2071140834263,536.3949579831933,0.3958597103478152,0.024841376666386587,7198.0,0.9705509867738275,0.01825105042016807,0.8396365123511362,0.2958319427103788
5,7.285819592596102,0.6397281167950449,0.014968487394957984,0.10990021008403361,0.06440388655462184,0.09446129702645972,679.8379572379489,537.7941176470588,0.40468438713960037,0.01649565625340999,7197.0,0.9701621597554503,0.014968487394957984,0.8488426559424701,0.29552469263133757
6,7.295275456765118,0.6284052559307644,0.014508928571428572,0.10668329831932773,0.062237394957983194,0.09476858119924451,681.9547082596466,539.5378151260504,0.41745685281998973,0.011322860864280653,7196.0,0.9697764022510593,0.014508928571428572,0.8619723799912369,0.2951534166781695
7,7.300843263874535,0.6195926415976607,0.014902836134453782,0.10346638655462184,0.061186974789915964,0.09497654307907556,683.3562276503619,539.9516806722689,0.42696824636967745,0.008812614333103685,7195.0,0.9694435110613078,0.014902836134453782,0.871825040451118,0.2947540081090722
8,7.312718334318209,0.6121681770231543,0.012998949579831933,0.09998686974789917,0.05948004201680672,0.09532582884783536,685.7740088711266,541.3340336134454,0.42801225509400626,0.007424464574506303,7194.0,0.9691306090905887,0.012998949579831933,0.8731795338084217,0.29443454098811617
9,7.3197812102421995,0.6057833535988041,0.01326155462184874,0.09683560924369748,0.05705094537815126,0.09552025110382556,687.0771634398388,541.9642857142857,0.43821734276075824,0.006384823424350314,7193.0,0.9687457995004013,0.01326155462184874,0.8837274035611072,0.29414605101486335
10,7.325631158692496,0.5995475440090444,0.013589810924369748,0.0938813025210084,0.05514705882352941,0.09568264136656321,688.1495537637662,542.453781512605,0.4366735746739667,0.006235809589759642,7192.0,0.9685249153305503,0.013589810924369748,0.8824899000968752,0.2938454781477434
