step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.261483764448085,1.0157754391181368,0.007681197478991596,0.06923890880019475,0.04102431413788004,0.09449864656883566,680.4847572711335,504.7920168067227,0.5733356448907813,,7201.0,0.9595436080664146,0.007681197478991596,1.0157754391181368,0.18213855886895633
2,6.011464831207981,0.8197439965017203,0.013624567475889911,0.09939987033981235,0.05438241476834822,0.028259490693414567,203.46833293978906,130.1281512605042,0.33412596271099415,0.19603144267902656,7200.0,0.6620537520957595,0.013624567475889911,1.1924982417468764,0.37638711202501274
3,5.745310190345059,0.7451130722125038,0.015250401634002934,0.12430100725228045,0.0663077731483749,0.021586069917920662,155.39811697927843,95.39915966386555,0.2356100137415929,0.0746309242266066,7199.0,0.6042701679618419,0.015250401634002934,1.139273582730724,0.32549527515408677
4,5.67353619747803,0.703489903125818,0.015346947603491173,0.13339177595780177,0.074390601844159,0.019475656407963515,140.1857738274486,86.88025210084034,0.17903844440089806,0.0416231690866857,7198.0,0.5796718754563011,0.015346947603491173,1.1124739122240483,0.2824325179466629
5,5.638379289322541,0.6761128896174311,0.0163317165110542,0.13727292401262192,0.07408551658120226,0.0186642842837355,134.3268544493603,82.95378151260505,0.14403279774485767,0.027377013508386974,7197.0,0.5654802721838991,0.0163317165110542,1.1059785902875812,0.2549805827526724
6,5.615055986813137,0.6564163916877338,0.017366689324629408,0.14040101347725933,0.07719815871482637,0.01813152602662434,130.47446162760758,81.14495798319328,0.11958659007096616,0.019696497929697278,7196.0,0.5569668942201538,0.017366689324629408,1.0945034885481626,0.23353098169961428
7,5.594635066865873,0.6423039217988232,0.016127039052295584,0.14048983570689164,0.07525179193143834,0.017305895511282043,124.51591847724274,77.53361344537815,0.1030411035049425,0.014112469888910526,7195.0,0.5503989245210376,0.016127039052295584,1.1150590561392928,0.21744737268757283
8,5.589515647968324,0.6305676540751167,0.01664452545908319,0.14329739256190652,0.07552212062722244,0.01736832442624933,124.94772609742749,75.6281512605042,0.08930212143072937,0.01173626772370659,7194.0,0.5476356403542166,0.01664452545908319,1.0931258805784858,0.20461213382051896
9,5.5828264901618,0.6218055911487391,0.016127039052295584,0.14300003096836955,0.07428247036271486,0.016974284992300897,122.09603232495925,75.27941176470588,0.08001424835900925,0.00876206292637757,7193.0,0.5442454475878167,0.016127039052295584,1.0979514767517562,0.19292520654828937
10,5.573324797534141,0.6141068963568752,0.01671017672741363,0.1468580080149304,0.07625200818566714,0.016583448076110036,119.26815840376526,74.17226890756302,0.07155137666806329,0.007698694791863947,7192.0,0.5425695453246101,0.01671017672741363,1.0979969326187582,0.18358342289781962
