step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.872656921378705,0.9649346511842323,0.0017069327731092437,0.020386647307822685,0.009708662877375838,0.10244200102390111,737.6848509652274,578.1491596638656,0.5224948552037988,,7201.0,0.9620656283462748,0.0017069327731092437,0.9649346511842323,0.24274397615855348
2,5.606465332648334,0.760299615687182,0.020421403859342848,0.16040920052959137,0.08847472816705704,0.016578417303658898,119.3646039321643,66.34663865546219,0.24899691651661357,0.20463503549705034,7200.0,0.6877309908511258,0.020421403859342848,1.047495382047501,0.5790601652090591
3,5.591633966990879,0.6908145615627536,0.016594321553071004,0.15364325880816504,0.07914838731727179,0.015478140147727672,111.42713097564312,62.37605042016807,0.18085316060690068,0.06948505412442844,7199.0,0.6350838185734108,0.016594321553071004,1.0263194206382047,0.48776627430653635
4,5.5696090439788435,0.6517410736624935,0.018440280524434662,0.15407192300879904,0.08418808703725579,0.01434219568114759,103.23512417528809,59.11764705882353,0.13845124211506682,0.039073487900260113,7198.0,0.6138110373701368,0.018440280524434662,1.019783414086374,0.43450767921700006
5,5.566459219996669,0.6278728676662475,0.017447787939625627,0.15490221834796317,0.08233440437299364,0.014113231911323965,101.57293086693066,57.92857142857143,0.11328479732159807,0.023868205996245898,7197.0,0.6001296900525814,0.017447787939625627,1.0181849345001353,0.39450840163773376
6,5.563214660692616,0.6100195090309912,0.017571366783388023,0.1541877781909679,0.08258928576124315,0.01390446866118983,100.0565565814491,57.15126050420168,0.09404593647825492,0.01785335863525627,7196.0,0.5931672184031551,0.017571366783388023,1.0162135215804857,0.36559394962796815
7,5.560162155568099,0.598200320289666,0.015659756551520163,0.1569374074783771,0.08280168690507402,0.013754770759162455,98.9655755868479,56.29621848739496,0.08236762125264196,0.01181918874132533,7195.0,0.5870603264755562,0.015659756551520163,1.0292104340213186,0.34332473038765393
8,5.561881861766847,0.5882269627250293,0.017621570689400203,0.15720773618198744,0.08271286458935306,0.013535143959652945,97.37182558284087,55.9327731092437,0.07164298618963662,0.00997335756463664,7194.0,0.5837054811105007,0.017621570689400203,1.0239260510361494,0.32467604320887256
9,5.566870366825777,0.5804447957917171,0.01719290657485483,0.15755916339885287,0.08330372593389089,0.01376283128658787,98.99604548125708,56.15966386554622,0.06405366112345032,0.007782166933312136,7193.0,0.581247247379868,0.01719290657485483,1.03275267084857,0.3095626352848411
10,5.563218901137344,0.5734911724111112,0.01868743821195945,0.1560337370684167,0.08452792886738517,0.013629613322413237,98.02417899380211,55.98109243697479,0.05719084729158765,0.006953623380605914,7192.0,0.5787729366111154,0.01868743821195945,1.0235255864926247,0.29562878447439644
