step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.570716327979785,1.0168790069698286,0.002232142857142857,0.024333446615320796,0.012334713297543907,0.10768964962384217,775.4731680605591,629.6344537815127,0.5744392116311468,,7201.0,0.9568910249391523,0.002232142857142857,1.0168790069698286,0.31397898615834124
2,7.056378823368489,0.8561044552621722,0.007519000248999155,0.05832535225678893,0.032404689853932675,0.0984373733092162,708.7490847591592,545.2289915966387,0.351060313290032,0.16077455170765645,7200.0,0.6195128147153794,0.007519000248999155,1.1123719257341713,0.4003434711491762
3,7.160967393081729,0.8036428585711146,0.005935646319652305,0.05083724670112133,0.026723924875572447,0.10324645777303382,743.2712478236991,573.5231092436975,0.2880239700037642,0.05246159669105746,7199.0,0.554336091832203,0.005935646319652305,1.1701199953295605,0.32469355163013275
4,7.214194338862636,0.7777470461711162,0.003923628275760082,0.04690589474811524,0.023472256551520163,0.10604175065542344,763.2885176474307,581.6470588235294,0.25095578890387754,0.02589581239999843,7198.0,0.5225421826378638,0.003923628275760082,1.2246749650906115,0.2837168474918919
5,7.257378895743554,0.7612109071254229,0.005711659663865546,0.04571644837396736,0.023676934010278778,0.10838737333107333,780.063929181139,601.1050420168067,0.2244969752124127,0.016536139045693295,7197.0,0.5022614303694553,0.005711659663865546,1.2457927566553866,0.255991277976482
6,7.28613711505377,0.7513950302758637,0.0050396997043315106,0.04453472568489173,0.02223260627918634,0.11087872021725918,797.8832720267673,610.5840336134454,0.20684902063970054,0.009815876849559174,7196.0,0.48855863909135344,0.0050396997043315106,1.2855395080850405,0.23523023900931353
7,7.309845899333473,0.743407332314914,0.004201680672268907,0.041777372735889017,0.01993481216153928,0.11219006480586503,807.207515860806,620.1890756302521,0.1915174215374624,0.007987697960949745,7195.0,0.47859205092702595,0.004201680672268907,1.292216511177165,0.2184382039671534
8,7.3320253195882845,0.7376807289151084,0.003406141868972478,0.04139891254300831,0.01983826619987728,0.11391946318277604,819.5366178320236,626.9642857142857,0.1802190940811479,0.005726603399805662,7194.0,0.4701666149835126,0.003406141868972478,1.31545346220877,0.20455424723136542
9,7.347911057352018,0.7331184075534845,0.0036687469109892845,0.041078379894254585,0.019255128540411715,0.11548184825913559,830.6609381988269,629.2352941176471,0.170379029156468,0.0045623213616238925,7193.0,0.4637579360053319,0.0036687469109892845,1.3342455438956493,0.1935326297872098
10,7.353272090439035,0.7289182614503789,0.0032748393479640745,0.04226010261463518,0.020749660193168817,0.11628246275285463,836.3034671094238,635.7584033613446,0.16141650398426197,0.004200146103105625,7192.0,0.45869121706786276,0.0032748393479640745,1.3425844644172853,0.18444824263862658
