step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.073843315050199,0.6778555889190598,0.009232954545454546,0.07690746753246754,0.041243912337662336,0.08919592602407127,753.6163758116883,545.1818181818181,0.48687936394935016,,8449.0,0.9714336056600917,0.009232954545454546,0.6778555889190598,0.35547166801768376
2,7.0547620112245735,0.5364671406402651,0.00887784090909091,0.07416801948051949,0.040888798701298704,0.08977551483560517,758.4235491071429,548.625,0.5010879742187242,0.14138844830903236,8448.0,0.9706250814261375,0.00887784090909091,0.6924589618846968,0.36752296768246234
3,7.059646837510072,0.48863880366824763,0.00979099025974026,0.07360998376623376,0.03987418831168831,0.0899232598304869,759.5817775974026,547.8571428571429,0.5083751976822636,0.04782833697201757,8447.0,0.9702537756461602,0.00979099025974026,0.7000506997422932,0.36829911614563865
4,7.068831477846418,0.46283332525008636,0.007660308441558442,0.07010957792207792,0.037591314935064936,0.09007583379117294,760.7804890422078,548.5438311688312,0.5148635339929251,0.025805478418161245,8446.0,0.9699987727519753,0.007660308441558442,0.7069642542825116,0.3685098312580758
5,7.072005047426595,0.44724869271498413,0.00887784090909091,0.07026176948051949,0.03977272727272727,0.0901345991438315,761.1866883116883,548.6363636363636,0.5200251328529089,0.015584632535102208,8445.0,0.9697779208034664,0.00887784090909091,0.7124106070849222,0.3685833890093369
6,7.078492127455674,0.43677041554738855,0.007913961038961038,0.06747159090909091,0.03799715909090909,0.09024197031286857,762.0031960227273,549.8165584415584,0.5218920624911688,0.010478277167595633,8444.0,0.9696392914304486,0.007913961038961038,0.7146424489857798,0.36856543787036405
7,7.081174843497091,0.4292718264086825,0.007406655844155844,0.06701501623376624,0.036931818181818184,0.09026263882196281,762.0874594155844,549.8977272727273,0.5276672286283853,0.007498589138706009,8443.0,0.9694325430439664,0.007406655844155844,0.7207138991442981,0.3685383257071207
8,7.083152424205434,0.42389156996853067,0.009080762987012988,0.06549310064935066,0.03617086038961039,0.09032040182305005,762.4848315746754,550.7840909090909,0.5361607066089553,0.005380256440151821,8442.0,0.9693040247861441,0.009080762987012988,0.7294672375738427,0.36849028087663654
9,7.085809677839279,0.41988912981620374,0.0078125,0.06549310064935066,0.033177759740259744,0.09033697966600363,762.5344460227273,550.0357142857143,0.5396065038262999,0.004002440152326961,8441.0,0.9691879071004978,0.0078125,0.7332061721456491,0.36842851983587405
10,7.089245775690326,0.41661044378544193,0.007102272727272727,0.06625405844155845,0.032873376623376624,0.09038862836578945,762.8800223214286,550.2175324675325,0.5387528727206027,0.0032786860307618105,8440.0,0.9690915285186334,0.007102272727272727,0.7326626229257166,0.368344824608803
