step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.057168642421821,0.7060067356116586,0.007355925324675325,0.06752232142857142,0.037337662337662336,0.08643971356584436,730.3291396103896,539.2386363636364,0.5150305071494893,,8449.0,0.9708915387655234,0.007355925324675325,0.7060067356116586,0.41844606008512286
2,6.511296900835904,0.613142536880521,0.015980113636363636,0.12971793831168832,0.07350852272727272,0.0671727391080432,567.475294237013,432.81168831168833,0.30866965675399965,0.09286419873113756,8448.0,0.686859161484164,0.015980113636363636,0.9837049241238213,0.4194359362795613
3,6.695246885349224,0.579653950193413,0.011617288961038962,0.10901988636363637,0.060775162337662336,0.09346554371340854,789.5034496753246,664.5324675324675,0.2549424242748359,0.03348858668710795,8447.0,0.6474195405744113,0.011617288961038962,1.1116549958438648,0.31045550652947007
4,6.8305451544848355,0.5584486842929542,0.014001623376623376,0.09993912337662338,0.05499188311688312,0.1116135638531686,942.6881594967532,838.3538961038961,0.22228025585751643,0.021205265900458802,8446.0,0.626928646504492,0.014001623376623376,1.1634414425942223,0.25164714479809697
5,6.939711861022107,0.546414875685443,0.009943181818181818,0.09400365259740259,0.05037540584415585,0.12363495541245215,1044.0971996753246,949.3636363636364,0.20326556170105256,0.012033808607511319,8445.0,0.6131934042197543,0.009943181818181818,1.2363942676139148,0.21382713311838428
6,7.019980301330616,0.536731369351944,0.009638798701298702,0.08796672077922078,0.04362824675324675,0.13205474438036144,1115.0702617694806,1021.6866883116883,0.18741268910733716,0.009683506333498985,8444.0,0.6026182994730287,0.009638798701298702,1.290286672507207,0.18593603285425667
7,7.078480665559892,0.5300955996401124,0.008218344155844156,0.08324878246753246,0.04337459415584415,0.1383249359527586,1167.877435064935,1075.7564935064936,0.17642482325083927,0.00663576971183156,8443.0,0.5946156104857271,0.008218344155844156,1.3626558152692658,0.16552174241596496
8,7.121235375280504,0.5244413448388797,0.00882711038961039,0.08218344155844155,0.04301948051948052,0.14256902157932644,1203.567674512987,1107.0032467532467,0.16692631918477355,0.005654254801232706,8442.0,0.5885161394616226,0.00882711038961039,1.3845454530137313,0.1486346779788283
9,7.163035550674834,0.5202564478900236,0.009030032467532468,0.08147321428571429,0.04210633116883117,0.14733002341702783,1243.6127232142858,1142.4561688311687,0.15982448570611704,0.004184896948856193,8441.0,0.5830428108282677,0.009030032467532468,1.3922707490235955,0.13402052145019971
10,7.195849636932472,0.5167099166504264,0.009080762987012988,0.07832792207792208,0.04393262987012987,0.15097973007070392,1274.2689224837663,1171.387987012987,0.15356857849998617,0.0035465312395970543,8440.0,0.57840846841792,0.009080762987012988,1.3791789177853566,0.1212968871783445
