epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_choice_ce,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_selected_individual_future_mse,val_spearman,val_val_choice_ce
1,0.8219453813572294,0.0,19.516338348388672,1.0,3.221722622015477e-08,0.32793341146696264,False,0.02445865422487259,0.9181763529777527,0.1354895681142807,0.23468740115446718,0.21100773967582684,9.779908734814645,0.0011598580146967245,0.00872012565566108,0.004872095597953603,0.247354097617185,8982.386548661412,6878.1863660895915,0.6582676145938545,36313.999128160416,0.9652998687276984,0.0011598580146967245,0.8604400387947081,0.40995666826463883,0.5362785078273982,0.04412054609910293,6859.371252204585,0.6781413869039741,0.5298255740519566,0.9684215984507072,0.019930172149422658,0.7890077373810869,0.4432608383480464,9.673781778292401
2,0.8279443800116311,0.0,21.02924156188965,1.0,3.296532113949979e-08,0.4675747279741209,False,0.02457844465970993,0.9180155992507935,0.13732552528381348,0.2427724975342171,,9.657560069974652,0.0013605195057839025,0.009988098697879224,0.005538516627380964,0.23926282627892762,8688.55386186439,6625.089550379873,0.6975135842695798,36313.999128160416,0.9652548499435388,0.0013605195057839025,0.8994573168794148,0.396281475639916,0.5357187366181666,0.06974154430047895,6588.753086419752,0.6523676848687244,0.5249731787859542,0.9679349163002927,0.03038174475377304,0.7632320093128286,0.43469487265435997,9.601736347497315
3,0.8069830579826429,0.0,22.70803451538086,1.0,2.97438287333307e-08,0.5725478887080157,False,0.027458082884550095,0.8976315259933472,0.12380938977003098,0.2422217418712868,,9.616059260048239,0.0013579247451246258,0.010561973263895486,0.0059048103403457645,0.23512903903809163,8538.44300836267,6460.865321542741,0.6859323266371667,36313.999128160416,0.9653257809506064,0.0013579247451246258,0.8878735049634188,0.3961287903189604,0.5343104736894108,0.04818053798315317,6489.324720752498,0.6617406540517508,0.5306267290243852,0.9674631759962358,0.02798170194003527,0.7726093405595049,0.42891710046772974,9.581498356821395
4,0.7963235765056262,0.0,22.740129470825195,1.0,2.665600717932648e-08,0.6634526797039356,False,0.02607337012887001,0.9074743986129761,0.1251567006111145,0.24039873443064946,,9.591607191090803,0.0013518703034832067,0.010436992292088767,0.005852482667153456,0.23257139149398123,8445.567868727045,6343.213102503425,0.6867432071880014,36313.99991826504,0.9653577243212266,0.0013518703034832067,0.8887097727555568,0.39208998688138536,0.5325193587981021,0.03090669171625134,6419.069077013522,0.7012905547587016,0.5368279556752863,0.9671387377248168,0.007192460317460317,0.81215306625841,0.4319698294882916,9.566979928524056
5,0.7802765187254338,0.0,23.817644119262695,1.0,2.9032717563381993e-08,0.7440326970528884,False,0.030050210654735565,0.8781895637512207,0.12294191122055054,0.23768859717032187,0.21639453169970077,9.573238615586432,0.0014275508227636663,0.010659709248779799,0.006055306458738478,0.2308134730740118,8381.730081446496,6287.614522356458,0.6906000802835149,36313.99930184721,0.9654085693177445,0.0014275508227636663,0.8925454437955513,0.3908001775916843,0.5339943717872124,0.0221300050492526,6469.522134038801,0.6704127145682683,0.5268241506782049,0.9664142043984055,0.007229922296395026,0.7812811073090421,0.425477935177498,9.561809961337472
6,0.7734196910660794,0.0,24.15166664123535,1.0,2.639337992604851e-08,0.8174754278381153,False,0.02973102033138275,0.8806154131889343,0.12632881104946136,0.23652651729053528,,9.558301805930233,0.0014898250785863093,0.010815827348343179,0.006200180595496546,0.22881122698353412,8309.022018915968,6191.93187196413,0.6887175045596264,36313.999128160416,0.965448330849497,0.0014898250785863093,0.8906617590083646,0.38931610442542264,0.5336440869068293,0.020665712944444914,6447.819870664314,0.6652246779122727,0.5273267211225893,0.9662930179525304,0.006742676942095134,0.7761227709527155,0.4122749467135004,9.572163940793553
7,0.76665803645801,0.0,24.745317459106445,1.0,3.0666338801665916e-08,0.8861992329878351,False,0.03314502537250519,0.8521901369094849,0.11460566520690918,0.2362462558057947,,9.545952459366923,0.001552099334408952,0.011071411273127283,0.006267211912476309,0.22767903498432038,8267.908134546287,6138.605347282767,0.6847885684424425,36314.00083778335,0.9654198927996529,0.001552099334408952,0.8867308771034286,0.38988077217804545,0.5312432380359574,0.022574636404091023,6322.158994708994,0.6672515010710959,0.5245434672982324,0.9676253243036861,0.007175526544583116,0.7781935646441408,0.4310473141943028,9.55057857529967
8,0.7583749077150221,0.0,25.698389053344727,1.0,2.5177680385013446e-08,0.951036410394069,False,0.03173217922449112,0.8646898865699768,0.11650639772415161,0.23255030435198618,,9.53431775077281,0.0015646406775439033,0.011326562738059274,0.006460954041753863,0.2266612346789249,8230.946905721054,6108.988500020758,0.6705319606327105,36313.999128160416,0.9654676967739747,0.0015646406775439033,0.8724787751616504,0.3899995067947922,0.5323200252893874,0.021832066496121297,6266.289594356261,0.6863640069487799,0.5294455003034882,0.9672478064439144,0.006958582547374468,0.7972292267686545,0.4278079268263409,9.542745716105063
9,0.7517968197194258,0.0,25.472108840942383,1.0,2.7301524596623494e-08,1.011192842850702,False,0.033813707530498505,0.8464365601539612,0.11802255362272263,0.23231603407376192,,9.526117072899444,0.0015179349856769212,0.011443759427888162,0.0065076597336208445,0.22584148514585112,8201.177818699654,6089.574915929755,0.7082216789637189,36313.999128160416,0.9654659478588281,0.0015179349856769212,0.9101667887760364,0.3904057306115536,0.5308297542413815,0.04281960100270611,6315.483509700176,0.6694861117041254,0.5264363168604387,0.9665676653586648,0.007126482503969379,0.7803555271119053,0.4233552169143743,9.540045280375248
10,0.7459486413478681,0.0,25.81907081604004,1.0,3.122907088481952e-08,1.0695194220081996,False,0.03184453397989273,0.863283097743988,0.11328580230474472,0.22861947341031702,0.2095403165249611,9.516864977822474,0.0015763171005106489,0.01144808402888385,0.006512416794777966,0.2252956039569234,8181.356097366245,6058.805953418857,0.685635803684134,36313.9995913252,0.9654572727834916,0.0015763171005106489,0.8875772922268594,0.38847958752507844,0.5302539063223852,0.022230609234034807,6312.243621399177,0.6471894846876701,0.5199695469473298,0.9673475123026453,0.00709209576225032,0.7580494003772716,0.426098105901065,9.536043091790246
