epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,19.516338348388672,1.0,3.221722622015477e-08,0.32793341146696264,False,0.02445865422487259,0.9181763529777527,0.1354895681142807
2,0.0,21.02924156188965,1.0,3.296532113949979e-08,0.4675747279741209,False,0.02457844465970993,0.9180155992507935,0.13732552528381348
3,0.0,22.70803451538086,1.0,2.97438287333307e-08,0.5725478887080157,False,0.027458082884550095,0.8976315259933472,0.12380938977003098
4,0.0,22.740129470825195,1.0,2.665600717932648e-08,0.6634526797039356,False,0.02607337012887001,0.9074743986129761,0.1251567006111145
5,0.0,23.817644119262695,1.0,2.9032717563381993e-08,0.7440326970528884,False,0.030050210654735565,0.8781895637512207,0.12294191122055054
6,0.0,24.15166664123535,1.0,2.639337992604851e-08,0.8174754278381153,False,0.02973102033138275,0.8806154131889343,0.12632881104946136
7,0.0,24.745317459106445,1.0,3.0666338801665916e-08,0.8861992329878351,False,0.03314502537250519,0.8521901369094849,0.11460566520690918
8,0.0,25.698389053344727,1.0,2.5177680385013446e-08,0.951036410394069,False,0.03173217922449112,0.8646898865699768,0.11650639772415161
9,0.0,25.472108840942383,1.0,2.7301524596623494e-08,1.011192842850702,False,0.033813707530498505,0.8464365601539612,0.11802255362272263
10,0.0,25.81907081604004,1.0,3.122907088481952e-08,1.0695194220081996,False,0.03184453397989273,0.863283097743988,0.11328580230474472
