epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,15.342768669128418,1.0,2.9271674861774954e-08,0.3621667687882501,False,0.019171783700585365,0.9475343823432922,0.19292348623275757
2,0.0,17.36248016357422,1.0,2.9626496811374636e-08,0.4965399060305013,False,0.022674400359392166,0.928065836429596,0.1638573855161667
3,0.0,18.0945987701416,1.0,3.61887799726901e-08,0.5924312594715346,False,0.02284380793571472,0.9266695380210876,0.1594560742378235
4,0.0,18.805761337280273,1.0,2.9977119453405976e-08,0.6746711006223239,False,0.024544639512896538,0.9155568480491638,0.15349535644054413
5,0.0,19.373409271240234,1.0,3.285949290443568e-08,0.7487421654617483,False,0.024766601622104645,0.9132644534111023,0.1494964063167572
6,0.0,20.127155303955078,1.0,3.2108932401797574e-08,0.8183504352350676,False,0.02597854658961296,0.9053475856781006,0.13945458829402924
7,0.0,20.341135025024414,1.0,2.5994465246981235e-08,0.8840069878582548,False,0.026791125535964966,0.8992099761962891,0.14202502369880676
8,0.0,20.53479766845703,1.0,3.1451342863419995e-08,0.9462080473456751,False,0.026505116373300552,0.901111364364624,0.13589581847190857
9,0.0,20.78618049621582,1.0,3.089266087386022e-08,1.005601012968289,False,0.027429433539509773,0.8938453197479248,0.13472697138786316
10,0.0,21.337249755859375,1.0,2.8180417999124074e-08,1.0624769150519409,False,0.02811027690768242,0.8890505433082581,0.12998785078525543
