step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.70163206229898,0.3338062707948631,0.0015684918211470598,0.04482337022510803,0.0064059390324474825,0.21347584984234472,7833.709779540784,6761.693898354449,0.29754188185731234,,36696.0,0.972037764369478,0.0015684918211470598,0.3338062707948631,0.4141295227209327
2,9.700457590782818,0.26795460520644915,0.0016064147371486822,0.011263106159895151,0.006398354448813165,0.21416893697868747,7858.9291472051,6799.20241735838,0.29083179940146237,0.06585166556134976,36695.0,0.9726466482359544,0.0016064147371486822,0.32709846929563663,0.4095901485566607
3,9.698125334759544,0.2455596936224783,0.001519950487840396,0.011317715159458279,0.006439311198485511,0.2136034766310691,7837.9659717671475,6783.794378913645,0.2959307271393656,0.022394911583457754,36694.0,0.9723294518895591,0.001519950487840396,0.33219911937635915,0.41054940624433367
4,9.69744006740625,0.23681219243383264,0.001419833988641328,0.011208497160332023,0.006220875200232998,0.21336899724536468,7829.148613188279,6769.864278433086,0.3569648029499743,0.008747501302772312,36693.0,0.9719019211222203,0.001419833988641328,0.3932349561639715,0.4108039934418267
5,9.697157798695985,0.22709877189527192,0.0013197174894422601,0.011008264161933887,0.006070700451434396,0.2132291295496582,7823.803223402858,6763.61132954711,0.30984885375438664,0.00971342053942401,36692.0,0.9723456939426037,0.001315166739478666,0.34612136484400163,0.41093350060506006
6,9.69710451639669,0.22039088676089777,0.0013879787388961702,0.010903596912771225,0.006184469200524246,0.2131389514275176,7820.281268842949,6759.242027086064,0.30401462193080736,0.006707885136281338,36691.0,0.9719852574947568,0.001383427988932576,0.3402885221426815,0.4110338371405528
7,9.697053067285246,0.21477812952609746,0.001369775739041794,0.010767074413863405,0.006038845201689238,0.21307909821071738,7817.872116806588,6757.93505169652,0.2987336360358241,0.005612757234376496,36690.0,0.971859210536038,0.0013652249890782002,0.33500876540275476,0.41112021298136436
8,9.697002655522036,0.21230328756374117,0.001256006989951944,0.010639653414882773,0.005888670452890636,0.21300579232566705,7814.96951987668,6758.7489442260085,0.3620199272029422,0.0024748419660096306,36689.0,0.9713344576231375,0.0012514562399883501,0.3982973411519237,0.4112124365511968
9,9.696959219594111,0.20820000912594952,0.001246905490024756,0.010676059414591524,0.0058932212028542305,0.2129673021445241,7813.344386047301,6760.994466288044,0.30078824783994074,0.004103278435079182,36688.0,0.9712330074276972,0.001242354740061162,0.33706714747917316,0.4112812953003119
10,9.697022403815922,0.2077580636840243,0.0013515727391874182,0.010484927916120577,0.00575669870394641,0.21294387732988893,7812.272023296676,6758.523955147808,0.43983315721247085,0.0004419454425016388,36687.0,0.9706532327181321,0.001347021989223824,0.47611315281878747,0.4113445622630554
