step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.79016085151538,0.4564105759082246,0.05899592252803262,0.06902880928146451,0.06450081306768848,0.22878232044489094,8395.396034308495,7367.140672782874,0.4201461897505299,,36696.0,0.9724960031078184,0.05156454783748362,0.4564105759082246,0.3945376887629514
2,9.69864532210446,0.3043251899129451,0.0014638245719843979,0.011152371244476024,0.006242112033758098,0.21330705024880925,7827.302202479434,6787.753604193971,0.31423578427192383,0.1520853859144811,36695.0,0.9705978810257729,0.0014638245719843979,0.35050154483746604,0.40275238573132066
3,9.69611273149363,0.2613741491741665,0.001356123489151012,0.011017365661861074,0.006198121450415028,0.21269411829655677,7804.597968860747,6769.694480850444,0.2931458173964366,0.042951040827434624,36694.0,0.9717080808456624,0.001356123489151012,0.32941520964639653,0.4024578538338267
4,9.696100923541819,0.24403094191973623,0.001451689238386486,0.010926350662589195,0.006038845201689238,0.21255229709887402,7799.181437627776,6755.566331731469,0.4380665588722118,0.01734320721464404,36693.0,0.9713686882920083,0.0014471384884228921,0.47433800814778565,0.40233209396185426
5,9.69651281168771,0.23212739594700355,0.001301514489587884,0.01062600116499199,0.005838612203291103,0.21253290070930417,7798.257190878221,6755.942915392457,0.3018734423764523,0.011903545973561278,36692.0,0.9721678759622248,0.0012969637396242901,0.3381487821021685,0.4022970095399136
6,9.696793207838247,0.2257237647312581,0.001333369739333042,0.0106942624144459,0.005811307703509539,0.21247628869593171,7795.967511169425,6751.8290374253675,0.443570172898955,0.006403631191553699,36691.0,0.9716612810961489,0.0013288189893694482,0.4798469431610729,0.402343901814904
7,9.69692397294684,0.2197788657592077,0.001224151740206786,0.010735219164118247,0.005674785204601718,0.21243356061256,7794.187344332354,6753.849716033203,0.31678051985039907,0.005944898974432295,36690.0,0.9717152388105924,0.001219600990243192,0.35305830873847843,0.4024327075699842
8,9.696944426323661,0.2159557188112709,0.0012605577399155382,0.010712465414300277,0.005670234454638125,0.2123856118411457,7792.2157138009525,6751.404106596767,0.3587582881148198,0.003823146950615335,36689.0,0.9712915166385729,0.0012605577399155382,0.3950402698686329,0.4025328564768169
9,9.696986148568138,0.21232680024203737,0.0011922964904616281,0.010689711664482307,0.0056884374544925,0.21237135687318104,7791.48033519171,6749.653269258773,0.32198450659256433,0.003628918569233527,36688.0,0.9714216406608888,0.001187745740498034,0.3582674148866972,0.40260932908528296
10,9.696914664102257,0.2093345231267913,0.0012605577399155382,0.010780726663754186,0.005770350953837192,0.21229707900331973,7788.542927722145,6745.8811708169505,0.43996785136455324,0.0029922770894628826,36687.0,0.9713404291284055,0.001256006989951944,0.4762522708008651,0.4027339712793294
