step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.93083449647436,0.40068439290230845,0.057853684287170526,0.06413826998689384,0.060743410514052715,0.23645163370394504,8676.82916097112,7526.243628950051,0.36442000054288765,,36696.0,0.9739092457358696,0.05043141109654871,0.40068439290230845,0.3641215443443692
2,11.007206910073505,0.33839636322181216,0.057885539536915685,0.0637924129896607,0.06077981651376147,0.27087805408274324,9939.870200776422,8506.563128003496,0.37032464094737566,0.06228802966311113,36695.0,0.9738833099642712,0.05046326634629387,0.4065901411340349,0.237303743967948
3,11.000546832228395,0.311694016192165,0.058149483034804134,0.06376055773991554,0.060738859764089125,0.27186652612451206,9975.870308803405,8539.373962429008,0.3604824151142361,0.026702347029515777,36694.0,0.9738719376723319,0.050727209844182324,0.39674853370105145,0.23525547423050255
4,10.994445426054044,0.294913683307324,0.05807212028542304,0.06366499199068007,0.060643294014853646,0.2725619219990595,10001.11460067418,8553.840978593273,0.35577110978460186,0.01678033289515686,36693.0,0.9738299328808321,0.05064984709480122,0.3920377121495084,0.23381982661698253
5,10.990517389276098,0.2834083396066501,0.05807212028542304,0.06354667249162663,0.060707004514343965,0.2730622624351847,10019.200524686361,8565.34629386923,0.3832597551752345,0.011505343699343066,36692.0,0.9738663494960179,0.05064984709480122,0.4195267881542371,0.23292308003876983
6,10.988540865369146,0.27433465372306043,0.05790829328673365,0.06349661424202709,0.06050677151594583,0.27337761262728555,10030.497980151405,8574.984418232125,0.39850931424201186,0.009073685878427528,36691.0,0.9738366723286285,0.05048602009611184,0.43477706856130127,0.2324172657820898
7,10.987817900382536,0.2655966400554363,0.0578764380369885,0.06351026649191786,0.060493119266055044,0.27362010974936213,10039.121816808174,8588.604922091161,0.3792612038817572,0.008738013659605377,36690.0,0.9738659847072592,0.05045416484636668,0.41553089609573834,0.23218459219854903
8,10.988382102760214,0.25754740272753823,0.057890090286879275,0.06360583224115335,0.060547728265618175,0.2737205867430938,10042.534612248728,8590.243192078055,0.3679879782210576,0.008049237322524046,36689.0,0.97392270197701,0.050467817096257465,0.40425815429545353,0.2321452337663322
9,10.990048280601785,0.25027581896956935,0.057958351536333184,0.06349661424202709,0.06058868501529052,0.273766830120204,10043.957461831385,8594.528469491772,0.36706795526078967,0.007271583759015706,36688.0,0.9739551989987408,0.050536078345711374,0.40333875417152065,0.23227320038756763
10,10.99144760760675,0.2436310040447972,0.057921945536624435,0.06352846949177224,0.06072520751419834,0.2737520466965643,10043.141334743676,8591.982379496141,0.36354869983384974,0.006644814923687175,36687.0,0.9739639249729142,0.05049967234600262,0.39982008822429715,0.23239736899563165
