step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,10.694362506502594,0.4610779333139554,0.058263251783893986,0.06620431047036551,0.062418086500655307,0.2710947059156805,9948.09133594269,8690.13630406291,0.424813548668336,,36696.0,0.9719145836329485,0.05083187709334498,0.4610779333139554,0.2973760797763629
2,10.8816435938755,0.3816084342086209,0.05853629678170963,0.06520617931204556,0.0619887990877846,0.27620182351977185,10135.225913598164,8753.693607106452,0.3976808679432912,0.0794694992091708,36695.0,0.9723019322245614,0.05111402359108781,0.43394629416782177,0.2585868920930803
3,10.878929049371198,0.35123098720735735,0.05827690403378477,0.06477689189917485,0.061545859425023115,0.2770455395877141,10165.909029646074,8778.369593709043,0.40313590248656794,0.030377446798032597,36694.0,0.9723546672495793,0.050854630843162954,0.4394020133715347,0.2563253652030702
4,10.874600246516103,0.3336287296804534,0.05806605261916657,0.06433091840274265,0.06121365467768075,0.27748584682066374,10181.788176752516,8799.772098441823,0.4188905045667357,0.017602257493657295,36693.0,0.9723911899761357,0.05064377942854476,0.45515760382989023,0.254976953995171
5,10.87038790136337,0.31793640221868696,0.05798413911982188,0.06402146740521825,0.061036175429100586,0.27766274001952534,10188.001262742011,8801.12261540702,0.4169929918366784,0.015692327460853084,36692.0,0.9723838256907738,0.05056186592920007,0.4532611342012628,0.2541118177614419
6,10.868337749827285,0.3068995707172923,0.05792649628658803,0.06387280957271252,0.06066908159834234,0.27768844407942866,10188.666697877523,8809.386631716907,0.43342122683556905,0.011036831502047352,36691.0,0.9722866316072212,0.050504223095966215,0.46969038927849865,0.25361865349611934
7,10.867823361135283,0.29614293725183566,0.05784003203727974,0.06359976457489688,0.06056593126547255,0.27764020628320474,10186.619169940452,8797.383282364934,0.47128492984953885,0.01075663346955076,36690.0,0.9721820891658621,0.05041775884665793,0.5075547863019645,0.2533799454353747
8,10.868138080325835,0.28626957200474645,0.05780362603757099,0.06351785107555219,0.06062964176496287,0.27746414457074237,10179.881996673634,8789.085918159313,0.4270734613692918,0.009873365247843621,36689.0,0.9721501349569565,0.050381352846949175,0.4633439063964073,0.2532640316942754
9,10.868667918000138,0.2769201439457806,0.05784003203727974,0.06341925149264599,0.060547728265618175,0.27720119003286925,10169.957259742978,8772.811562545507,0.43692433091002625,0.009349428059821979,36688.0,0.9721304514756348,0.05041775884665793,0.47319578462395545,0.25322083412794594
10,10.86966825326631,0.2674612221126021,0.057853684287170526,0.06330548274355614,0.060393002766855976,0.27698086710597114,10161.597074220634,8770.178098150574,0.3935947917377976,0.009458921833110645,36687.0,0.9721182325147759,0.05043141109654871,0.42986665291703585,0.25318402473890966
