step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.780299505500688,0.5241789806539275,0.0025347677297218583,0.04381613756794587,0.04005266734696865,0.22046567457554447,8090.20839175092,7039.852774137178,0.4879145926004999,,36696.0,0.9663534177361712,0.0025347677297218583,0.5241789806539275,0.4153064984827075
2,9.91167533816044,0.40226301800449643,0.00345856997233144,0.009206167176350663,0.0075906509392747925,0.24022881781905353,8815.196461431044,7437.631862530945,0.3369986744073563,0.12191596277302591,36695.0,0.8295648689438062,0.0034540192223678464,3.239584764676922,0.10121952617187929
3,10.319317121909872,0.34299985285722967,0.05262487257900102,0.05707550604339595,0.056142602300859185,0.3341571996245192,12261.564285173885,11165.779670889762,0.2676267140148878,0.05926316509935799,36694.0,0.8101783594124977,0.05262487257900102,0.527797450703174,0.042937421744452954
4,10.896268700102071,0.3223538516368951,0.002930682976554536,0.0071856341925149265,0.006361948449104413,0.38082375259607765,13973.565960276503,13019.753021697976,0.24000766062346077,0.02064600121816456,36693.0,0.7994641461594754,0.002930682976554536,0.5724415763957151,0.028140689150276156
5,11.102992095852828,0.31203506720815677,0.0020478374836173,0.006908038444735693,0.006134410950924712,0.41400109325451917,15190.528122212665,14427.62123197903,0.22457459188426535,0.010318784428913149,36692.0,0.7913479188440042,0.002043286733653706,0.6190814205508526,0.010896833105624283
6,11.11765937605886,0.303141106005789,0.002066040483471676,0.02656272753749818,0.02585736129314111,0.43890991638444715,16104.04373740011,15433.104121159167,0.21108470563237414,0.008893961202385002,36691.0,0.784642635635653,0.002066040483471676,0.6465485897800359,-0.005591191817579805
7,11.231997401568156,0.2966415172691653,0.002243519732051842,0.026107652541138778,0.025693534294451724,0.45982574430999135,16871.00656260808,16298.136740934906,0.20093817986607096,0.006499588736649082,36690.0,0.7795068947607832,0.002238968982088248,0.6884264848852475,-0.014849530394142685
8,11.493957199278887,0.29184913009461,0.0027304499781564003,0.006439311198485511,0.00593872870249017,0.4770314577912583,17501.807177613497,17026.195864278434,0.1931160523268559,0.004792387174462122,36689.0,0.7751921474612469,0.0027304499781564003,0.7720000422298487,-0.019899898721534495
9,11.412986393316492,0.2877086861164173,0.02242154507062764,0.025702635794378915,0.025029124799767002,0.49035790005902447,17990.250633976353,17610.367846221056,0.18641212357221051,0.004140443978031611,36688.0,0.7717572465209144,0.02242154507062764,0.8589313534058854,-0.0284453048708387
10,11.493606922667118,0.28400552078283914,0.02182084607543323,0.02554791029561672,0.02462865880297073,0.5030697071300447,18456.118337417633,18167.193243046455,0.18045502353258533,0.003703165333315431,36687.0,0.7687819420236748,0.021816295325469637,0.9288173173151251,-0.035561478030194306
