step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.919540354096943,0.4345639827115986,0.058613659531090725,0.0669733872142129,0.06307339449541284,0.2322728656792571,8523.485080419574,7391.115625455075,0.3982995955632966,,36696.0,0.973035399389871,0.05106851609145187,0.4345639827115986,0.4130503478407532
2,9.648627908222537,0.3493484014304853,0.000655307994757536,0.005450281540092742,0.00284421872724625,0.16956526346587622,6222.197337912597,4717.709625746323,0.23152916774124196,0.08521558125359026,36695.0,0.8101811482992446,0.000655307994757536,1.655432673930593,0.10868795299869526
3,10.2443152347671,0.32959037523173396,0.029934833260521335,0.03171872724625018,0.030685707004514343,0.2950691017401984,10827.265616609555,9642.829037425368,0.21372938272255698,0.01975802619864965,36694.0,0.7878784167053954,0.029934833260521335,0.9165579599477888,0.020517296310698884
4,10.670163531169388,0.31999658689496047,0.0298074122615407,0.031195391000436872,0.03043086500655308,0.33998772276393247,12475.169493962292,11428.324595893404,0.20170180206236712,0.009593788336773495,36693.0,0.7745877994913122,0.0298074122615407,1.0149277670071912,0.004385630596014318
5,11.03924471519218,0.31518376257775543,0.000163826998689384,0.0012287024901703801,0.0006416557448667541,0.3734180204854186,13701.454002157056,12737.11620795107,0.19423707507552515,0.004812824317205017,36692.0,0.7654466969452693,0.000163826998689384,1.0918989468663014,-0.0024879522352602734
6,10.818062134977858,0.31158936627591277,0.049707841852337266,0.05068170234454638,0.050153815348769476,0.3980007748797368,14603.046434430518,13718.284694917722,0.18814489261381936,0.0035943963018427246,36691.0,0.7591610361659338,0.049707841852337266,1.1356606686744624,-0.024574494574759364
7,11.331524664994253,0.3087567876206093,0.000122870249017038,0.0009465559924275521,0.0005324377457404981,0.43146825788607185,15830.570393702445,15029.501674675987,0.18315857503169508,0.002832578655269514,36690.0,0.754476481916534,0.000122870249017038,1.146526675050924,-0.028365637831334056
8,11.260983091958211,0.3062693462521173,0.00013197174894422601,0.020765072083879423,0.02034185233726518,0.4372844284097886,16043.528390422493,15329.289209261686,0.17883560576002624,0.0024874413684835388,36689.0,0.7507759235876347,0.00013197174894422601,1.1638919479461536,-0.036860977283438456
9,11.317395004518552,0.3041385748662855,0.000145623998835008,0.0303398500072812,0.030003094509975244,0.45199634068751804,16582.841735582086,15945.683995922527,0.17523203382982588,0.0021307713858148202,36688.0,0.7477372934486003,0.000145623998835008,1.2065519594338365,-0.04884144558638985
10,11.589744610298283,0.30217825622221495,0.000150174748798602,0.000737221494102228,0.000445973496432212,0.46780838365926963,17162.486187336173,16604.886995776906,0.17206546543764403,0.0019603186440366395,36687.0,0.7451543056003145,0.000150174748798602,1.2284185894324706,-0.05057076059013431
