step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.3915357816787,0.6074893545536768,0.010416666666666666,0.05505952380952381,0.03125,0.09300885983698425,785.8318452380952,487.76190476190476,0.3944628675069128,,8449.0,0.9765814117022923,0.010416666666666666,0.6074893545536768,0.49167856041319846
2,7.512045814877465,0.4593240459050451,0.0,0.03273809523809524,0.01636904761904762,0.09582167061134464,809.5014880952381,504.9047619047619,0.4386188969725654,0.1481653086486317,8448.0,0.9731860359509786,0.0,0.651892833056904,0.513746720134458
3,7.510373251778739,0.4161913827771232,0.005952380952380952,0.03720238095238095,0.020833333333333332,0.09579056013552915,809.1428571428571,506.42857142857144,0.45123825186774846,0.043132663127921876,8447.0,0.9730739763804844,0.005952380952380952,0.6645121801467169,0.5136997973424426
4,7.513300986517043,0.39148682213964914,0.004464285714285714,0.03422619047619048,0.019345238095238096,0.09588664823344775,809.858630952381,506.2857142857143,0.4632063749290648,0.02470456063747406,8446.0,0.9729274880318415,0.004464285714285714,0.6765982047432945,0.513649821658397
5,7.514892986842564,0.3782160984618323,0.001488095238095238,0.03273809523809524,0.01636904761904762,0.09593571070581675,810.1770833333334,505.5238095238095,0.4544707820529029,0.013270723677816846,8445.0,0.9726883172988892,0.001488095238095238,0.6678898859591711,0.5135449973666775
6,7.51343127659389,0.3685672457019488,0.002976190476190476,0.03720238095238095,0.019345238095238096,0.09586988331838733,809.5252976190476,506.04761904761904,0.46915129465716227,0.009648852759883517,8444.0,0.9724920079821632,0.002976190476190476,0.682601313505854,0.5134527539346545
7,7.512374083201091,0.3624553829431534,0.004464285714285714,0.044642857142857144,0.019345238095238096,0.09580227661700476,808.858630952381,504.7142857142857,0.4842357947712853,0.006111862758795421,8443.0,0.9726124689692542,0.004464285714285714,0.6979771767343793,0.5133599154817473
8,7.51175019854591,0.3573829638106482,0.005952380952380952,0.047619047619047616,0.019345238095238096,0.09575510543904134,808.3645833333334,505.7142857142857,0.4665309864850271,0.005072419132505145,8442.0,0.972887552919842,0.005952380952380952,0.6802743283056077,0.5132546259445094
9,7.515058199564616,0.3511118416984876,0.001488095238095238,0.047619047619047616,0.01636904761904762,0.09581563271404732,808.7797619047619,506.0952380952381,0.4772024764901116,0.006271122112160637,8441.0,0.9730535859153384,0.001488095238095238,0.6915607885235832,0.5131502592148969
10,7.514798868270147,0.34755440127281917,0.001488095238095238,0.050595238095238096,0.017857142857142856,0.09574958287356865,808.1264880952381,506.3333333333333,0.4774525286186309,0.003557440425668444,8440.0,0.9730506510961623,0.001488095238095238,0.6918310487554187,0.5130269098749739
