step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.44460019611177,0.6233818970975422,0.002976190476190476,0.047619047619047616,0.020833333333333332,0.09398442551138855,794.0744047619048,485.14285714285717,0.41035540650288266,,8449.0,0.9760547876358032,0.002976190476190476,0.6233818970975422,0.4480289606920754
2,7.584721315474737,0.4725496985373043,0.002976190476190476,0.03571428571428571,0.019345238095238096,0.09494886170363143,802.1279761904761,499.23809523809524,0.4797631417001997,0.15083219856023788,8448.0,0.9730581527664548,0.002976190476190476,0.6928320569651467,0.48492319044280086
3,7.585292884281704,0.4304339282569431,0.002976190476190476,0.03720238095238095,0.01636904761904762,0.09494794665702752,802.0252976190476,501.57142857142856,0.5054335927679425,0.042115770280361176,8447.0,0.972953064101083,0.002976190476190476,0.718575154032026,0.48504047159526853
4,7.588066850389753,0.4033548118812697,0.004464285714285714,0.03869047619047619,0.017857142857142856,0.09512480494699307,803.4241071428571,502.1904761904762,0.4659882074310666,0.027079116375673385,8446.0,0.9734759870029631,0.004464285714285714,0.6791651334081378,0.4849806337761471
5,7.588641257513137,0.3863476766716866,0.00744047619047619,0.03720238095238095,0.013392857142857142,0.0950927206625541,803.0580357142857,502.3333333333333,0.4485253578140622,0.0170071352095831,8445.0,0.9735246470996312,0.00744047619047619,0.6618162847700573,0.48485528177670423
6,7.594267300197056,0.3797310881671451,0.001488095238095238,0.03869047619047619,0.011904761904761904,0.0952483145963578,804.2767857142857,501.23809523809524,0.482164109037036,0.006616588504541488,8444.0,0.972944214230492,0.001488095238095238,0.69556725025177,0.4847446196501897
7,7.5932808603559225,0.3725541563970702,0.002976190476190476,0.04017857142857143,0.01636904761904762,0.09515296681118864,803.3764880952381,500.85714285714283,0.4891132421436764,0.007176931770074935,8443.0,0.9731471283095223,0.002976190476190476,0.7025220174164999,0.484631972160146
8,7.594973972865513,0.36659461224362966,0.001488095238095238,0.043154761904761904,0.019345238095238096,0.0953105426881285,804.6116071428571,501.2857142857143,0.4711541661194393,0.0059595441534405665,8442.0,0.9731943749246144,0.001488095238095238,0.684629160023871,0.48452707123942673
9,7.601313227698917,0.36022536492063884,0.001488095238095238,0.041666666666666664,0.022321428571428572,0.09617139474444446,811.7827380952381,501.57142857142856,0.4953609414043881,0.006369247322990781,8441.0,0.9730742687270755,0.001488095238095238,0.7088458041350046,0.48441244677884415
10,7.600276379358201,0.3545894842772257,0.004464285714285714,0.046130952380952384,0.025297619047619048,0.09608845825174026,810.9866071428571,500.3333333333333,0.444185142715772,0.005635880643413181,8440.0,0.9733610181581407,0.004464285714285714,0.6576703517209916,0.48425054434864295
