step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.351746377490816,0.6174689715816861,0.005952380952380952,0.052083333333333336,0.023809523809523808,0.09362160387848105,791.0089285714286,485.5238095238095,0.4044424721172878,,8449.0,0.9765988503183637,0.005952380952380952,0.6174689715816861,0.505829290409262
2,6.68530627659389,0.46793335179487866,0.023809523809523808,0.14583333333333334,0.08779761904761904,0.04752868362924173,401.52232142857144,243.33333333333334,0.22764845671398298,0.14953561978680746,8448.0,0.7163638359024411,0.023809523809523808,0.6601557838065284,0.39604074049878235
3,6.620206219809396,0.4102559604105495,0.005952380952380952,0.12351190476190477,0.06994047619047619,0.041330008678847834,349.1145833333333,198.14285714285714,0.15975617972158251,0.05767739138432911,8447.0,0.6808959501130241,0.005952380952380952,0.632931724900291,0.2778481675458828
4,6.6195602644057505,0.386105868433203,0.020833333333333332,0.14136904761904762,0.07589285714285714,0.040491836167694556,341.9940476190476,218.33333333333334,0.12882794067263603,0.02415009197734651,8446.0,0.6631471514701843,0.020833333333333332,0.6611659867422921,0.2122864317554905
5,6.6156996091206866,0.36082266164677484,0.023809523809523808,0.14285714285714285,0.0744047619047619,0.04136376153855097,349.3169642857143,218.0,0.09792597006474223,0.02528320678642818,8445.0,0.6558175257274083,0.023809523809523808,0.6217304475250698,0.1721255603893258
6,6.624687648954845,0.34685972261996495,0.026785714285714284,0.12351190476190477,0.06547619047619048,0.04136478251201056,349.2842261904762,207.28571428571428,0.08463775889859312,0.013962939026809874,8444.0,0.6447419410660153,0.026785714285714284,0.6299793947310675,0.13897424673337982
7,6.610676810854957,0.33914650568649884,0.01488095238095238,0.12946428571428573,0.06398809523809523,0.03830747993751651,323.4300595238095,185.57142857142858,0.07626417084109216,0.00771321693346614,8443.0,0.6355983558155242,0.01488095238095238,0.6508698839516867,0.1133071006964504
8,6.611754916963124,0.3330977528932549,0.010416666666666666,0.11755952380952381,0.06101190476190476,0.037701585374417756,318.2767857142857,190.66666666666666,0.06815594780657973,0.006048752793243953,8442.0,0.6279270393507821,0.010416666666666666,0.6753910006511779,0.10328487618763964
9,6.605906441098168,0.3261389182437034,0.01488095238095238,0.11160714285714286,0.05803571428571429,0.03654286673381215,308.4583333333333,182.57142857142858,0.06012672948695365,0.006958834649551483,8441.0,0.6233305732409159,0.01488095238095238,0.668449206721215,0.08938370524265338
10,6.625866821834019,0.32227006341729847,0.01636904761904762,0.11607142857142858,0.06547619047619048,0.03899021076393269,329.07738095238096,197.8095238095238,0.0562530771962234,0.0038688548264049346,8440.0,0.617191025188991,0.01636904761904762,0.676839713539396,0.07486366492477307
