step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.40617154893421,0.6030005450759616,0.005952380952380952,0.044642857142857144,0.022321428571428572,0.09421567884939057,796.0282738095239,516.7619047619048,0.38997405980314526,,8449.0,0.9764220629419599,0.005952380952380952,0.6030005450759616,0.5358626860570872
2,6.797628243764241,0.4554590369973864,0.019345238095238096,0.10714285714285714,0.06398809523809523,0.05313158913382462,448.85565476190476,227.66666666666666,0.21198646901618867,0.14754150807857513,8448.0,0.7163367101124355,0.019345238095238096,0.6209228084910483,0.40146012652881574
3,6.754429998851958,0.40914018345730646,0.010416666666666666,0.10863095238095238,0.06547619047619048,0.04865615065431311,410.9985119047619,221.52380952380952,0.1590585582667873,0.04631885354007993,8447.0,0.6773821796689715,0.010416666666666666,0.6347088976984933,0.2700897790370315
4,6.723431541806176,0.38209488668612074,0.022321428571428572,0.125,0.0818452380952381,0.04816312092312035,406.7857142857143,215.42857142857142,0.12387875609454654,0.02704529677118574,8446.0,0.6605652088210696,0.022321428571428572,0.6679021730309441,0.2016257374558509
5,6.6745441527593705,0.3663200508980524,0.010416666666666666,0.125,0.07142857142857142,0.04061504484464725,342.9940476190476,188.33333333333334,0.10407439903134391,0.015774835788068316,8445.0,0.6463095233553932,0.010416666666666666,0.6593348355520339,0.16544038340102166
6,6.705265771775019,0.355269475706986,0.008928571428571428,0.11755952380952381,0.05952380952380952,0.04419170579473887,373.1547619047619,209.0952380952381,0.08929098982896123,0.011050575191066378,8444.0,0.6384114112172808,0.008928571428571428,0.6533839262667156,0.1407915844162441
7,6.670990262712751,0.3451707847416401,0.023809523809523808,0.12351190476190477,0.06547619047619048,0.04168341009478484,351.9330357142857,209.23809523809524,0.07681035383471421,0.010098690965345927,8443.0,0.6299755346207392,0.023809523809523808,0.6627429723739624,0.1114486169719298
8,6.700665791829427,0.339452642415251,0.00744047619047619,0.12351190476190477,0.05505952380952381,0.04332697983565075,365.76636904761904,204.85714285714286,0.0700351744890213,0.005718142326389041,8442.0,0.6224169021561032,0.00744047619047619,0.6710150014786493,0.0874752505123546
9,6.681502841767811,0.3363686670504865,0.005952380952380952,0.11607142857142858,0.05357142857142857,0.04024097893298382,339.67410714285717,170.42857142857142,0.0660075598529407,0.0030839753647645316,8441.0,0.6160901699747358,0.005952380952380952,0.707701637631371,0.07698507019189751
10,6.688648269290016,0.331623978380646,0.01636904761904762,0.125,0.06398809523809523,0.04244703520089388,358.2529761904762,190.76190476190476,0.05890423902088687,0.004744688669840495,8440.0,0.6145990746361869,0.01636904761904762,0.6723309443110511,0.06836437905474754
