step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.662248611450195,0.6242022400810605,0.002976190476190476,0.05654761904761905,0.02976190476190476,0.0973614797971788,822.6071428571429,539.3333333333334,0.4111757619040353,,8449.0,0.9762932147298541,0.002976190476190476,0.6242022400810605,0.45306841655283714
2,7.563075724102202,0.4807617160535994,0.020833333333333332,0.11904761904761904,0.06994047619047619,0.06522165722258035,550.9925595238095,265.14285714285717,0.23910196870565414,0.1434405240274611,8448.0,0.7053040322803316,0.020833333333333332,0.6860998152267366,0.3611940176962803
3,7.560301417396182,0.43013950827575864,0.010416666666666666,0.09375,0.046130952380952384,0.0622956437901372,526.2113095238095,292.14285714285717,0.18101475139458975,0.05062220777784075,8447.0,0.6748101427441552,0.010416666666666666,0.6993709809723354,0.2551694697620059
4,7.528194177718389,0.39905683589833124,0.005952380952380952,0.09077380952380952,0.049107142857142856,0.0537262995328222,453.77232142857144,258.3809523809524,0.14556997730618432,0.031082672377427418,8446.0,0.6616195724124,0.005952380952380952,0.6831188883100238,0.19053838335509812
5,7.556358814239502,0.37381114154344514,0.010416666666666666,0.0818452380952381,0.043154761904761904,0.060386005811215865,509.95982142857144,270.8095238095238,0.11492698107446943,0.0252456943548861,8445.0,0.6503100508735293,0.010416666666666666,0.6816401261658895,0.15380637820999254
6,7.554688839685349,0.36093919777444433,0.00744047619047619,0.08333333333333333,0.047619047619047616,0.056399232818789426,476.23511904761904,279.14285714285717,0.10135549404436633,0.012871943769000825,8444.0,0.6403073214349293,0.00744047619047619,0.7273986446005958,0.12080567487213384
7,7.554387478601365,0.34964534551614807,0.002976190476190476,0.08630952380952381,0.047619047619047616,0.056442044276211946,476.54017857142856,271.3809523809524,0.08771232515573502,0.01129385225829624,8443.0,0.6347757492746625,0.002976190476190476,0.6971948302927471,0.09935373612859708
8,7.5414778391520185,0.34237589225882575,0.008928571428571428,0.08630952380952381,0.044642857142857144,0.051585715175384565,435.48660714285717,233.85714285714286,0.07974990155725252,0.007269453257322311,8442.0,0.6289855128242856,0.008928571428571428,0.7175893485546112,0.08304259781670269
9,7.55660206930978,0.3368924827802749,0.008928571428571428,0.07886904761904762,0.043154761904761904,0.054739903924720626,462.0595238095238,263.95238095238096,0.07300456356079806,0.0054834094785508655,8441.0,0.6247510654585702,0.008928571428571428,0.7277405219418662,0.07065630951062
10,7.551937580108643,0.33280630587112336,0.011904761904761904,0.08630952380952381,0.050595238095238096,0.05352417565882206,451.7440476190476,264.04761904761904,0.06704437630694537,0.004086176909151531,8440.0,0.6197445591290792,0.011904761904761904,0.7284313454514458,0.06158147088336548
