step,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,1.0289958943338955,0.002946583045443066,0.02380051285404117,0.013033706131352097,0.1950984508750037,1404.9039482950163,1239.142857142857,0.5865560988856464,,7201.0,0.9539428874224174,0.002946583045443066,1.0289958943338955,0.12379370023472802
2,0.8113957679822665,0.004390910776535503,0.037988908800194746,0.020919581069102307,0.13584344704173693,978.0728188522723,776.8088235294117,0.5614193499463946,0.21760012622640915,7200.0,0.9585244943614767,0.004390910776535503,1.00396393743508,0.19239684608422492
3,0.7362722253286037,0.004981772121073318,0.04003182155307101,0.020861653485844116,0.13146496607781144,946.4162870455189,746.6470588235294,0.5720092479076957,0.07512354265366282,7199.0,0.9594156054639015,0.004981772121073318,1.0147054311232406,0.1977873806521789
4,0.6965459760184548,0.004325259516031302,0.041804405586684454,0.022371632477440753,0.12963625746426963,933.1217832164604,732.8781512605042,0.5854441448733085,0.03972624931014886,7198.0,0.9596091019255775,0.004325259516031302,1.0283036013486004,0.20008564702505616
5,0.6714557993593586,0.005646008403361344,0.043766219724564494,0.022765540040465965,0.12862438332884252,925.7096825607684,724.6176470588235,0.5876992236541099,0.02509017665909619,7197.0,0.9595926486644424,0.005646008403361344,1.0307261215037657,0.20131533892094347
6,0.655016294657057,0.005572633465611133,0.04276600346250945,0.023225098863995375,0.12802622526954516,921.2767164727219,718.7899159663865,0.594926402833657,0.016439504702301586,7196.0,0.9594142174019533,0.005572633465611133,1.0381784430008476,0.20204155292040796
7,0.6417363092397191,0.00505514705882353,0.04310198344227647,0.022445007415190964,0.12762557967769436,918.2660460912881,715.3109243697479,0.6040473680379761,0.013279985417337978,7195.0,0.9590615012816021,0.00505514705882353,1.0475468037634337,0.20245464437805727
8,0.6311465625283348,0.00622914607065315,0.042387543253976256,0.02297021749922458,0.12737080496501083,916.3055719327526,712.1638655462185,0.6046166179873863,0.010589746711384348,7194.0,0.9587627509061027,0.00622914607065315,1.0482990489098705,0.2027077908685241
9,0.6237261990132201,0.0051864495798319326,0.04107451804389222,0.021649468611894537,0.12723688072399744,915.2148843973624,710.7605042016806,0.6224375050827986,0.007420363515114584,7193.0,0.9583841018817004,0.0051864495798319326,1.0663713844446074,0.20286538440251767
10,0.6173698754840288,0.003216911764705882,0.040352354178346005,0.020919581069102307,0.12717548069669357,914.6460585393826,710.2436974789916,0.6175094865450338,0.006356323529191378,7192.0,0.9582038945009729,0.003216911764705882,1.061616437932273,0.20295973218785243
