step,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,0.9510109335058877,0.0027573529411764708,0.026542418448551864,0.014945316371046194,0.1334795920694826,961.1865419980859,747.4663865546219,0.5085711374158869,,7201.0,0.9619579864900654,0.0027573529411764708,0.9510109335058877,0.3586553673140816
2,0.7604898670766534,0.002946583045443066,0.03528562161539282,0.01810816240285625,0.12056370265684051,868.058661292581,632.4978991596639,0.6274114958472362,0.19052106642923436,7200.0,0.9650801575484396,0.002946583045443066,1.0699779803888136,0.5188454761190494
3,0.700861394796677,0.003325043253976257,0.036672021771053304,0.019231957500847448,0.12055974913674931,867.9096368100463,632.8067226890756,0.6258195844799781,0.0596284722799764,7199.0,0.965109792952778,0.003325043253976257,1.0684645014400243,0.5247062079728065
4,0.6705121567175418,0.004522213297543906,0.038641559594005594,0.02127487024589747,0.12057057832770769,867.8670214164157,631.655462184874,0.6102448284093823,0.030349238079135157,7198.0,0.9651080922168844,0.004522213297543906,1.0529884003227998,0.5268488941364616
5,0.6535996815361896,0.005147831193601885,0.03810090217113245,0.021012265211706904,0.12055413688321699,867.6281242691168,631.5357142857143,0.6120099418428766,0.01691247518135219,7197.0,0.9648337206419777,0.005147831193601885,1.0549127230373752,0.5278742370144128
6,0.6435382842641919,0.00425188457828109,0.0380004943434556,0.019919364807047264,0.12073771534741957,868.8285999458377,632.1428571428571,0.6173674400207125,0.010061397271997789,7196.0,0.9645341693603692,0.00425188457828109,1.060386312796789,0.5284466757806084
7,0.6364231031826314,0.004332983193277311,0.038263099385472406,0.019525457251848292,0.12079191294267867,869.0978126525879,632.563025210084,0.6213298533111811,0.00711518108156048,7195.0,0.9644192006407666,0.004332983193277311,1.0644637728814317,0.5287820964134375
8,0.6321465027432481,0.004464285714285714,0.039765354699823036,0.019328503470335687,0.12085204144759777,869.4095868022501,632.3109243697479,0.6220985987074986,0.004276600439383202,7194.0,0.9642962410169489,0.004464285714285714,1.0653501032155102,0.529009122455416
9,0.629015309094381,0.004128305734518696,0.039691979762072824,0.019189477272081274,0.12099376883741249,870.3081786211799,633.5,0.6223486070560307,0.0031311936488672464,7193.0,0.9641899641822366,0.004128305734518696,1.0657392168934106,0.5291600371339515
10,0.6265783928992117,0.004236437231615311,0.039823282290907466,0.01897707615172913,0.12104164053560744,870.5314780163164,633.5546218487395,0.6182972914343622,0.0024369161951692166,7192.0,0.9641298225947789,0.004236437231615311,1.0618027866262347,0.5292621301163415
