step,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,0.7812593124516598,0.006290584415584416,0.048193993506493504,0.026937905844155844,0.17651069085657983,1491.3388291396104,1101.8993506493507,0.5902830854953303,,8449.0,0.96560118299026,0.006290584415584416,0.7812593124516598,0.21077235594478486
2,0.6461056052441043,0.004464285714285714,0.0354099025974026,0.019886363636363636,0.21120197952508793,1784.2343242694806,1505.5146103896104,0.8144241858564027,0.1351537072075555,8448.0,0.9488391834613564,0.004464285714285714,1.0056499115421207,0.08097607225912815
3,0.5906293867579238,0.004261363636363636,0.033532873376623376,0.018821022727272728,0.2090157216098069,1765.5558035714287,1484.5146103896104,0.8144535103982146,0.055476218486180555,8447.0,0.9468174865106483,0.004261363636363636,1.005839851769534,0.08695974606461965
4,0.5577682348681832,0.004058441558441558,0.033329951298701296,0.017349837662337664,0.20833813980283736,1759.623934659091,1477.1704545454545,0.8175218482683231,0.03286115188974065,8446.0,0.9450168528340079,0.004058441558441558,1.0090734586361554,0.08831762561544985
5,0.5375364604466534,0.003703327922077922,0.032619724025974024,0.016639610389610388,0.20808805405296832,1757.303622159091,1474.4172077922078,0.8435322994172767,0.020231774421529722,8445.0,0.9433653238531831,0.003703327922077922,1.0352619053771743,0.08892807486461189
6,0.5226634006536046,0.003601866883116883,0.03241680194805195,0.016132305194805196,0.2081074656418966,1757.2594358766235,1472.6136363636363,0.8482987872240219,0.014873059793048865,8444.0,0.9420722245976523,0.003601866883116883,1.040261435237798,0.08912624775758028
7,0.5123977171523231,0.0030945616883116885,0.03231534090909091,0.016030844155844156,0.208013341889502,1756.256645698052,1472.3603896103896,0.8870234960907852,0.010265683501281521,8443.0,0.9404373347952768,0.0030945616883116885,1.079135119104637,0.08921823925358703
8,0.5050982599140617,0.0035511363636363635,0.03201095779220779,0.016385957792207792,0.2080610759965259,1756.4516030844156,1471.8944805194806,0.9074584389855336,0.0072994572382613825,8442.0,0.9395940344442021,0.0035511363636363635,1.0997153186275588,0.0892084737823678
9,0.4996195700799732,0.003043831168831169,0.03170657467532467,0.015878652597402596,0.20808570704108417,1756.451450892857,1471.5584415584415,0.9154331263203126,0.005478689834088474,8441.0,0.9390310086793714,0.003043831168831169,1.1078661593378751,0.08911813532879198
10,0.4940418152882439,0.0024857954545454545,0.03206168831168831,0.017096185064935064,0.20820076849580707,1757.2144886363637,1470.551948051948,0.9138847734271125,0.005577754791729249,8440.0,0.9391122023974147,0.0024857954545454545,1.1064687527280737,0.08901912577528998
